,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material
Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
time,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,796287.2955130953,5914812.50750275,562551.1209190565,324169.7877244153,1550381.6619316563,631457.818472859,302604.36298335716,514229.232120285,280154.6798424605,90258.97444864525,5817854.983213769,1457695.0247544923,662894.3005537343,194900.28308626707,114964.9572234913,844488.1876734952,1155723.2683515695,1695714.7144387332,991262.1676124906,5839115.3242538795,1188848.261123643,1071401.47763797,1354173.382519004,570035.7633111456,250157.90732217254,185912.04619402447
2020,173282.94539414893,1643386.1603682074,32384.796642585592,17115.757738361644,615754.8407742936,3121.695793513115,250974.58334841242,215175.7295199314,130452.21426307998,39196.09790327295,478734.2308913973,501872.695559499,365937.5423138857,35959.88550101462,343493.6284376537,425352.57138817874,242722.8407149709,225595.46973783633,275453.30500971695,3030919.644939208,126534.71678367228,331977.65656843706,496343.6743122958,339078.3135700632,511654.4700173849,65609.54312544377
2021,767988.5301579682,8017685.321080548,51311.014008075166,332909.93818796304,1652105.4074507607,438149.8981693868,690943.3641435938,447672.5780152794,301789.6306425126,142389.46460234196,6557948.59845279,1730983.4842294396,1477363.9667523215,168882.68257433863,216113.37911835292,1339519.8034125557,1640010.3244091747,1807288.5493395643,812171.4256191654,8987194.165814545,157352.76985077895,921001.213651817,1231512.108762907,497654.1804173852,628786.9337339742,260324.46979476186
2022,1468066.4621004835,6192616.91432919,1606077.3431667238,209011.3650466886,595511.0423832724,1957582.4746573095,1148018.5354503612,987417.583517632,356378.8220899876,430261.70789074886,6512061.179265669,779018.8715427838,426101.2783590019,13073.368166611313,84228.49277725774,794979.6079839593,4308734.8170439815,3236549.487070922,649228.2831635396,5550393.533901593,2368032.1038872157,982200.773577403,1962930.017330524,775134.2253692596,559055.4558037863,276393.24294162664
2023,654874.8300500434,5025330.172565594,572263.7393413098,207237.76247683406,1061846.1307829672,626543.5882106457,716824.7256527317,643152.0034758112,182613.00366307635,125630.98304740574,3902809.8484886363,604042.8115838523,405812.80595611647,12308.273954301807,102077.28188601427,576792.828365539,1515567.4754224974,1926230.850287951,539504.039823106,5649028.1747390805,980001.4519019072,936167.5532772036,1245436.0593530321,466440.9766052166,396005.4327612011,180183.54036382717
2024,712606.5353694061,5212617.1356136175,552914.9677278281,261110.84352012313,985144.6470247569,881289.2276600823,661405.1233873726,647681.145424481,245530.07050004686,183838.58141852028,4422890.123252417,1004292.0673936489,567312.9543976818,49484.98179030853,125987.50664636782,503831.27102444356,1901499.9272773964,2335549.6848615897,608270.5526236285,5845113.475807604,1144897.7192670768,1123507.7987619434,1200445.1417079372,473852.08434273826,522095.50054730073,203693.66988268995
2025,806867.2841612402,5869216.563517511,584824.7433930119,279708.08003275207,1200684.8752685087,935950.5017708989,740811.9761011109,621064.582331584,309592.5736943225,180626.86587490072,5012203.098378741,1088859.1939139501,613441.7647562452,57593.81134841892,158867.1540825652,502142.7640878542,2051096.1821244904,2238620.357066278,617888.839663603,5816342.320802049,1195308.6367552222,1268498.6061766192,1268080.3970805441,555292.672495897,516762.1077797255,231525.23756548774
2026,995723.3844459009,7036001.851077761,754621.7911421293,344383.64126682596,1344927.439696043,1100054.4423793086,879066.7942293356,806052.7994404178,370325.8449678295,238461.89578337912,5949615.673321,1168752.8360182352,750514.7777617102,92957.46470859805,239970.9093790357,688878.7119999252,2324077.9202638315,2768235.7357741985,676356.4406669006,6612537.719559972,1465267.464658148,1425584.6804736226,1548243.175365768,659810.802569016,655118.5140235109,279483.2172687832
2027,1084799.5797106884,7269511.2826093165,685212.3181885137,372491.95360983856,1445921.5474308787,1173299.0966707878,864276.7336707322,834234.6523236573,394491.4546449425,267200.27358517284,6546115.117897003,1302323.5491690135,782799.5471240928,137661.73475400172,282628.40000796644,988212.2944857428,2382902.7831999417,2995611.6685278546,608185.2399125429,7243077.548028908,1589602.9637027336,1372932.5219271223,1712941.5660138645,723890.5004188175,677787.6999834069,259229.0892622512
2028,1130248.0734623505,7633236.817957589,716649.3903460507,397185.3393599053,1476664.944345654,1202774.247676854,898574.8839688223,795251.22016298,427381.92816246854,267769.4291770487,6740149.862591611,1408617.2930829267,811939.6079823737,152818.24108380164,314793.1468639939,1117000.3172451006,2458141.9152151463,3168081.263314398,619288.5800562502,7795651.723613588,1602432.0012781424,1377217.2175705933,1759956.6079335082,751731.5150223356,749320.5815337329,270251.43527414475
2029,1170169.1542897653,7846570.075332532,747626.3333822746,410071.84426130273,1485819.388742872,1242058.0766879192,983353.2842793467,917149.6426874303,452834.4195745913,257560.25483175486,6749641.514378111,1545857.710542207,857334.3985690902,171915.95757240002,292958.94526164414,1012632.3247435277,2626198.4657746092,3343126.5761169307,650310.0784486389,7856123.340946577,1660826.1684237574,1447858.194761047,1771864.2633798257,771521.8957549598,856386.6970397837,295442.7330529538
2030,1240475.042977086,7974872.999080441,835678.66649129,405700.9378599881,1525809.8142840783,1290301.1744907778,1005375.439548993,937542.8532167814,423494.5175638001,253179.46118401864,6956193.8903012145,1574942.1772016427,875813.2102978969,182624.16504372764,300856.954500113,1009341.8824599109,2722088.24536055,3441475.2498794156,653181.7051551897,7928828.185624705,1749478.9505095407,1502735.841709983,1764728.4943288963,800162.3952741943,874026.8953157848,279168.08995869994
2031,1290644.0215518593,7724733.466066819,893749.8223283343,421599.3441923461,1660108.4555325434,1361695.080384311,1089241.77738943,999968.8554635589,434909.55920514546,281799.62596259406,7356775.783660157,1604195.7347605827,880239.7731786048,185962.96580335023,482685.1781882246,1053420.5387180008,2837792.6436086297,3676283.9857433476,614283.0928943416,7887375.852289492,1789762.9505687624,1550814.5664588828,1876724.4591178214,819353.4652738038,895768.336867207,299886.2015837779
2032,1334106.4999031045,7894214.614828277,991302.8427572991,441876.6486237786,1676728.858850664,1370221.8959548452,1109652.149116033,1041729.0110763031,467030.1971410746,255479.15161820097,7449683.97511585,1581420.236501597,912477.1843083702,212768.43352043754,473002.2400105717,886675.2798181705,2912988.370464853,3810102.825695178,736144.7839410915,7768292.251606626,1790600.2906431484,1711361.141629044,1809516.1619816932,827132.0879225826,864437.6912075214,329439.639646515
2033,1417998.4061580957,8214529.00032509,988421.6736249139,452374.7370853753,1705711.7431272273,1389953.7659531187,1153865.06201032,992172.2373216418,447333.47650979797,249161.48330262906,7286033.37334025,1492198.0020350234,974585.3846675255,198692.06756460795,357831.44997782924,812420.7769794655,2929159.8354386874,3731090.7642283086,727740.7682008442,7336856.085889612,1831543.579829711,1698440.6651306066,1715462.3635079649,870049.4632617519,946983.9790581171,318019.0656637454
2034,1515042.5508856408,8565097.305872535,949277.4744230151,474553.5422432176,1818621.7424097671,1443043.1018340373,1227831.5273335215,1007367.6211163511,466472.62932028103,272247.75686390017,7479342.093587717,1547031.8505568581,1028461.9293960197,197717.98602742446,368060.76945153595,907335.4805502882,3056544.3593076314,3945535.2673475794,706382.3310960536,7525622.738413843,1884171.8574841968,1761648.2633479591,1734291.452520373,899837.7330514382,1052371.3983977588,342736.8699033151
2035,1662532.947493844,8956930.543991214,1055948.5739977523,508695.3582192078,1961348.8849065977,1633460.8907490238,1381536.71090701,1229657.459899047,552067.6765380709,350878.1001105335,7885676.704339039,1697206.7914804816,1105430.2488461786,205404.9756507071,303224.6555835946,1166455.8641502566,3409385.034239715,4246330.649025491,769922.2331896229,8743480.410087753,2194306.1960360277,1929809.5726645493,1855760.7338289847,978560.9915780629,1138021.3844013803,403060.9531882992
2036,1724089.9294179243,9347291.099594008,1144715.3292936438,597277.1476443551,2223965.3805823843,1895404.5814109566,1676670.038481598,1522593.286251594,644649.6110385212,394615.31791817537,8965529.769988379,1818747.7899345325,1158336.4925365027,208402.90368954107,331421.29760857427,1182988.34243145,3815381.598430359,4679500.929552817,772068.229661834,8760549.589464806,2490290.5981454956,2215080.8020234792,2087845.48264169,1077398.8448498643,1378423.0758139512,460613.201480607
2037,1756834.1095631358,9753468.4135928,1086901.3324111912,613887.4621784823,2332850.1733558234,1890805.5092254677,1694410.7623605004,1494913.0273129526,638157.4100349653,364184.4755796628,9141367.167367877,1812958.4381479877,1159768.7703313373,212285.04689307883,346788.07771672466,993973.6204263653,3788498.947596806,4715459.481658075,717740.6258286053,8004278.781873377,2367381.802540261,2278153.8994912133,2055886.1514417725,1117082.282346583,1395637.596093915,462794.15671159374
2038,1745240.14059345,8886075.659710407,1136235.6423295485,647638.2386814465,2455623.171275998,1998967.0883580248,1797432.9354035526,1571379.0262807827,693992.2858093784,396075.93553824275,9580660.123957017,1881022.7496154418,1212828.887918137,227473.471709601,383104.6926026265,1087781.396132754,3914078.3462027013,4900023.995518702,717946.95505749,8485188.756173417,2449610.6083051166,2417112.9995318376,2095131.6897596603,1153291.4915860093,1445007.393568559,511633.3177663371
2039,1683468.938254189,9682656.68974524,1249628.9306067897,692287.3901345999,2579651.341898721,2124553.9214621745,1903615.398239238,1712299.5489350737,762624.6629075105,429599.77276849427,10090997.984135993,1918183.3817724553,1288054.2310141053,245931.38280367787,425727.4805972508,1175432.9219608926,4074480.261663189,5104738.64500458,764169.3443023653,8909635.85910376,2592902.119804333,2549653.436795021,2180362.2229346046,1193027.6001450846,1501562.0385270764,563051.4484446102
2040,1698888.838274111,10101424.515382035,1319653.6331092103,753846.1802422575,2769241.9087330005,2262973.835016572,1979183.080877976,1866167.7224656306,835647.2095198889,473207.14408637426,10796347.920247886,1986859.1222992812,1380678.5506160583,265723.0367506885,471950.4105733527,1365848.5876504632,4182913.189758587,5351977.332784582,827231.110026663,9377331.993177863,2763642.192039391,2656271.6106687966,2323413.7109819613,1248157.8043739388,1595466.135802655,594518.2161698729
2041,1705632.308939516,10420448.031504242,1348949.273807633,812120.0846965811,2909497.8313013157,2367207.3554504607,2124315.3004496046,2000178.0964771367,909145.5838052974,511063.78236238036,11194844.749432078,2012049.7104728664,1396333.664639863,274772.6359890126,517302.79852692375,1567247.2493839024,4303557.462199648,5678525.847038193,877471.1683570858,9509433.238353062,2810104.0132210855,2751178.63095103,2424909.2024762547,1283427.9481682067,1754719.782960454,624419.0986378057
2042,1698099.8342691755,10685074.30395815,1386657.2883265237,847861.7444149188,2988539.03988183,2456206.312112918,2189075.494291729,2114355.8040323597,973434.2985240915,524268.61604007427,11138726.42620398,2004339.1916410322,1420064.8252386765,306569.3300868311,522939.2646375606,1560121.756096273,4417957.120949987,5946801.892931793,958268.6391473027,9658096.410290292,2914345.4475030033,2890108.2523668706,2402034.3455065098,1298854.989082149,1879416.446010375,661824.0687783851
2043,1680985.5357560199,10811849.773892978,1384127.2702953254,870588.9474965679,3093599.215485384,2535265.000112242,2255288.2129057264,2270106.9448166527,1010029.3261053712,538590.8409361626,10941937.313125994,1960763.501702219,1432461.541367093,323663.08509978926,519317.85539828235,1487324.5478072881,4520433.233169585,6156684.737118144,971999.1451454143,9842055.336117096,3031057.568412963,3064625.0282056085,2361309.8124786564,1321135.2016022082,1976018.0046057994,694679.3130841709
2044,1673820.8237986674,11031180.470434686,1376316.5889079557,894538.17283369,3238074.068185191,2645788.739805524,2320900.5462183137,2390978.230106555,1040117.4026592531,560769.4449022493,10765256.443332883,1964475.1458871413,1441995.4417938387,329997.4627350508,611356.7264472671,1508868.212491896,4608898.806137087,6342070.847099226,954871.8736582876,9973359.615446085,3111574.8335324326,3247261.475132177,2376192.731656943,1345440.1035107279,2035850.6617200847,727144.6853106284
2045,1669931.1456586474,10934036.756404733,1426147.329032588,928650.1139457974,3379110.3276012563,2757976.5486410367,2383138.512344219,2512265.696110815,1095230.9336785732,563200.4505318415,10641237.58857964,1922093.0823192527,1463026.3356268941,330662.83565344487,696779.0107247641,1490702.0477452246,4721289.464601133,6587499.783565739,949231.5464711478,10165794.679803623,3159060.112037288,3392653.4154050075,2382178.186373803,1364462.7582245609,2080884.3012635522,777277.6066861524
2046,1676652.8385223006,10710980.29609787,1499134.5826974695,974311.5133596465,3524423.459929348,2833267.2855510768,2535830.7040020144,2681796.577736817,1170489.4792715674,566703.4740553193,10520254.220255665,1912636.4996296142,1457272.340463378,343115.1051385367,647633.6185053829,1423711.6365140865,4802366.003217484,6937260.916505013,927631.9752320971,10038250.15566426,3198271.5324369185,3463843.885420135,2393015.935717361,1390709.2432285547,2251900.793479541,836359.3534547773
2047,1684032.0179987561,10764043.034982331,1505655.2541639518,1006320.6875390151,3635532.690249678,2913161.6007545525,2629831.731991468,2783918.690519267,1227573.2385050368,592312.1358894442,10369396.369586395,1905695.9044768158,1479536.8563466782,344659.4930337647,609584.2763762879,1426645.3233473054,4929611.909627177,7226624.218851061,914028.7724279787,10295254.073897518,3305972.428754254,3543615.5037639975,2429867.6952647865,1416837.049900047,2405347.5193569204,881028.9479290777
2048,1692367.876523778,10814705.050975781,1593510.8373992152,1054878.605797145,3773829.9317467394,3064133.3775055725,2769463.024162388,3027522.3678633557,1332882.9800761328,652878.6684467472,10481703.518808583,1887129.2144546644,1505085.6220645607,342339.2400169998,600165.0850701145,1507902.125489418,5176902.468105925,7730849.171324676,957254.2188262215,10570842.71846828,3543167.4561767825,3736369.569648758,2452423.7111578314,1434649.988931804,2560386.290261042,959690.9009793729
2049,1703668.9865579621,10879050.610514283,1671370.6704853526,1102867.6617045912,3908117.6371097853,3209658.9440500783,2915855.184690988,3352603.9039754304,1445482.6337236424,702956.099997573,10911719.378237221,1903900.430218611,1529115.8677833294,350484.7156012531,602415.5573395424,1682546.3485763664,5415343.720657605,8174682.608068204,1025230.7169084187,11334480.294006543,3825305.2682415997,3995947.409986833,2469860.72142134,1448008.203569749,2705265.713254075,1037732.3611031419
2050,1719103.8710734865,10996796.501224978,1629001.7724600115,1128493.3369100217,3962658.0532419765,3240323.224526408,2985238.8612711746,3522195.466197776,1498999.166707332,690982.6026370109,10876501.157011412,1933505.7402453462,1550272.900772268,353091.8460355576,626328.9019577802,1581193.9111542455,5487563.319346092,8354520.094092265,1004708.0060874266,11013598.329011032,3870988.667898894,4227163.747287172,2505941.6886747093,1466618.8439240658,2783667.5192681085,1076518.4901539742
2051,1709647.9344169672,10806590.89622182,1591541.504267172,1148470.8759886425,4020911.867597412,3233507.1235562135,3063653.329699565,3681901.1236413596,1560413.0027269495,683932.9587681078,10629269.118953127,1874522.159035526,1528750.6447575479,365382.13001890184,610903.6430460862,1540850.3025244533,5431902.393022659,8563091.344535895,943453.8935194078,10583220.368828975,3717519.5852808296,4291108.868222399,2495132.490380159,1453925.4293672075,2923366.229523231,1132837.07802035
2052,1712320.1456469945,10916947.37206574,1610120.537914548,1170986.0685797667,4062668.542691291,3291113.727482632,3143231.1990093323,3872039.8607212645,1649639.2914698299,710725.7201001294,10553022.690845301,1847734.6496498385,1531574.3813029898,371884.4045105815,649323.8717516063,1602209.9877660137,5499203.054479784,8813281.481531393,947960.3097229686,10812972.19154988,3772919.4808938247,4410809.023935688,2521102.3003051784,1458834.608610623,3018734.3649686775,1207066.4419579774
2053,1710887.531045569,11120023.71647615,1629808.6409329663,1196788.364344803,4104935.0807089703,3345661.5898729665,3218663.734232263,4110986.2032921785,1743366.4152813382,755005.7816130324,10648139.651611906,1823030.6650299598,1541994.2743664875,371416.0173908043,685705.5784048912,1651093.3350416077,5568381.339447139,9077095.148381522,951738.9381967476,11025629.540428637,3862251.0001869854,4476323.912281153,2577979.254171489,1477240.4484159825,3113399.5072889472,1270171.5403450502
2054,1709443.3205163674,11295373.223151091,1632789.2109286773,1226406.3214620778,4153703.0654682973,3401196.19114173,3273509.450138077,4308459.235729621,1834815.0257006388,791274.1372679136,10745567.609563958,1866384.1834232924,1564507.530973963,375280.8484443235,721525.1785400136,1756265.1854913502,5658813.324410545,9307751.010541968,950672.4302280891,11302641.86619178,3941463.6530418033,4483132.886256387,2705857.5327375177,1491468.3352976858,3216505.099925769,1315455.5392608177
2055,1765980.4772740602,11563355.405775245,1629535.7371189545,1254307.2308745163,4205911.873913486,3429983.1006392175,3322684.2891958635,4482750.7744613495,1927501.7922008066,815186.3357978737,11218046.569354312,1925518.7303290432,1601514.0197530733,380955.1499985092,746303.1667220286,2018337.8926918036,5760207.189773259,9616679.600666804,980291.4982129214,11447441.904094892,4028988.2982685,4483264.128393877,2758688.3651849953,1542030.040305344,3341485.801731988,1363027.8452918532
2056,1785740.5136094848,11435960.284284249,1672751.1970808646,1282417.8845781125,4217990.251180166,3444064.7914603627,3461033.0707821003,4783921.518533694,2038174.3290157935,827178.298939373,11096931.016614776,1915343.2811211818,1600596.9563096187,391486.760202061,768480.0589518149,1973086.2436946435,5790684.756629969,10123477.373039624,962398.1103898975,11281917.708706623,4070372.890912294,4468230.650801886,2745796.5305698453,1540605.1137200564,3592266.350302142,1436262.5613060226
2057,1720783.1846362401,10892136.17959786,1694904.127413875,1293348.7257466165,4232063.305609298,3476016.7271669824,3508610.77792089,4969917.864470385,2107364.2570229527,811338.7909813585,11025123.863768136,1897236.5516152626,1641337.7786171227,408317.6420311654,812731.3974589345,1905936.859576873,5851309.32433309,10492460.014207602,942012.3904545994,11357115.297831394,4085127.547217705,4516599.527234757,2722546.8769543045,1494224.8679513822,3698052.8565178066,1487129.320793655
2058,1715596.1041634798,10664836.963083817,1813136.5228184871,1312231.1798397175,4278070.067918957,3515411.2928076237,3559265.999028881,5164915.817827221,2188980.4598231656,805053.2402095275,11035497.378958322,1860308.50108557,1656489.729125168,430375.7673956428,885526.6991275273,1859693.165221146,5922731.391665483,10788539.515767442,940694.6321680618,11474872.794824742,4114840.1269663936,4602524.440365884,2711777.3731054803,1501742.6651924676,3767129.0937453476,1552330.2791113702
2059,1707689.824120176,10595364.844798451,1811781.9903022978,1326323.6378112698,4298746.03679885,3534271.172952691,3609537.594119971,5355349.757827612,2276427.1097851214,793077.4875087026,11094058.764207255,1836105.5473388098,1656551.4101711707,426700.9672687734,900445.7367881046,1767213.116144021,5990967.499028965,10946669.891965248,936215.4968125755,11469297.082595581,4124056.6681698803,4659050.156256546,2714463.819181574,1507204.662695758,3846815.173351121,1615597.1436935768
2060,1697849.1751738444,10496506.213376679,1797294.2073893948,1338588.7080739469,4320863.462630754,3538460.9981149943,3666854.4167010156,5511584.223008385,2350478.3483057106,801915.2954800904,11159104.425556134,1834062.6480273264,1651266.0478652013,419281.98629914765,852445.0623641826,1808942.6848799554,6042234.870919824,11129599.996722562,930555.3122621349,11436229.490679683,4135264.1431583785,4709101.753862435,2734014.1833706363,1508011.7216235364,3966229.948379469,1669624.503102433
2061,1683409.9321795516,10528595.35845659,1811900.9026429467,1364120.244852839,4341345.985007584,3587898.4447224867,3818391.848309537,5874117.2520063985,2485463.425994526,813485.9614060163,11157400.25895694,1826581.8987734218,1614915.2586655486,421362.75547015935,832589.3807094509,1836942.2237511417,6093271.502424235,11502185.248980766,922021.1054048529,11322453.027287574,4213007.320394342,4774705.212495814,2734268.602409671,1503106.8485284755,4267778.05993986,1770280.8786998317
2062,1675225.9224784474,10735430.640327267,1886676.8631782348,1374936.139799591,4358057.900208643,3682015.2860673117,3940854.450439454,6228923.560935066,2623520.7493899493,818509.0807931358,11213161.15484507,1831933.3790654861,1613067.030402541,422972.86488579394,814587.7401172371,1844898.2718200965,6290422.738973137,11919076.768919533,931161.7722975975,11290476.632162819,4418213.042969782,4940742.744878103,2745655.0847683004,1504852.789859827,4435414.681649714,1864847.8852875696
2063,1666659.1762966614,10845944.208536513,1946314.057119605,1388643.4329773516,4372770.245911425,3730853.0967095993,4036882.274821222,6556371.95400107,2742531.194300698,865819.3241148818,11304163.321657205,1859475.285991366,1617942.714411314,425323.19504856324,824109.1800631746,1863150.0035857775,6412209.571749765,12238942.128476998,986904.17389003,11266113.786392726,4557191.728727514,5096901.951814118,2756617.9607797056,1499503.7329401905,4575237.033679825,1943696.1630630004
2064,1660271.8801502215,10773267.58420041,1949846.4834554787,1406877.151135686,4402386.366973224,3737708.9775287313,4089836.294951802,6789571.229043412,2840873.924261807,860199.8494254437,11431352.800818875,1887800.379935461,1632026.3521150057,429623.4423148814,843376.0710895264,1874677.5607781992,6435158.11514349,12461086.006840553,943137.0697011597,11286731.031361075,4554511.947898946,5199517.77415703,2771361.76464732,1500953.573200452,4681417.680679311,2014038.6922839826
2065,1664950.280148447,10739259.6194469,1954135.4737042466,1428913.5923287782,4434873.505897315,3774832.4731377074,4158666.2525962866,7016492.800107382,2949741.1243966823,872587.2310722566,11595508.86231499,1912230.0302607417,1653874.9083557308,434392.542617394,865292.8773765763,1890707.7355200206,6484224.860852132,12723089.470262608,914674.9883196737,11340089.432957364,4578225.2965530865,5303160.583794817,2781926.351855062,1506246.5837213146,4787354.503019903,2095901.652006326
2066,1665789.1812513028,10786896.424567742,1970542.1516776998,1458880.1647881572,4436013.409228644,3838560.2797183665,4266210.16467078,7473550.497182284,3121748.532526826,904944.8545176759,11987225.439420002,1983876.1848592032,1644681.6433508415,439953.5445403358,923091.7461637525,1911628.2668514247,6476710.9993305,13034163.201249368,913612.2684171,11333812.419621052,4622869.928793125,5393210.678538904,2813784.9862914993,1501252.578747513,5047544.067600346,2215738.454625265
2067,1667351.7646312034,10893810.110382313,1989071.7970274664,1479718.305671972,4433010.836143457,3898541.0237497175,4341229.194427241,7772076.694473414,3262469.41717945,932491.5716737113,12224454.849644376,2094590.7559098306,1659904.7894725231,443075.02290744364,979835.8150664117,1919033.4554640865,6556377.029827772,13418240.065702278,909934.812098789,11394261.61866895,4702687.6323511,5488159.622119307,2850729.414541455,1502692.4436653235,5198043.523332829,2296792.1163092186
2068,1672433.953819616,10932721.91537512,1998053.077442965,1514799.5339748326,4446476.104025268,3946107.9101576456,4401899.039401241,8057703.224119946,3400118.7326140245,947525.7324821524,12373941.87472012,2130422.640377066,1666991.5756193548,463753.88677466585,1011740.0809818106,1930589.5469987302,6644961.652624033,13718090.348454341,907248.9676836899,11568422.417939141,4756072.971657641,5570797.43017769,2790196.4464930645,1503044.786701419,5358869.188987941,2372718.865733766
2069,1687809.4108482893,10818384.440277219,2004037.2538514093,1544131.117030804,4468388.210041796,3983715.9374647904,4462083.640499457,8356171.609364566,3530351.0591281233,950845.3409022412,12503569.525221035,2141242.021268839,1676890.1344414637,454829.40214070026,1024932.7307714112,1949738.6313165398,6723074.51129868,14008138.271195887,923201.5360870708,11629565.504252087,4799606.868060338,5674515.26268191,2798729.8344938345,1509405.2005878605,5533437.399791635,2460579.5530026173
2070,1685467.3792456521,10609912.896755174,2007777.5165296216,1555019.0000548908,4483159.665769305,4016589.0059284153,4525070.726714291,8657488.346008591,3637807.7815534733,949078.5597709581,12520542.351793414,2167789.120412142,1684706.5479025498,456568.6711506325,1050655.930290486,2049239.0179069538,6790024.78260508,14351745.757405736,916593.2549292638,11567180.393787712,4834150.083634949,5787715.461292207,2809251.4966529156,1508469.5137438963,5686517.378556903,2543344.523735571
2071,1665388.6374943452,10398471.926299738,1996090.6823005741,1570433.5615717298,4466412.566604914,4040034.4052960104,4603351.834979229,9144938.530406961,3786351.192406543,940220.3669700215,12551281.608714687,2176916.526103875,1665196.6681045105,462356.0164387151,1122740.7665285903,2063026.317418178,6784502.210973831,14608532.45367631,905925.901679534,11560052.289754478,4808103.54608819,5855608.7619693205,2767383.7208036464,1494500.9165796707,5943487.76026801,2665319.934352588
2072,1661273.1816537366,10327336.34815876,2013836.808305762,1591283.8658705573,4477311.191367114,4087890.2163277417,4668036.597315935,9458489.263731387,3925787.9233685695,933985.2158013183,12612333.659387844,2190998.879181471,1676640.4742766432,480837.7156226316,1175482.0361973052,2029263.5547082478,6875384.159585907,14965351.42350492,897189.7911929918,11596994.880185103,4816850.517901422,5953644.945869196,2735379.743469754,1493617.0670756733,6063360.552294873,2764512.2228787253
2073,1664591.0452591088,10287015.262043484,2031340.7582600228,1614767.5104575623,4503360.153681379,4133169.94308697,4737722.914620982,9768935.43488388,4071106.9958392205,944427.7050406145,12703613.297838427,2213268.115632481,1694722.742634822,480096.345972677,1161623.5978800165,2034103.5173575568,6956878.137619421,15310527.161368305,890171.4924941559,11681298.472189816,4851935.638653162,6027534.062941851,2719360.32150749,1494462.1863970642,6218651.14684551,2868068.257200436
2074,1677973.5145057426,10283457.152612895,2045365.6900337685,1639524.7350553772,4532800.902257228,4197334.5336807,4831251.8812521985,10111361.597434064,4216084.512886781,960703.0523095896,12763985.799085947,2224938.5819668476,1708698.5257858657,485600.9070293668,1127119.7737421247,2046378.0477335048,7063493.890454159,15734250.67891882,885665.9525815884,11790736.285308413,4944274.209207565,6121809.590767079,2711372.72786717,1498329.1506142742,6410619.604123316,2979280.6072827503
2075,1723877.299685518,10578650.700460332,2090508.5011400236,1662738.5199513906,4559751.855881645,4296435.411916791,4957888.023889253,10521837.731493024,4385297.00698357,981276.3956436028,12779910.978729986,2216219.746620948,1717340.6965298671,491864.7731174219,1107950.2330492558,2063510.5343402415,7246656.715894586,16267676.604506256,879447.1001144841,11844306.883681513,5118014.441886054,6269556.134094355,2706600.0134138726,1503542.1999561763,6612918.834175261,3099240.1651794976
2076,1728594.7210230324,10854807.041648936,2121848.396761206,1678417.8752424594,4539749.196275741,4353769.3545125695,5079286.538363043,11167261.601003075,4609628.632052276,991087.5160203037,12684693.173501397,2182607.532073584,1699783.5243440773,495057.87155732664,1122775.1996937916,2134175.2793727275,7345577.227013442,16579116.05913366,908334.5543856429,11945344.614109175,5245461.559927395,6371872.859885136,2713203.938939191,1490303.5918830447,6887826.689814011,3258580.0226405403
2077,1675647.3035898758,10810505.155334624,2131180.069408173,1696376.4543667866,4539633.165873405,4384434.795357823,5163060.881551606,11597021.598968504,4779896.9491109755,1013130.2131041776,12533233.310250798,2142283.3731365567,1697277.9559715416,498905.6536859269,1143394.0825510786,2154527.475534693,7404588.169193016,16926869.33380891,909115.0548977708,12099957.343147084,5293008.14488741,6487850.188206717,2674692.504798405,1484299.6542508267,7038126.497389553,3368629.765703688
2078,1628853.9688658346,10569273.098480606,2132336.860841164,1713839.5795295506,4534947.929676156,4394552.164580067,5242470.789875026,11944501.02675992,4956894.022883213,1004511.8510224604,12382737.021145003,2069478.082367256,1691502.6725158717,501568.80368430243,1163631.1247280159,2117805.0757965846,7417899.156906034,17243251.016991645,867569.1632566915,11890185.63059869,5273687.009704761,6570035.148341613,2641551.1843467252,1477293.7542714512,7179663.855574455,3483087.015205397
2079,1613096.378220308,10571144.691142045,2174185.7081256947,1730045.964226203,4525953.015468182,4424990.460388464,5343018.250044005,12336773.18795123,5155232.014341162,1019778.8953609997,12233894.48267549,2010349.7123736397,1685455.487585404,497564.0652861661,1185440.1222585733,2105210.7633801796,7465760.32466058,17615091.827639353,846676.221884779,11658230.322894718,5306995.584504172,6661129.024709206,2624494.348079503,1469482.9259194187,7331951.347819227,3609946.6728081
2080,1592863.1375501156,10669212.661249656,2237861.57785318,1746079.0648340825,4516614.61069651,4465173.701745088,5445589.508569027,12750839.580673935,5352438.5774207795,1048333.1983293913,12121193.562033925,1960087.9034196113,1685301.0676425027,491290.4362419411,1207492.8851473096,2123856.287994232,7546448.385777324,18012144.297911327,838853.1029876629,11619484.950358773,5377612.666203497,6745299.0714090895,2613708.8058660794,1463957.2374671663,7495678.235595032,3727901.793986453
