,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material
Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
time,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,401342.9573347873,3860880.8675920833,319061.494040192,106047.50788539338,406980.83397878805,398070.6651541373,199103.51456815645,94909.11331489963,85586.97451439405,74340.89362524512,2796062.9030671446,310069.3227752248,31234.395086430755,4092.025448210915,7149.180530574983,1486.6169025850693,655505.8151737611,543184.5447438703,368654.373750082,592538.8416831905,467628.695315849,400159.0217840926,1647843.3520091765,286787.0486309757,172783.92812334403,41600.15320161567
1995,305864.5715642428,3454169.912527732,54956.5484453129,133275.9804178917,993089.2050349849,534997.1942491573,186667.28242779247,149620.32019587082,95576.37869833846,158074.55130569276,3082895.4178285296,346732.33841519174,196197.1421658307,3723.1598667050357,8617.851081850522,9195.779759368723,220944.30955596943,726974.469684508,490134.3787299533,908270.7661778061,609451.3287726863,372366.5434022359,1396110.5238781576,305262.15401881275,198699.57625770444,68491.89928075887
1996,254515.05021598324,3082888.1047940054,47440.88861424784,95187.08841222343,647721.9420857311,569014.2785966983,221226.36320996858,238391.26055653824,95090.96731055166,63650.801449550236,3680787.1748865405,906941.3745561402,216664.98980087024,48077.64566901541,44718.3682631861,300700.317458245,585536.6282742117,823868.7528530661,438771.6335987375,1661319.7477970296,552255.5906628112,420447.30421344034,1424734.6518625792,301153.4024551932,285434.74043840397,49030.09767231278
1997,415630.4192234364,3226194.30524681,337754.13865266764,146922.6125364126,522973.5954980004,472231.2705407618,153051.75176052237,294070.114633783,107608.91375238812,92090.97689979678,3264280.9023882234,407980.51053504244,122202.17000789502,19852.727902236475,21158.15936683257,11577.490494867869,623588.359759443,507978.03156893677,215463.36176169987,593033.1818682797,388112.5342160371,412386.05945972976,866593.0563635678,282060.2757733873,150736.85453781261,70770.99982698027
1998,373444.9902341142,3950016.5828245,358972.44842261646,153870.99851235587,408886.72437392623,506793.6087071873,347183.2615372625,164444.55392293783,98434.99056503034,55013.01170078458,3831596.663179511,347385.06800187693,39132.12199058656,18367.63908271951,37071.71080053972,48002.36300251414,1039320.4619067983,580162.6417010443,11645.159303368979,888452.149549145,63078.76726893449,88816.99708467185,687539.0799765927,280958.0227876591,194457.99478063965,59284.79671770256
1999,473918.72959726246,4882781.524936983,374127.84449067904,152324.1100921512,271658.3719624737,157061.01700860824,287427.6272133926,161504.53165251607,97704.76027282666,116802.51240898769,3948319.4411986265,347109.18779831665,167072.62172187667,19595.36564046994,15008.815158147027,71284.47678553541,442877.3739246916,764136.6177758507,151791.5636703812,1143238.8999845958,429076.8706734055,179895.8892533486,1123590.298337934,341694.7064560213,210505.0706155106,95978.87967109091
2000,282104.06095929816,4154879.9151162663,541252.5616038851,133176.05773155688,407669.38514384284,307857.27193318296,209019.98440097342,177683.5445605045,141153.19557634825,145854.05413817143,4125936.3218178176,372925.4838590605,268583.37338698923,10547.340113943723,146888.1193024585,680414.9058352979,654648.4645716138,614218.414171597,556303.3771686181,3765844.3794912244,433165.66431235464,361112.4824011311,1382454.545069529,349190.15784662846,197158.32264283032,54174.169103920074
2001,398369.3577195838,4674582.3664023,372344.7018766389,149557.7457341842,408807.5398253828,394046.75907418056,249419.54360565645,349557.7755090437,145410.9270762217,172796.30027480237,3880330.085696105,653195.7609349518,58884.99488715864,44635.45369409747,122469.02982212615,996570.8508332996,782566.0415356645,619787.236501498,448344.46776159015,1237235.5919203248,528051.2066776712,336970.1064747498,1488476.1568360426,179086.75523855572,225290.66774062617,84460.60582015429
2002,726041.9529784254,3678833.137848711,371647.3235050596,150557.62672216134,570026.8012277816,290783.8093874565,280045.63051783823,426633.124387293,134503.9432470604,150737.78110354542,3398009.283734662,564530.3807310596,182871.9446211527,73995.97914080159,135221.29463361355,692108.305369438,881737.3380688921,722239.7800643726,571939.0149312617,1616551.8532089614,582080.1208509058,326913.49563022936,990402.1592833879,472743.4074348643,227610.33684218422,96361.52469034573
2003,571822.0558974002,4513041.852737235,576349.1959717531,106630.15320361636,341321.0231753904,237745.87248087168,271270.20092413743,301585.81798132876,109585.80140296463,182777.51119818471,3569551.3423128203,694744.5676478198,186635.97682487368,69017.78339478027,123488.11672196555,879226.6747331683,878478.9654440321,683282.8446661948,361176.0263791773,2022506.0749512487,605829.9189023229,354032.4278776473,1233006.3412631059,255221.47783004618,266703.38666981604,77389.90482892696
2004,550360.9756734164,3656602.4669084623,513694.4929535043,143432.58308175823,814392.0883093491,605715.8606215785,310869.0716306983,314495.6200047653,140300.26591919793,188467.04334805885,4100331.6300112414,747062.0825588576,259532.4856659204,142441.25537622505,184066.82998983344,958207.16113501,1300227.3812219363,893649.5038471939,307875.6926850598,2768949.311190064,738672.5577589704,344097.22746616055,1548940.1638354121,558205.1728523283,292681.99941722007,102697.54411031329
2005,447322.46651887376,4290721.634284939,543716.7096126166,157529.4642154161,651880.8781168065,714936.8412388538,245906.278990855,227275.11059906255,138998.9062752676,183685.13599000956,3367014.8912228826,721683.997055319,294419.1864162693,150231.5966834168,93543.52147750193,445617.55597031873,1113668.7509085375,909418.0392590857,418776.9602526912,2332527.5527305375,450572.7024180018,333070.95715994545,1291355.5692621246,224884.0560097471,235174.98249037392,72283.36735069803
2006,405895.635609694,3727597.954058619,508594.8048917656,190521.20297415854,718240.6417281778,859797.3201666572,325485.4460493094,222752.01908986858,169966.3503322342,183325.62937140968,4617966.5301798005,839625.2112690237,474051.9796664449,197787.16092337563,138064.93332411782,912537.4374595917,1186532.3890946142,851244.4675521808,450056.96925473097,2541290.5805679467,266348.54094913695,164833.53078498083,1131830.6905721796,328834.9182171166,280371.365633534,104400.3893744092
2007,787905.8807432533,4033970.8748088134,623084.6307350523,242672.8304378789,1122470.1414814293,1033906.1495506851,481114.2980278671,303009.59829661326,133532.16983227656,224142.3077473797,4152392.51749337,830082.2174097638,482053.99691998353,324285.1688968147,211524.24146909453,671445.7788731589,1407676.2787007524,1527877.9662221354,544941.0198866372,2718435.368035772,825441.1642675822,415705.19725190423,878794.9697804288,380604.80568270927,449998.30420898116,115158.98293139298
2008,518827.2260048554,2079700.4509623256,579992.1743864615,101887.07782756031,1126916.995590211,862131.7732421733,448075.3335963936,409298.98232490994,181325.08641041245,95705.11584969332,2298989.8194286986,822305.3874969165,79391.32586729723,219385.7224970992,177275.95992170373,1139907.921811952,1456765.4592061394,1433589.1107416232,376194.0419144669,3123556.587444269,466988.3639252843,462527.0721546858,686002.4463684462,364316.44297332544,240886.984177759,133244.52175374405
