,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel,inflow_steel
Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
time,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,5435924.068017341,50334669.77545015,8555735.247726476,889145.1139160572,11079302.906546356,9257391.28441172,2519973.9829582428,1398817.6919360126,869594.6906112421,656732.0574020926,49147534.419225104,6555537.3075447595,1630374.2688537498,2700609.687876769,1708680.3174427736,9387800.925598834,6816776.208269117,9689769.073271831,3741898.9916567137,15134163.33904439,5181421.125611855,1840918.8495364003,19854181.727405097,2405201.175799739,1788588.1495550084,810163.1085349309
1980,5219982.14922593,31629297.964372043,6971113.28291635,801195.3247478775,28055736.703893095,8093325.43009097,2685546.009137187,1704335.6805952152,992900.0965651633,1181678.0737514563,35029427.14645981,4613514.54923107,2396193.2649964215,3355148.8880145308,2057096.403876578,11918911.31469704,4624979.718956821,9230111.94426687,1532292.692276987,16319541.99971791,5338897.183380612,1868791.0400877413,13838680.78678555,3002388.6502707815,1737502.105844648,1034106.5933195229
1981,5066843.744967822,27049816.460835718,9999627.936677715,1050668.3574232277,3802305.491130139,6573101.720011621,3511590.062148433,2034472.4814021103,982301.2714590706,3334158.882523097,24145473.27532727,2497636.126849479,1995157.1348990912,2552378.145782208,1894576.766348306,9631800.643350206,4652709.201421608,10877953.161999647,3362746.69168973,16863298.06790462,4766784.32257594,2186370.5784780225,12161512.284428403,3004519.948090047,1634111.9923351184,913916.0344078896
1982,1389040.957946456,18195268.29181473,3225266.4942985396,684830.1491576183,2700261.3724108846,4537133.624738392,3794397.9714081474,1789456.109934021,1091730.0983896242,1673208.489302756,24477281.206007354,2448999.58363613,1824621.991676497,2167818.4509264454,1742020.0153661286,8123942.187288903,15603946.949177042,10748238.315685686,2412110.4586199257,18460495.564114112,5398201.686699562,2060106.2177698475,13729751.41351037,2916724.826881643,1845811.3574609556,810615.4160407752
1983,1902212.589129639,67447108.89332119,148928.5039958316,849312.3297873427,1265309.3419354968,3396948.6296345126,3995914.6519147377,1513003.0047626733,927551.7551757892,1236690.2827708873,31244545.279057857,2808823.478437639,3448899.2735159555,1921373.7440950563,1456617.0764406293,7662266.417909451,13503635.423690239,11944381.458243642,3329319.952141501,20334551.596521366,5588880.062727813,1596418.5108540629,16381615.376356184,2282889.526833112,1919305.6099882922,772732.2313931892
1984,5439852.685135702,64396453.06765533,1755362.912717468,1193206.5829658106,3035700.7089348854,4339395.768172628,4636409.989507796,1951836.2209400877,978902.9804761666,2133378.9176148893,37845628.319412835,4884060.397102959,3795660.410100517,2380482.5239749583,1793557.322500153,9233466.558855882,8393854.566372646,11481229.669369508,2982729.0036256993,21053025.34842897,5767377.173018825,2049487.814738238,14950380.978075847,3395470.923132749,2140245.17353886,853616.2303632101
1985,7161258.658511635,67852944.9544009,4148494.9862771537,875960.8152202272,6356781.266370613,4841318.390237398,4598243.188663978,2650772.7019335036,1108358.8746758932,1526701.330757246,42638847.492250115,4595221.360598727,3203880.2574566226,2175181.8909017225,1830538.4185936106,8309246.691753043,6578828.058134438,12464378.93950274,3297996.409568341,25017425.5982661,6013891.152472113,2152944.054312516,18905986.734675314,4618687.269001927,2238025.2967957733,743697.0913226263
1986,7766000.301156516,66942986.41472426,10900934.94893059,932807.8856902391,9114620.65711152,11195326.153433856,2865174.1897626747,2222852.022619268,1227812.163268118,684613.3793701769,46860727.337596364,6744005.512714677,2392339.2426704126,2379985.087999107,1858734.7793680697,7954129.1104882555,17118280.118270185,14026466.331481826,3410147.9523994513,24841494.082022503,5695150.06090218,2648099.45850515,17337632.537879728,3728633.4262015894,2114648.8347344017,878863.067889588
1987,6953256.964940703,63619786.96009426,4551594.784841887,1301090.6061174606,9970261.302339308,8806258.11803544,4646909.651579181,1773714.2629483533,1227357.4808688369,1870818.527128751,53620232.09727056,6329466.259955979,5795030.291718541,2246786.795511425,1608117.1564545052,7481966.56110554,9141780.901386537,13817977.806453902,5737771.154965572,26811057.42884716,6521113.245055826,1919587.2070993471,20919536.413502462,4285518.066699657,2327140.492292306,678737.1178231915
1988,8249434.592814989,75822939.37760149,6238352.956056554,1123432.1547521385,4231749.754486078,7358573.492641917,5290619.7659928575,2789129.3101947107,1668326.064849775,2945970.8424053206,67464989.09751208,5270354.61611286,2663983.4441360547,3557741.5246221484,2202769.7587610045,13172950.030043222,4357379.668655598,15752102.188666373,4890014.396378671,30694748.19060417,8438342.875845162,2450215.725197803,24604881.415027585,4361799.558429512,2351244.3241832484,918552.509162879
1989,6634403.1251411075,57762886.67993558,10677627.61280539,1318171.7877342815,9512295.842395378,3662276.942640216,4492019.183378578,2313325.3860960705,1133738.3843263832,2589152.6664029947,57885367.65348195,5532508.19502873,1924883.7466082547,4402920.836685834,2831378.2933771065,16920983.027360503,7935688.091828953,15523238.442474274,5805817.153828034,27654304.51470075,8826039.544833167,3627197.5125020756,24012714.351968065,4926895.574693127,2168819.6062472523,879964.5100610523
1990,4232929.673780476,39695529.78362429,10076224.606072495,891598.067212143,2278514.7280359464,3905007.4750667633,4178942.1482940107,1389388.4278077025,1498805.7756619041,2136936.2434662497,53322167.4865493,3772202.9743202855,7430528.771903297,8550220.059378734,5189104.051342235,26871563.794575963,6122136.485404804,14461194.541835647,6343902.893732292,33213792.295212865,11607732.640309053,4537790.128610411,29284545.61641799,4693359.085302861,2485864.395881004,1013696.8107066741
1991,3220353.7298746067,34206376.48251615,10001277.92180655,423610.5099508603,4267746.077549215,14953814.270926742,3223902.538114873,2760005.683827653,1130777.3245385094,1763714.596699635,47806168.35313594,849278.9335504055,3563657.9771719924,3840528.0630250904,1965321.2023701523,7684685.800809889,17163337.015892487,14385351.483751021,7072784.188326362,30643227.327579282,7707645.441807378,3710998.622930312,23104678.599077303,3212070.9379094713,2145579.5532221496,737116.3069247779
1992,3490900.3634492788,54000903.98605231,8348465.901439622,1165276.4010690318,5268393.261513215,15336982.2859112,4019813.1132289986,3034591.187040515,1223817.5974538357,1096423.3349352363,47991057.313102596,332750.1237122032,4186104.319497568,886756.7554144596,1097360.3754366492,6385611.030622473,11834115.771824319,14374525.79194265,7004764.294817324,36291548.27226981,9863511.06219553,3499461.532056432,20663376.42812032,3554897.9700348005,3121198.885129033,923861.7292583423
1993,5930044.177893119,57637763.36991841,5121577.793156208,951425.580586127,7230096.874902501,10413519.998953559,4711728.070844642,2003194.8446539424,1269960.3940599964,1009382.2960654377,35708742.84822464,1311885.5296794684,7354927.586559939,823015.7070035842,970532.0273966723,79625.3212736189,10795163.242076196,16431605.288435413,7485101.375324417,38614250.31777631,11777661.138853615,4328277.33083544,19194275.115249444,4124001.871993599,3187566.7270580563,606570.7732010399
1994,6469743.400933698,58466946.129021704,5528516.025458149,1342412.154423689,9443118.824224455,10119843.075767739,4226653.029420844,1906025.6940431201,1381790.7331494652,1444674.39969033,46091553.73946597,3859563.014797577,2432227.1738024047,224845.38367004314,555416.460423609,89823.41517323276,7802596.436523349,17680401.71000145,7905366.332351223,37304647.696225844,11052497.073331974,5108399.350467464,22315076.75296838,4534779.483239805,2776662.808623918,581651.1748597705
