time,Region,Type,Area,Shape,Scale,mean_lifetime,region_code,agg_region,reference_lifetime,diff_lifetimes
2020,10,Semi-detached,Rural,1.96820464,67.35799478,59.71388204266625,SAF,Subsaharan Africa,50,9.713882042666249
2020,10,Appartments,Rural,1.96820464,67.35799478,59.71388204266625,SAF,Subsaharan Africa,50,9.713882042666249
2020,10,High-rise,Rural,1.96820464,67.35799478,59.71388204266625,SAF,Subsaharan Africa,50,9.713882042666249
2020,11,Detached,Urban,2.94587674,70.8158004,63.187241595365464,WEU,Western Europe,63,0.1872415953654638
2020,11,Semi-detached,Urban,2.94587674,70.8158004,63.187241595365464,WEU,Western Europe,63,0.1872415953654638
2020,11,Appartments,Urban,2.94587674,70.8158004,63.187241595365464,WEU,Western Europe,63,0.1872415953654638
2020,11,High-rise,Urban,2.94587674,70.8158004,63.187241595365464,WEU,Western Europe,63,0.1872415953654638
2020,11,Detached,Rural,2.94587674,70.8158004,63.187241595365464,WEU,Western Europe,63,0.1872415953654638
2020,11,Semi-detached,Rural,2.94587674,70.8158004,63.187241595365464,WEU,Western Europe,63,0.1872415953654638
2020,11,Appartments,Rural,2.94587674,70.8158004,63.187241595365464,WEU,Western Europe,63,0.1872415953654638
2020,11,High-rise,Rural,2.94587674,70.8158004,63.187241595365464,WEU,Western Europe,63,0.1872415953654638
2020,12,Detached,Urban,2.5,73.25893237,65.00000000080581,CEU,Central Europe,70,-4.999999999194188
2020,12,Semi-detached,Urban,2.5,73.25893237,65.00000000080581,CEU,Central Europe,70,-4.999999999194188
2020,12,Appartments,Urban,2.5,101.4354448,89.99999998337046,CEU,Central Europe,70,19.999999983370458
2020,12,High-rise,Urban,1.96820464,67.35799478,59.71388204266625,CEU,Central Europe,70,-10.286117957333751
2020,12,Detached,Rural,2.5,73.25893237,65.00000000080581,CEU,Central Europe,70,-4.999999999194188
2020,12,Semi-detached,Rural,2.5,73.25893237,65.00000000080581,CEU,Central Europe,70,-4.999999999194188
2020,12,Appartments,Rural,2.5,101.4354448,89.99999998337046,CEU,Central Europe,70,19.999999983370458
2020,12,High-rise,Rural,1.96820464,67.35799478,59.71388204266625,CEU,Central Europe,70,-10.286117957333751
2020,13,Detached,Urban,1.96820464,67.35799478,59.71388204266625,TUR,Other OECD,50,9.713882042666249
2020,13,Semi-detached,Urban,1.96820464,67.35799478,59.71388204266625,TUR,Other OECD,50,9.713882042666249
2020,13,Appartments,Urban,1.96820464,67.35799478,59.71388204266625,TUR,Other OECD,50,9.713882042666249
2020,13,High-rise,Urban,1.96820464,67.35799478,59.71388204266625,TUR,Other OECD,50,9.713882042666249
2020,13,Detached,Rural,1.96820464,67.35799478,59.71388204266625,TUR,Other OECD,50,9.713882042666249
2020,13,Semi-detached,Rural,1.96820464,67.35799478,59.71388204266625,TUR,Other OECD,50,9.713882042666249
2020,13,Appartments,Rural,1.96820464,67.35799478,59.71388204266625,TUR,Other OECD,50,9.713882042666249
2020,13,High-rise,Rural,1.96820464,67.35799478,59.71388204266625,TUR,Other OECD,50,9.713882042666249
2020,14,Detached,Urban,1.96820464,67.35799478,59.71388204266625,UKR,Reforming Economies,60,-0.2861179573337509
2020,14,Semi-detached,Urban,1.96820464,67.35799478,59.71388204266625,UKR,Reforming Economies,60,-0.2861179573337509
2020,14,Appartments,Urban,1.96820464,67.35799478,59.71388204266625,UKR,Reforming Economies,60,-0.2861179573337509
2020,14,High-rise,Urban,1.96820464,67.35799478,59.71388204266625,UKR,Reforming Economies,60,-0.2861179573337509
2020,14,Detached,Rural,1.96820464,67.35799478,59.71388204266625,UKR,Reforming Economies,60,-0.2861179573337509
2020,14,Semi-detached,Rural,1.96820464,67.35799478,59.71388204266625,UKR,Reforming Economies,60,-0.2861179573337509
2020,14,Appartments,Rural,1.96820464,67.35799478,59.71388204266625,UKR,Reforming Economies,60,-0.2861179573337509
2020,14,High-rise,Rural,1.96820464,67.35799478,59.71388204266625,UKR,Reforming Economies,60,-0.2861179573337509
2020,15,Detached,Urban,1.96820464,67.35799478,59.71388204266625,STAN,Reforming Economies,60,-0.2861179573337509
2020,15,Semi-detached,Urban,1.96820464,67.35799478,59.71388204266625,STAN,Reforming Economies,60,-0.2861179573337509
2020,15,Appartments,Urban,1.96820464,67.35799478,59.71388204266625,STAN,Reforming Economies,60,-0.2861179573337509
2020,15,High-rise,Urban,1.96820464,67.35799478,59.71388204266625,STAN,Reforming Economies,60,-0.2861179573337509
2020,15,Detached,Rural,1.96820464,67.35799478,59.71388204266625,STAN,Reforming Economies,60,-0.2861179573337509
2020,15,Semi-detached,Rural,1.96820464,67.35799478,59.71388204266625,STAN,Reforming Economies,60,-0.2861179573337509
2020,15,Appartments,Rural,1.96820464,67.35799478,59.71388204266625,STAN,Reforming Economies,60,-0.2861179573337509
2020,15,High-rise,Rural,1.96820464,67.35799478,59.71388204266625,STAN,Reforming Economies,60,-0.2861179573337509
2020,16,Detached,Urban,1.96820464,67.35799478,59.71388204266625,RUS,Reforming Economies,60,-0.2861179573337509
2020,16,Semi-detached,Urban,1.96820464,67.35799478,59.71388204266625,RUS,Reforming Economies,60,-0.2861179573337509
2020,16,Appartments,Urban,1.96820464,67.35799478,59.71388204266625,RUS,Reforming Economies,60,-0.2861179573337509
2020,16,High-rise,Urban,1.96820464,67.35799478,59.71388204266625,RUS,Reforming Economies,60,-0.2861179573337509
2020,16,Detached,Rural,1.96820464,67.35799478,59.71388204266625,RUS,Reforming Economies,60,-0.2861179573337509
2020,16,Semi-detached,Rural,1.96820464,67.35799478,59.71388204266625,RUS,Reforming Economies,60,-0.2861179573337509
2020,16,Appartments,Rural,1.96820464,67.35799478,59.71388204266625,RUS,Reforming Economies,60,-0.2861179573337509
2020,16,High-rise,Rural,1.96820464,67.35799478,59.71388204266625,RUS,Reforming Economies,60,-0.2861179573337509
2020,17,Detached,Urban,1.96820464,67.35799478,59.71388204266625,ME,Middle East and Northern Africa,50,9.713882042666249
2020,17,Semi-detached,Urban,1.96820464,67.35799478,59.71388204266625,ME,Middle East and Northern Africa,50,9.713882042666249
2020,17,Appartments,Urban,1.96820464,67.35799478,59.71388204266625,ME,Middle East and Northern Africa,50,9.713882042666249
2020,17,High-rise,Urban,1.96820464,67.35799478,59.71388204266625,ME,Middle East and Northern Africa,50,9.713882042666249
2020,17,Detached,Rural,1.96820464,67.35799478,59.71388204266625,ME,Middle East and Northern Africa,50,9.713882042666249
2020,17,Semi-detached,Rural,1.96820464,67.35799478,59.71388204266625,ME,Middle East and Northern Africa,50,9.713882042666249
