Time,source,scenario,type_data,unit,Region,Technology,value
2018,F_ISI,basis,inflow,GWh,World,total,176
2019,F_ISI,basis,inflow,GWh,World,total,222
2020,F_ISI,basis,inflow,GWh,World,total,269
2021,F_ISI,basis,inflow,GWh,World,total,507
2022,F_ISI,basis,inflow,GWh,World,total,777
2023,F_ISI,basis,inflow,GWh,World,total,1007
2024,F_ISI,basis,inflow,GWh,World,total,1235
2025,F_ISI,basis,inflow,GWh,World,total,1547
2026,F_ISI,basis,inflow,GWh,World,total,1882
2027,F_ISI,basis,inflow,GWh,World,total,2215
2028,F_ISI,basis,inflow,GWh,World,total,2635
2029,F_ISI,basis,inflow,GWh,World,total,3043
2030,F_ISI,basis,inflow,GWh,World,total,3366
2011,F_ISI,basis,inflow,GWh,World,all_modes,3
2012,F_ISI,basis,inflow,GWh,World,all_modes,5
2013,F_ISI,basis,inflow,GWh,World,all_modes,8
2014,F_ISI,basis,inflow,GWh,World,all_modes,12
2015,F_ISI,basis,inflow,GWh,World,all_modes,37
2016,F_ISI,basis,inflow,GWh,World,all_modes,53
2017,F_ISI,basis,inflow,GWh,World,all_modes,74
2018,F_ISI,basis,inflow,GWh,World,all_modes,105
2019,F_ISI,basis,inflow,GWh,World,all_modes,140
2020,F_ISI,basis,inflow,GWh,World,all_modes,165
2021,F_ISI,basis,inflow,GWh,World,all_modes,359
2022,F_ISI,basis,inflow,GWh,World,all_modes,586
2023,F_ISI,basis,inflow,GWh,World,all_modes,786
2024,F_ISI,basis,inflow,GWh,World,all_modes,979
2025,F_ISI,basis,inflow,GWh,World,all_modes,1251
2026,F_ISI,basis,inflow,GWh,World,all_modes,1539
2027,F_ISI,basis,inflow,GWh,World,all_modes,1821
2028,F_ISI,basis,inflow,GWh,World,all_modes,2180
2029,F_ISI,basis,inflow,GWh,World,all_modes,2522
2030,F_ISI,basis,inflow,GWh,World,all_modes,2770
