Time,source,scenario,unit,Region,Type,value
2018,IEA,historic,GWh,World,Trucks,2
2019,IEA,historic,GWh,World,Trucks,1
2020,IEA,historic,GWh,World,Trucks,2
2021,IEA,historic,GWh,World,Trucks,2
2022,IEA,historic,GWh,World,Trucks,9
2023,IEA,historic,GWh,World,Trucks,14
2024,IEA,historic,GWh,World,Trucks,24
2030,IEA,STEPS,GWh,World,Trucks,260
2017,IEA,historic,GWh,World,Vans,1
2018,IEA,historic,GWh,World,Vans,2
2019,IEA,historic,GWh,World,Vans,1
2020,IEA,historic,GWh,World,Vans,4
2021,IEA,historic,GWh,World,Vans,9
2022,IEA,historic,GWh,World,Vans,17
2023,IEA,historic,GWh,World,Vans,26
2024,IEA,historic,GWh,World,Vans,42
2030,IEA,historic,GWh,World,Vans,170
2010,IEA,historic,GWh,World,all_modes,0
2011,IEA,historic,GWh,World,all_modes,1
2012,IEA,historic,GWh,World,all_modes,3
2013,IEA,historic,GWh,World,all_modes,5
2014,IEA,historic,GWh,World,all_modes,7
2015,IEA,historic,GWh,World,all_modes,15
2016,IEA,historic,GWh,World,all_modes,25
2017,IEA,historic,GWh,World,all_modes,35
2018,IEA,historic,GWh,World,all_modes,54
2019,IEA,historic,GWh,World,all_modes,67
2020,IEA,historic,GWh,World,all_modes,172
2021,IEA,historic,GWh,World,all_modes,344
2022,IEA,historic,GWh,World,all_modes,557
2023,IEA,historic,GWh,World,all_modes,773
2024,IEA,historic,GWh,World,all_modes,953
2030,IEA,STEPS,GWh,World,all_modes,3229
2030,IEA,NZE,GWh,World,all_modes,5700
2050,IEA,STEPS,GWh,World,all_modes,7700
2050,IEA,NZE,GWh,World,all_modes,11000
2010,F_ISI,basis,GWh,World,total,24
2011,F_ISI,basis,GWh,World,total,29
2012,F_ISI,basis,GWh,World,total,34
2013,F_ISI,basis,GWh,World,total,41
2014,F_ISI,basis,GWh,World,total,48
2015,F_ISI,basis,GWh,World,total,79
2016,F_ISI,basis,GWh,World,total,101
2017,F_ISI,basis,GWh,World,total,132
2018,F_ISI,basis,GWh,World,total,176
2019,F_ISI,basis,GWh,World,total,222
2020,F_ISI,basis,GWh,World,total,269
2021,F_ISI,basis,GWh,World,total,507
2022,F_ISI,basis,GWh,World,total,777
2023,F_ISI,basis,GWh,World,total,1007
2024,F_ISI,basis,GWh,World,total,1235
2025,F_ISI,basis,GWh,World,total,1547
2026,F_ISI,basis,GWh,World,total,1882
2027,F_ISI,basis,GWh,World,total,2215
2028,F_ISI,basis,GWh,World,total,2635
2029,F_ISI,basis,GWh,World,total,3043
2030,F_ISI,basis,GWh,World,total,3366
2011,F_ISI,basis,GWh,World,all_modes,3
2012,F_ISI,basis,GWh,World,all_modes,5
2013,F_ISI,basis,GWh,World,all_modes,8
2014,F_ISI,basis,GWh,World,all_modes,12
2015,F_ISI,basis,GWh,World,all_modes,37
2016,F_ISI,basis,GWh,World,all_modes,53
2017,F_ISI,basis,GWh,World,all_modes,74
2018,F_ISI,basis,GWh,World,all_modes,105
2019,F_ISI,basis,GWh,World,all_modes,140
2020,F_ISI,basis,GWh,World,all_modes,165
2021,F_ISI,basis,GWh,World,all_modes,359
2022,F_ISI,basis,GWh,World,all_modes,586
2023,F_ISI,basis,GWh,World,all_modes,786
2024,F_ISI,basis,GWh,World,all_modes,979
2025,F_ISI,basis,GWh,World,all_modes,1251
2026,F_ISI,basis,GWh,World,all_modes,1539
2027,F_ISI,basis,GWh,World,all_modes,1821
2028,F_ISI,basis,GWh,World,all_modes,2180
2029,F_ISI,basis,GWh,World,all_modes,2522
2030,F_ISI,basis,GWh,World,all_modes,2770
2013,F_ISI,basis,GWh,World,stationary_storage,1
2014,F_ISI,basis,GWh,World,stationary_storage,1
2015,F_ISI,basis,GWh,World,stationary_storage,1
2016,F_ISI,basis,GWh,World,stationary_storage,2
2017,F_ISI,basis,GWh,World,stationary_storage,5
2018,F_ISI,basis,GWh,World,stationary_storage,11
2019,F_ISI,basis,GWh,World,stationary_storage,11
2020,F_ISI,basis,GWh,World,stationary_storage,21
2021,F_ISI,basis,GWh,World,stationary_storage,50
2022,F_ISI,basis,GWh,World,stationary_storage,62
2023,F_ISI,basis,GWh,World,stationary_storage,77
2024,F_ISI,basis,GWh,World,stationary_storage,96
2025,F_ISI,basis,GWh,World,stationary_storage,117
2026,F_ISI,basis,GWh,World,stationary_storage,143
2027,F_ISI,basis,GWh,World,stationary_storage,174
2028,F_ISI,basis,GWh,World,stationary_storage,209
2029,F_ISI,basis,GWh,World,stationary_storage,250
2030,F_ISI,basis,GWh,World,stationary_storage,297



