region,year,mode,variable,value
Latin America,2019,train,load,35.53769
Latin America,2019,train,pkm_per_capita,138.0530634227366
Latin America,2019,train,tkm_per_capita,312.52097139203266
Latin America,2019,walking,pkm_per_capita,284.27527064341723
Latin America,2060,airplane,load,124.0
Latin America,2060,bus,load,22.112125
Latin America,2060,bus,pkm_per_capita,5101.586573706259
Latin America,2060,car,load,1.6195875
Latin America,2060,car,pkm_per_capita,7226.3022560306445
Latin America,2060,cycling,pkm_per_capita,128.99803401575804
Latin America,2060,heavy truck,tkm_per_capita,4175.2025473582535
Latin America,2060,highspeed train,pkm_per_capita,79.3876514942935
Latin America,2060,highspeedtrain,load,310.333
Latin America,2060,international shipping,tkm_per_capita,13718.041745702187
Latin America,2060,medium truck,tkm_per_capita,1477.8094416623437
Latin America,2060,national shipping,tkm_per_capita,1440.376586543678
Latin America,2060,plane,pkm_per_capita,2306.5801016129985
Latin America,2060,plane,tkm_per_capita,108.17442928602514
Latin America,2060,train,load,29.679395
Latin America,2060,train,pkm_per_capita,501.86199300434714
Latin America,2060,train,tkm_per_capita,731.0648785476567
Latin America,2060,walking,pkm_per_capita,191.2167842284583
Middle East and Northern Africa,2019,airplane,load,124.0
Middle East and Northern Africa,2019,bus,load,25.50233
Middle East and Northern Africa,2019,bus,pkm_per_capita,3119.7905697038013
Middle East and Northern Africa,2019,car,load,1.7258505
Middle East and Northern Africa,2019,car,pkm_per_capita,5130.688827347139
Middle East and Northern Africa,2019,cycling,pkm_per_capita,150.1531951681015
Middle East and Northern Africa,2019,heavy truck,tkm_per_capita,1206.5058152716301
Middle East and Northern Africa,2019,highspeed train,pkm_per_capita,0.649842037347414
Middle East and Northern Africa,2019,highspeedtrain,load,310.333
Middle East and Northern Africa,2019,international shipping,tkm_per_capita,12143.6390103126
Middle East and Northern Africa,2019,medium truck,tkm_per_capita,914.2185457265329
Middle East and Northern Africa,2019,national shipping,tkm_per_capita,132.14721144535298
Middle East and Northern Africa,2019,plane,pkm_per_capita,839.4633295687863
Middle East and Northern Africa,2019,plane,tkm_per_capita,33.190387903726474
Middle East and Northern Africa,2019,train,load,34.2298
Middle East and Northern Africa,2019,train,pkm_per_capita,89.9539927152837
Middle East and Northern Africa,2019,train,tkm_per_capita,33.30839903633247
Middle East and Northern Africa,2019,walking,pkm_per_capita,350.35745539223683
Middle East and Northern Africa,2060,airplane,load,124.0
Middle East and Northern Africa,2060,bus,load,21.215739999999997
Middle East and Northern Africa,2060,bus,pkm_per_capita,6115.472079777184
Middle East and Northern Africa,2060,car,load,1.5896735
Middle East and Northern Africa,2060,car,pkm_per_capita,8064.221588968552
Middle East and Northern Africa,2060,cycling,pkm_per_capita,147.41245411538264
Middle East and Northern Africa,2060,heavy truck,tkm_per_capita,1661.7529552339474
Middle East and Northern Africa,2060,highspeed train,pkm_per_capita,8.778823678761219
Middle East and Northern Africa,2060,highspeedtrain,load,310.333
Middle East and Northern Africa,2060,international shipping,tkm_per_capita,13040.42735316957
Middle East and Northern Africa,2060,medium truck,tkm_per_capita,1222.7594091157137
Middle East and Northern Africa,2060,national shipping,tkm_per_capita,168.53330199936028
Middle East and Northern Africa,2060,plane,pkm_per_capita,2966.16403140453
Middle East and Northern Africa,2060,plane,tkm_per_capita,57.340656816187774
Middle East and Northern Africa,2060,train,load,28.476245
Middle East and Northern Africa,2060,train,pkm_per_capita,250.9047615277701
Middle East and Northern Africa,2060,train,tkm_per_capita,66.1670314657813
Middle East and Northern Africa,2060,walking,pkm_per_capita,171.00515802197629
Other Asia,2019,airplane,load,124.0
Other Asia,2019,bus,load,27.340687499999998
Other Asia,2019,bus,pkm_per_capita,1311.2184823437074
Other Asia,2019,car,load,1.7786167499999999
Other Asia,2019,car,pkm_per_capita,2197.60672131548
Other Asia,2019,cycling,pkm_per_capita,84.50017776727957
Other Asia,2019,heavy truck,tkm_per_capita,1110.8159824396334
Other Asia,2019,highspeed train,pkm_per_capita,4.124299313553197
Other Asia,2019,highspeedtrain,load,310.333
Other Asia,2019,international shipping,tkm_per_capita,9773.398962364901
Other Asia,2019,medium truck,tkm_per_capita,301.53090381274313
Other Asia,2019,national shipping,tkm_per_capita,1155.496102488899
Other Asia,2019,plane,pkm_per_capita,519.4540250995018
Other Asia,2019,plane,tkm_per_capita,58.62337981822762
Other Asia,2019,train,load,36.69728
Other Asia,2019,train,pkm_per_capita,112.14310159037025
Other Asia,2019,train,tkm_per_capita,112.28058276235996
Other Asia,2019,walking,pkm_per_capita,197.16705976498764
