t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1998,20132.44653,26851.79374,7310.063561,4345.023642,5365.573566,4811.000519,2120.367195,543.3327106,395.0165361,4545.715927,18649.76519,5816.902487,4609.068747,1740.103276,1140.673482,3842.962155,4555.37885,740.2641774,6047.007863,1371.721223,1692.503036,963.298526,18134.32845,15966.57321,647.3644791,553.6222504
1999,20710.65376,27867.13882,7531.171485,4472.268878,5284.870887,4639.717916,2153.756338,520.8698061,403.8228756,4674.790477,19308.78022,6072.20718,4749.156691,1721.558222,1103.449872,3991.846289,4200.776604,810.4937849,6604.380708,1491.434769,1762.965291,962.5190908,18217.41593,16447.39968,661.410292,537.6033097
2000,21003.32434,28601.80058,8055.792093,4622.391155,5282.968358,4627.531104,2082.842284,507.6073046,417.9331852,4770.878039,19998.12057,6397.414635,5178.33984,1821.923083,1143.880099,4415.705274,3918.352042,841.2714376,7457.932072,1633.353277,1901.115373,1032.310577,18851.28659,16534.80102,693.6855546,543.7212301
2001,21626.09743,28965.07767,8024.321839,4653.029415,5308.562437,4667.525708,2182.596312,516.5958505,435.0183642,4777.800588,20451.44177,6730.62802,5035.783245,2103.040544,1293.37405,4824.585855,4164.167942,888.438288,7932.946349,1745.027545,1952.65145,990.0732441,19285.90444,16782.50454,709.2562928,567.5782166
2002,22341.82836,29438.07692,8120.011624,4658.966287,5310.62933,4063.931392,2200.382934,467.7840465,441.7830882,4770.897248,20822.2569,7119.903568,5248.727547,2300.594661,1431.354148,5287.364539,4179.484547,926.9356832,8556.490272,1892.965966,2018.271154,1080.444389,19479.70098,17618.98929,750.8549933,586.46452
2003,22478.76639,29962.03727,7379.975031,4772.427541,5180.19045,4025.085882,2201.082264,487.1386787,454.1340384,5010.885534,21131.71098,7462.32461,5487.449981,2607.780736,1570.015885,5741.777732,4278.232968,991.2079443,8721.988459,2013.042877,2062.021387,1198.369507,19738.71526,18089.04307,782.1783733,587.5522627
2004,22721.5881,30605.13187,7468.294168,4826.502721,5256.821272,4180.991338,2255.381698,461.3066231,466.2188031,5281.086893,21546.57153,7717.64055,5981.801521,2873.796264,1738.869469,6097.865774,4313.453057,1052.373684,8859.335456,2152.638466,2148.767454,1240.124475,20251.48249,18571.54139,807.338091,611.6772861
2005,23180.66956,31191.55802,7655.910637,4949.248771,5528.521078,4413.099969,2314.203687,459.9290481,482.2518104,5516.002034,21859.55095,8221.845102,6411.211984,3226.56019,1914.340586,6030.642123,4270.243961,1123.41052,9302.280997,2293.569972,2127.077075,1269.740173,20663.10946,18878.79527,852.984843,615.9391205
2006,23583.35924,31810.81781,7737.079656,5138.707005,5751.163963,4622.89271,2368.219908,484.7242443,515.5680802,5725.597147,22368.48998,8708.887191,6884.379231,3404.32651,2007.765151,6726.149489,4378.407503,1214.086363,9831.331839,2572.375816,2234.624734,1325.917161,21124.51379,19102.22821,906.1444206,641.8652711
2007,23846.86379,32125.81862,7856.788203,5308.535143,6060.941352,4933.059821,2553.561295,515.6063382,549.82319,5934.711844,22929.49493,9303.24348,7248.179323,3762.020442,2176.315597,7307.655971,4448.705637,1315.169118,10334.74313,2928.434284,2387.440182,1371.640703,21578.95194,19480.6168,949.5411505,671.0024556
