! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trvl_loadfactor.dat;;;;;;;;
real main.em.dem.trp.trvl.ModeT.loadfactor2[26,7](t) = [;;;;;;;;
unit=person/vehicle;;;;;;;;
;;;;bus;train;car;highspeedtrain;airplane
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7
1982;5;0;0;28.20385;37.85584;1.807077;310.333;124
1982;6;0;0;28.15176;37.78592;1.805575;310.333;124
1982;7;0;0;30.0877;40.38438;1.860429;310.333;124
1982;8;0;0;36.73739;49.30975;2.035339;310.333;124
1982;9;0;0;41.64295;55.8941;2.153434;310.333;124
1982;10;0;0;27.33702;36.69236;1.78187;310.333;124
1982;11;0;0;23.9402;32.13307;1.678593;310.333;124
1982;12;0;0;27.94875;37.51344;1.799704;310.333;124
1982;13;0;0;30.11453;40.42039;1.861175;310.333;124
1982;14;0;0;29.40653;39.4701;1.841356;310.333;124
1982;15;0;0;31.07725;41.71259;1.887718;310.333;124
1982;16;0;0;28.00188;37.58476;1.801243;310.333;124
1982;17;0;0;24.29825;32.61366;1.689844;310.333;124
1982;18;0;0;41.62664;55.87221;2.153055;310.333;124
1982;19;0;0;33.01191;44.30933;1.939723;310.333;124
1982;20;0;0;45.72636;61.37494;2.246017;310.333;124
1982;21;0;0;34.80554;46.71677;1.986459;310.333;124
1982;22;0;0;35.14066;47.16658;1.995044;310.333;124
1982;23;0;0;23.98441;32.19241;1.679987;310.333;124
1982;24;0;0;24.34184;32.67216;1.691208;310.333;124
1982;25;0;0;38.90616;52.22073;2.088557;310.333;124
1982;26;0;0;39.06219;52.43015;2.092322;310.333;124
1983;1;0;0;23.13065;31.04647;1.652808;310.333;124
1983;2;0;0;22.55364;30.272;1.634126;310.333;124
1983;3;0;0;27.1434;36.43248;1.776179;310.333;124
1983;4;0;0;30.4845;40.91699;1.87143;310.333;124
1983;5;0;0;28.49998;38.25331;1.815591;310.333;124
1983;6;0;0;28.36344;38.07005;1.811672;310.333;124
1983;7;0;0;29.94357;40.19093;1.856413;310.333;124
1983;8;0;0;37.34723;50.12828;2.050474;310.333;124
1983;9;0;0;41.91493;56.25916;2.159752;310.333;124
1983;10;0;0;27.5866;37.02735;1.789172;310.333;124
1983;11;0;0;23.86496;32.03209;1.676217;310.333;124
1983;12;0;0;27.81503;37.33397;1.795824;310.333;124
1983;13;0;0;29.9623;40.21607;1.856935;310.333;124
1983;14;0;0;29.1667;39.1482;1.834583;310.333;124
1983;15;0;0;30.93195;41.51756;1.883741;310.333;124
