Model;Scenario;Region;Variable;Unit;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2060;2070;2080;2090;2100
IMAGE;SSP2;KOR;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;1607;1929;2042;1921;2260;2435;2589;2737;2834;2899;2821;2753;2644;2489;2349
IMAGE;SSP2;ME;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;2931;4699;5264;4186;4368;4312;4877;5361;5785;6171;6853;7412;7827;8151;8385
IMAGE;SSP2;MEX;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;1290;1234;1313;1461;1683;1805;2012;2223;2447;2681;3029;3342;3575;3732;3818
IMAGE;SSP2;NAF;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;785;1273;1222;1006;1156;1210;1413;1618;1827;2040;2536;3057;3539;3993;4431
IMAGE;SSP2;OCE;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;803;990;1079;1023;1168;1248;1360;1463;1553;1634;1902;2167;2397;2587;2746
IMAGE;SSP2;RCAM;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;693;810;772;705;862;938;1039;1167;1294;1418;1651;1888;2109;2302;2472
IMAGE;SSP2;RSAF;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;294;540;623;436;583;704;871;1057;1270;1519;2095;2790;3530;4285;5079
IMAGE;SSP2;RSAM;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;1123;1828;1999;1521;1764;1858;2057;2265;2477;2683;3029;3344;3592;3764;3875
IMAGE;SSP2;RSAS;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;417;505;582;713;897;1095;1330;1596;1874;2178;2820;3545;4254;4945;5605
IMAGE;SSP2;RUS;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;792;1430;1499;1120;1174;1189;1259;1327;1388;1438;1541;1660;1760;1867;1966
IMAGE;SSP2;SAF;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;398;503;518;434;505;522;575;640;704;767;909;1043;1171;1292;1399
IMAGE;SSP2;SEAS;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;5170;5980;6618;7271;8773;10044;11447;12622;13561;14335;15743;16907;17596;18039;18314
IMAGE;SSP2;STAN;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;161;352;424;322;405;438;494;545;585;614;711;821;928;1043;1158
IMAGE;SSP2;TUR;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;804;1190;1306;1213;1524;1769;1992;2208;2409;2584;2739;2814;2773;2700;2584
IMAGE;SSP2;UKR;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;253;401;392;308;312;353;401;445;483;517;549;577;597;615;628
IMAGE;SSP2;USA;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;9916;9310;9042;9342;10756;11193;11843;12314;12699;13025;13700;14405;14946;15340;15588
IMAGE;SSP2;WAF;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;557;927;1075;820;1034;1144;1371;1634;1947;2321;3294;4461;5751;7478;9311
IMAGE;SSP2;WEU;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;37698;39107;32095;30918;34690;35198;36513;37987;39371;40665;43279;45739;47593;49045;49930
IMAGE;SSP2;World;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;86956;99466;96705;93270;107438;113799;122643;130749;138137;144846;156772;168058;176499;183596;189232
IMAGE;SSP2;BRA;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;1045;1503;1650;1400;1584;1689;1885;2119;2386;2652;2981;3287;3497;3607;3689
IMAGE;SSP2;CAN;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;2960;2807;2485;2317;2639;2674;2809;2935;3066;3193;3539;3905;4221;4462;4633
IMAGE;SSP2;CEU;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;3002;4363;3930;4333;4962;5330;5630;5894;6071;6189;6152;6155;6021;5877;5754
IMAGE;SSP2;CHN;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;11171;14393;18134;18999;22216;24093;25685;26686;27431;27928;27928;27352;26018;24461;22847
IMAGE;SSP2;EAF;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;178;280;278;315;399;491;610;754;937;1133;1579;2138;2785;3483;4191
IMAGE;SSP2;INDIA;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;938;1805;2357;2519;3130;3711;4317;4918;5488;6014;7001;7930;8597;9023;9288
IMAGE;SSP2;INDO;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;1066;1338;1776;1627;2028;2193;2461;2694;2899;3073;3327;3506;3585;3596;3537
IMAGE;SSP2;JAP;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;6166;5678;5011;4362;4837;4774;4822;4852;4924;4952;4937;4847;4686;4525;4347
IMAGE;SSP2;KOR;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;1823;2080;2091;1992;2354;2531;2688;2838;2938;3005;2926;2854;2739;2578;2432
IMAGE;SSP2;ME;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;2931;4699;5264;4186;4368;4312;4877;5361;5785;6171;6853;7412;7827;8151;8385
IMAGE;SSP2;MEX;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;1452;1392;1488;1584;1840;1968;2187;2410;2646;2891;3254;3578;3818;3976;4062
IMAGE;SSP2;NAF;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;882;1388;1280;1057;1224;1282;1493;1706;1924;2144;2657;3194;3689;4154;4602
IMAGE;SSP2;OCE;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;939;1189;1241;1209;1438;1531;1661;1780;1885;1980;2290;2598;2867;3087;3268
IMAGE;SSP2;RCAM;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;717;833;805;741;906;985;1090;1223;1354;1483;1724;1968;2194;2391;2565
IMAGE;SSP2;RSAF;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;318;558;639;453;607;731;904;1095;1314;1570;2161;2871;3628;4398;5207
IMAGE;SSP2;RSAM;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;1355;2061;2185;1741;2019;2121;2340;2569;2800;3025;3400;3739;4003;4185;4302
IMAGE;SSP2;RSAS;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;512;599;699;855;1075;1296;1563;1861;2173;2512;3224;4020;4794;5544;6257
IMAGE;SSP2;RUS;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;1071;1621;1633;1235;1317;1331;1404;1475;1539;1593;1701;1828;1933;2046;2148
IMAGE;SSP2;SAF;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;398;505;536;487;567;585;641;713;783;850;1001;1143;1277;1403;1513
IMAGE;SSP2;SEAS;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;5413;6237;7152;7728;9341;10660;12121;13344;14321;15127;16586;17787;18492;18939;19213
IMAGE;SSP2;STAN;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;161;356;426;322;407;440;496;547;587;616;714;824;932;1047;1162
IMAGE;SSP2;TUR;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;895;1324;1403;1303;1615;1868;2102;2327;2538;2721;2887;2967;2926;2849;2728
IMAGE;SSP2;UKR;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;282;419;403;331;340;383;433;479;518;553;586;616;636;654;667
IMAGE;SSP2;USA;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;10798;10137;10866;10897;12696;13158;13882;14420;14860;15229;15988;16779;17392;17851;18161
IMAGE;SSP2;WAF;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;593;974;1177;913;1161;1284;1534;1824;2166;2573;3626;4882;6269;8107;10050
IMAGE;SSP2;WEU;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;39391;40677;33426;32081;36100;36619;37972;39491;40919;42260;44971;47524;49467;50991;51922
IMAGE;SSP2;World;Energy Service|Transportation|Freight|Navigation;billion tkm/yr;96458;109219;108336;104986;121169;128040;137608;146317;154250;161436;173991;185704;194292;201385;206929
IMAGE;SSP2;BRA;Energy Service|Transportation|Freight|Railways;billion tkm/yr;86;125;117;92;121;134;158;187;223;263;334;375;406;430;446
IMAGE;SSP2;CAN;Energy Service|Transportation|Freight|Railways;billion tkm/yr;284;253;249;197;257;278;306;338;373;399;438;489;552;602;622
IMAGE;SSP2;CEU;Energy Service|Transportation|Freight|Railways;billion tkm/yr;32;32;28;22;29;32;36;39;42;45;47;47;46;46;45
IMAGE;SSP2;CHN;Energy Service|Transportation|Freight|Railways;billion tkm/yr;855;688;482;414;575;669;754;829;875;899;904;894;861;816;767
IMAGE;SSP2;EAF;Energy Service|Transportation|Freight|Railways;billion tkm/yr;2.19;3.51;7.96;7.69;11;14;19;24;32;42;63;91;123;161;204
IMAGE;SSP2;INDIA;Energy Service|Transportation|Freight|Railways;billion tkm/yr;73;82;85;57;81;100;124;150;180;208;249;287;320;344;360
IMAGE;SSP2;INDO;Energy Service|Transportation|Freight|Railways;billion tkm/yr;0.00;0.00;16;23;32;37;44;51;59;67;83;89;94;96;97
IMAGE;SSP2;JAP;Energy Service|Transportation|Freight|Railways;billion tkm/yr;79;67;59;45;56;56;59;61;64;67;68;67;66;65;63
IMAGE;SSP2;KOR;Energy Service|Transportation|Freight|Railways;billion tkm/yr;58;43;27;20;26;29;32;34;36;36;36;35;33;32;30
IMAGE;SSP2;ME;Energy Service|Transportation|Freight|Railways;billion tkm/yr;0.00;0.00;0.00;5.10;6.55;7.05;8.03;9.28;11;12;14;16;17;18;19
IMAGE;SSP2;MEX;Energy Service|Transportation|Freight|Railways;billion tkm/yr;85;77;82;59;77;86;100;116;134;155;181;198;211;219;224
IMAGE;SSP2;NAF;Energy Service|Transportation|Freight|Railways;billion tkm/yr;2.07;7.92;11;7.66;10;12;15;18;21;25;33;42;50;58;65
IMAGE;SSP2;OCE;Energy Service|Transportation|Freight|Railways;billion tkm/yr;36;44;61;55;73;82;94;105;117;129;159;181;202;221;237
IMAGE;SSP2;RCAM;Energy Service|Transportation|Freight|Railways;billion tkm/yr;1.08;2.65;2.73;2.18;2.97;3.20;3.63;4.12;4.58;4.96;5.87;6.87;7.94;8.95;9.74
IMAGE;SSP2;RSAF;Energy Service|Transportation|Freight|Railways;billion tkm/yr;4.30;3.61;6.06;6.90;10;13;17;21;27;34;53;72;96;121;148
IMAGE;SSP2;RSAM;Energy Service|Transportation|Freight|Railways;billion tkm/yr;21;25;13;9.78;13;15;18;20;22;24;27;31;34;36;38
IMAGE;SSP2;RSAS;Energy Service|Transportation|Freight|Railways;billion tkm/yr;14;12;15;12;16;21;27;34;42;52;71;92;115;137;159
IMAGE;SSP2;RUS;Energy Service|Transportation|Freight|Railways;billion tkm/yr;511;416;360;425;541;569;621;683;753;827;957;1021;1074;1131;1188
IMAGE;SSP2;SAF;Energy Service|Transportation|Freight|Railways;billion tkm/yr;47;37;59;52;67;67;76;88;103;118;144;169;192;214;235
IMAGE;SSP2;SEAS;Energy Service|Transportation|Freight|Railways;billion tkm/yr;20;31;56;56;76;89;106;124;142;160;184;200;214;225;232
IMAGE;SSP2;STAN;Energy Service|Transportation|Freight|Railways;billion tkm/yr;58;38;29;14;21;25;30;33;36;38;46;54;62;71;82
IMAGE;SSP2;TUR;Energy Service|Transportation|Freight|Railways;billion tkm/yr;3.20;2.40;2.36;1.83;2.58;3.16;3.75;4.35;4.96;5.56;6.20;6.29;6.34;6.36;6.28
IMAGE;SSP2;UKR;Energy Service|Transportation|Freight|Railways;billion tkm/yr;77;59;46;26;32;37;44;51;59;64;69;73;76;79;80
IMAGE;SSP2;USA;Energy Service|Transportation|Freight|Railways;billion tkm/yr;1884;1221;1526;1270;1658;1805;1976;2163;2354;2552;2892;3075;3247;3380;3479
IMAGE;SSP2;WAF;Energy Service|Transportation|Freight|Railways;billion tkm/yr;6.11;9.79;25;20;28;34;43;54;68;86;133;190;260;341;435
IMAGE;SSP2;WEU;Energy Service|Transportation|Freight|Railways;billion tkm/yr;119;110;91;70;91;98;106;116;127;139;153;164;174;180;183
IMAGE;SSP2;World;Energy Service|Transportation|Freight|Railways;billion tkm/yr;4357;3388;3457;2970;3914;4315;4816;5362;5909;6453;7349;7962;8540;9037;9453
IMAGE;SSP2;BRA;Energy Service|Transportation|Freight|Road;billion tkm/yr;370;511;664;683;816;899;1029;1197;1371;1581;1890;2117;2286;2413;2504
IMAGE;SSP2;CAN;Energy Service|Transportation|Freight|Road;billion tkm/yr;291;325;338;305;368;378;401;430;457;486;540;600;668;730;765
IMAGE;SSP2;CEU;Energy Service|Transportation|Freight|Road;billion tkm/yr;355;448;496;619;749;829;894;963;1026;1093;1114;1109;1096;1080;1063
IMAGE;SSP2;CHN;Energy Service|Transportation|Freight|Road;billion tkm/yr;896;1344;2114;2413;3099;3605;3937;4235;4505;4813;4962;4906;4721;4481;4224
IMAGE;SSP2;EAF;Energy Service|Transportation|Freight|Road;billion tkm/yr;32;51;79;102;125;157;198;248;312;387;558;783;1053;1358;1701
IMAGE;SSP2;INDIA;Energy Service|Transportation|Freight|Road;billion tkm/yr;238;422;598;669;928;1153;1362;1591;1812;2054;2492;2866;3182;3411;3574
IMAGE;SSP2;INDO;Energy Service|Transportation|Freight|Road;billion tkm/yr;164;220;346;399;533;638;734;827;908;995;1130;1225;1294;1334;1346
IMAGE;SSP2;JAP;Energy Service|Transportation|Freight|Road;billion tkm/yr;709;672;657;605;662;675;694;719;737;758;775;770;759;747;727
IMAGE;SSP2;KOR;Energy Service|Transportation|Freight|Road;billion tkm/yr;262;293;354;385;442;488;524;561;591;627;625;605;579;551;520
IMAGE;SSP2;ME;Energy Service|Transportation|Freight|Road;billion tkm/yr;430;559;687;672;832;899;1005;1106;1196;1281;1431;1569;1713;1839;1935
IMAGE;SSP2;MEX;Energy Service|Transportation|Freight|Road;billion tkm/yr;304;367;382;317;422;463;513;569;628;696;805;886;947;985;1012
