! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\global\pop.scn;;;;;;;;;;;;;;;;;;;;;;;;;;;;
real main.em.dem.POP[28](t) = [;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit= million;;;;;;;;;;;;;;;;;;;;;;;;;;;;
t;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8;class_ 9;class_ 10;class_ 11;class_ 12;class_ 13;class_ 14;class_ 15;class_ 16;class_ 17;class_ 18;class_ 19;class_ 20;class_ 21;class_ 22;class_ 23;class_ 24;class_ 25;class_ 26;class_ 27;class_ 28
2015;35.73212;324.6078;120.1499;89.41997;205.1882;207.9428;190.1893;487.5484;304.5425;55.8765;416.377;122.0225;79.64618;57.96056;68.9908;161.1816;249.1999;1322.866;76.25242;1428.207;377.5522;267.7741;127.2509;31.49578;452.6787;162.6962;0;7423.35
2016;36.11353;327.2102;121.5192;90.34228;206.8596;210.2386;193.7039;501.414;312.4643;56.42227;417.6956;121.6833;81.01939;57.7668;70.1443;161.7224;254.0801;1338.636;76.69959;1436.576;381.906;270.7494;126.9939;31.9788;458.4363;167.8413;0;7510.218
2017;36.55435;329.7912;122.8393;91.24418;208.505;212.474;197.1626;515.63;320.5591;56.64121;419.0344;121.3787;82.08983;57.54564;71.27567;162.1479;258.5756;1354.196;77.02796;1445.137;386.2005;273.6136;126.6625;32.48172;464.7358;173.0638;0;7596.567
2018;37.03526;332.14;124.0139;92.16304;210.1666;214.5704;200.5381;529.9455;328.894;57.33963;420.3334;121.0784;82.8093;57.28436;72.40437;162.4137;263.3357;1369.003;77.31505;1452.092;390.3172;276.3961;126.2559;32.9925;471.4415;178.2594;0;7680.539
2019;37.52258;334.3197;125.0853;93.05228;211.7829;216.5316;203.7917;544.4276;337.639;58.08706;421.6932;120.7773;83.48168;56.99456;73.55027;162.5665;268.1553;1383.112;77.55927;1457.034;394.3142;279.1254;125.7917;33.52026;478.3331;183.4558;0;7761.704
2020;37.88871;335.942;125.9983;93.91255;213.1963;218.33;206.9773;559.2609;346.5702;58.80193;422.6484;120.37;84.13543;56.62825;74.72442;162.4738;271.6985;1396.387;77.71216;1460.223;398.3064;281.6076;125.2448;33.97079;485.9406;188.7559;0;7837.705
2021;38.06637;337.2688;126.9613;94.78075;214.1987;219.9573;210.2075;575.1069;355.5087;59.27756;423.1732;120.1805;84.79226;55.03228;75.88441;162.3999;275.9919;1407.541;77.75799;1460.696;401.9302;283.7922;124.6322;34.24903;494.1699;194.1499;0;7907.707
2022;38.24404;338.5955;127.9243;95.64896;215.201;221.5845;213.4377;590.953;364.4472;59.7532;423.698;119.9911;85.44909;53.4363;77.04441;162.3261;280.2852;1418.695;77.80382;1461.169;405.554;285.9768;124.0197;34.52728;502.3993;199.5439;0;7977.709
2023;38.42171;339.9222;128.8872;96.51716;216.2034;223.2118;216.668;606.799;373.3858;60.22883;424.2228;119.8016;86.10591;51.84033;78.2044;162.2522;284.5786;1429.849;77.84964;1461.642;409.1779;288.1615;123.4071;34.80553;510.6286;204.9378;0;8047.71
2024;38.59937;341.249;129.8502;97.38536;217.2058;224.8391;219.8982;622.6451;382.3243;60.70446;424.7476;119.6122;86.76274;50.24435;79.3644;162.1784;288.872;1441.003;77.89547;1462.116;412.8017;290.3461;122.7946;35.08378;518.858;210.3318;0;8117.712
2025;38.77704;342.5757;130.8132;98.25356;218.2082;226.4663;223.1284;638.4911;391.2628;61.1801;425.2723;119.4227;87.41957;48.64838;80.52439;162.1045;293.1654;1452.157;77.9413;1462.589;416.4255;292.5307;122.1821;35.36203;527.0873;215.7257;0;8187.714
2026;38.93749;344.1178;131.858;99.10041;219.1427;228.1177;226.2013;655.6973;400.6501;61.67217;425.5063;118.888;87.99503;48.69674;81.5584;161.7186;297.3876;1463.458;77.86425;1460.537;419.6453;294.713;121.5585;35.62795;535.3275;221.4008;0;8257.378
2027;39.09794;345.6598;132.9028;99.94726;220.0772;229.7691;229.2741;672.9034;410.0372;62.16425;425.7404;118.3533;88.5705;48.74509;82.59241;161.3327;301.6097;1474.759;77.78719;1458.486;422.865;296.8952;120.935;35.89388;543.5676;227.0758;0;8327.042
