t,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1997,4261000.0,59303000.0,7125074.721,6497762.2360000005,13305817.184,20081430.468000002,17765677.707000002,3934693.443,1254439.5489999999,10743000.0,167662257.05903003,57468070.155,13831395.713,20417570.878000002,7754899.0,45326939.239,71788269.364,521591404.825,27347399.872,3019220913.6760006,83168262.04200001,9913504.352,25378643.046,9730522.338999998,5056612.397999999,2100163.9560000002
1998,4113000.0000000005,62559000.0,7713151.709,4640388.155,13787446.374,17161687.557,19102263.297000002,4493978.808,1542109.618,9840000.0,174474448.68001798,57342369.884,14288049.955,20057066.382999998,7986571.248000001,43244116.021000005,75629980.273,532391823.38699996,17457244.795,3054694003.59,68038784.29400001,7035438.861,23444726.322,9753352.729,6228225.533,1838600.9090000002
1999,4383000.0,66576000.0,8240195.464000001,4933760.423,13604843.207,16157762.223,20564438.708,4436035.835,1463181.18,7456000.0,184345605.198,51805047.223,12447823.237,19325060.260999996,8630156.393000001,47896348.926,73715788.58000001,542617720.78,18727707.299000002,3091349217.285,74613597.981,5875524.731,23138116.241,9699638.296999998,6056074.270999999,1596024.209
2000,5261312.174,72272136.742,9654898.795,5208819.707,15294281.9,17349253.53,20102543.777,4854279.538,1590443.493,8003690.658999999,188336809.67499998,54041135.843,11886743.386,17308208.586999997,7518736.438999999,48886327.847,73156103.455,553013181.163,20171771.712,3121585791.817,126174432.37900001,6786732.765,23589675.936,10213876.199,6727459.226,2063525.7359999998
2001,5903000.0,68577758.69,12726532.709,5553055.439,15259433.193,18345758.314,21151900.360999998,5115745.45,2110262.617,8860558.622,185244486.55,54286106.46699999,8309331.011999999,17602262.801000003,7520389.199,49126199.35,76115050.178,565093515.498,21302140.468000002,3162895104.5790005,79748126.437,8335312.904999999,22596161.638,9989602.34,7253841.111,1871414.701
2002,6882785.782,69431001.139,12765846.878,6250531.403,15375568.76,15774980.298,21484738.391999997,5653898.025,2344372.525,9287853.219,180089578.51600003,63992954.499,8739066.231,19147186.902,8091937.746,52258592.793,83357972.053,577372078.522,23110358.767,3202211562.7889996,82844259.132,9002691.742,21049889.355,9730993.823,7725661.572000001,2030625.2489999998
2003,5177756.816,70903431.663,12772111.739,6535767.235,14631237.757,15298792.972,22759491.205,5864413.016,2472075.093,9309520.102,180617229.215,71250730.23799999,9832359.244,20603711.781,8399219.865,53362290.842,88153707.782,588322512.864,24361327.217000004,3261946112.784,90337511.50299999,9716004.466000002,19738299.763,6638191.604,8267735.910000001,1906943.09
2004,5267258.007,76320946.987,13838838.895,6512926.266,15307067.522,17269615.789,23910037.435,6528136.487,2713860.364,9745901.598,185885719.41500002,71507389.317,11446286.995,22081599.325,9536051.472000001,56706787.52199999,93294748.01099999,594941742.927,23006632.651000004,3310631950.6170006,98468728.268,9327595.438000001,19146050.743,11692987.743,9149523.525000002,2150620.562
2005,5414598.488,80674512.53,40278043.326,6561166.490999999,19210349.344,20716729.524,27104638.699,6952644.294000001,3129404.6169999996,10076851.424,188278755.956,85618400.667,17069472.63,23419293.254,10696357.3,57144176.593,97158692.772,613646623.469,21706526.412,3353346580.439,111358685.75199999,10186600.033000002,19750564.028,11622415.625,10618346.410999998,2390450.806
2006,5692964.996,80789359.207,37579448.167,7031517.618000001,23201136.144,22117796.689,28482188.711999997,9252382.367,3135207.933,10219811.244,198946415.52499998,65204592.603,16804120.304,25551956.395,11529435.833,60845851.535000004,99397673.43599999,628584770.391,21914107.73,3415642544.2949996,114591417.4,9259780.806,20331882.593,11641371.106,11892381.627,2537850.841
2007,5925555.108,67849413.937,37172146.925,7625396.326,32362898.341000002,25093638.74,32229331.85,9994896.099000001,3493799.972,10623274.61,203025748.681,71705885.722,16750167.278,29980117.059,13189535.202,68922532.55200002,106833240.217,641772738.043,23010689.164,3469554191.2530003,107467293.20500001,10663623.667000001,19990754.966,11769722.826000001,12843697.284,2670966.181
