Index,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
1997,19401618.7,4727356.258,152725258.4,26012625.17,18294759.61,3225741.643,1949015.441,16517520.46,12141392.81,50115026.07,15369460.13,152773903,179287768.5,23167752.73,11965699.36,37273578.45,10628070.93,18601121.54,6626066.55,25061266.72,10110850.49,22075853.92,23892053.21,9845610.71,15877297.22,9364724.231
1998,18838823.46,3048839.473,169607267.7,25922871.94,3166519.674,2948794.665,1601616.641,2556865.983,43661446.86,54701779.38,275748.9004,168849063.2,172802877.6,6208697.939,2737413.95,11808607.81,12779609.81,19898834.38,5796367.181,32807616.09,10276610.05,9164418.108,20413365,11599302.03,17748746.87,8818907.915
1999,17387564.41,4634803.914,175705653.5,23996943.96,7894688.529,1400801.386,1328832.664,12264706.63,11163507.15,60156989.95,25575776.51,159333912.1,187496334,24288255.15,9726386.92,27450723.42,11718518.64,20272355.18,5804734.387,20767475.05,9976098.339,9507880.891,3283590.567,10134885.92,15306340.67,9408948.155
2000,15042345.76,5114925.214,180630781.7,25852583.65,17812701.67,4070543.624,2073565.101,28797488.86,15668070.09,52553434.47,32016721.03,137262582.1,189778120,26365603.15,11233846.55,50547455.38,7969591.41,22703588.93,4682971.342,34756640.85,11052889.1,19259360.51,12777529.52,5063154.399,14975087.68,9357494.786
2001,16291309.19,3842563.188,146671994.8,30324019.29,871178.4177,8586336.082,3707727.006,30360266.3,38313717.19,58315947.89,22633387.82,107677212.7,178988133.9,29452347.12,7477091.863,43770882.1,9406812.412,21756049.06,6198763.796,10863822.55,7219821.477,20909677.9,14342520.59,15741549.47,20445430.99,10760613.24
2002,18306286.98,3598810.072,135230786.8,34225953.36,13622137.08,7425208.277,3812551.553,33587941.75,26974515.27,54886910.15,29258153.14,111596153.3,195861980.2,26179055.76,13012619.44,33108992.06,14807445.99,24130205.11,7359735.62,15065333.59,7496423.717,14093086.49,1499469.551,11592809.45,18185313.74,10396257.85
2003,12635242.94,7104551.381,131997556,31047586.58,18828320.5,9904169.908,3895958.451,33658129.12,24149002.83,63623486.01,11593637.74,117868114.8,189007156.2,26681008.06,14145310.82,34891100.4,12110828.51,23319204.51,6491236.136,5221355.159,8558917.286,9700773.325,11818776.92,10411193.88,18474082.74,10457281.71
2004,14113503.85,9067648.779,150291503.3,31547864.67,25667480.73,9930536.157,4428451.962,32558962.16,31373466.46,64049787.35,11514592.79,125084006.1,203730010.9,31965350.49,12057898.7,47418185.47,13394579.3,23704355.2,7383305.777,19440938.91,9761361.574,15496728.96,24562115.8,12753134.39,20815668.95,11527210.3
2005,16822981.03,9082634.429,138278797.4,40144298.35,22830224.39,14798512.03,4782012.694,12926145.67,23685887.26,70181508.21,22916865.91,123112189.6,212359768.8,23657327.65,11504413.85,42948160.73,12104396.85,26167152.72,7809627.265,23377580.92,12975882.69,34857015.93,29254207.34,13896032.3,20291778.66,12546741.8
2006,17044384.56,9802059.783,164016148.5,40238717.69,21614877.77,11944318.94,4081034.95,52653325.73,33721876.19,74985840.86,25637912.65,127236053.4,261205313.8,32756337.98,12670485.93,46147637.77,11366345.55,25508868.94,8198328.502,21606651.98,12699586.18,34484580.66,29664625.66,14609783.52,22588627.4,13698185.19
2007,12173730.38,9687846.612,171171718.8,55594730.45,19264717.85,16759517.19,5159823.02,51275334.98,44050989.38,78101046.43,25678879.29,103415428.4,295805121.3,37364770.91,13382911.29,42418374.81,13765457.75,24759577.4,9813053.7,22746103.85,13330148.79,50512190.29,37369688.07,19948139.83,25955645.54,14022666.44
2008,13498270.64,8422317.774,135062752.2,37413997.72,2873030.937,10879503.23,3402675.935,40103016.51,62875546.69,66413882.02,13794431.63,44245107.69,324587607.6,42814570.43,17560273.96,40266390.45,11671188.27,28007421.17,14080768.86,21775695.46,13727042.93,51343876.83,42192403.16,26031371.22,25895166.06,14598637.31
2009,11844259.04,475596.6732,31267529.16,439798.3639,573634.968,56492.25314,4442840.605,9297983.897,92277342.12,83164728.76,1750225.381,27967532.62,312154664.9,18633857.88,14299142.76,10085943.62,8793984.725,20170579.09,10724074.22,319503.1198,1496621.999,7821946.197,13727519.48,31704702.54,33569452.3,12991657.01
2010,15147739.56,8056092.253,137910746.5,13430784.13,24814812.42,9552437.546,7284981.849,29599360.28,23915476.04,92178623.67,26762452.99,125381439.3,352081754,43208356.96,17089016.99,68178538.25,11350751.33,21650944.71,8946920.379,30533298.49,1755828.28,50218954.95,37520626.31,21634992.64,23017876.23,13515046.17
2011,16106457.98,7984212.075,137067618.6,39715241.29,29490561.4,11053454.79,8016133.642,42822088.54,51355674.32,89407916.82,21887703.86,107727408.2,345104491,39933783.88,17797629.72,31065423.18,11097761.74,27859084.08,11278447.96,24885444.31,10980314.97,41439503.79,44296264.34,13617431.99,25911570.01,11840250.62
2012,12476900.82,5630813.722,82365059.62,14383615.77,23114214.26,8662053.583,6301756.056,34270828,46574243.96,86421851.3,16683283.94,104895239.9,341724554,44601378.71,18805441.04,42091747,14416924.95,29049061.93,11918379.08,26300363.29,10476933.41,27438018.28,31083324.87,23378949.2,36713196.39,170671471.9
2013,15583502.64,5973667.662,91085272.07,19578788.63,28388465.69,1702802.792,6915866.533,29522392.39,45138554.04,98549595.99,19592751.95,112869352.8,357450299.4,41687665.35,18408151.76,35650360.49,11632316.23,29349783.98,11370318.13,16372868.89,10927050.56,33855626.39,31043884.41,7616436.339,27690454.99,6056253.885
2014,18732833.24,5376512.806,134798414.6,32922424.68,24096000.71,455996.6424,6510544.66,8820128.512,26669797.61,108340002.8,22408003.4,127419136.7,391792835.6,44626409.5,19078499.86,28620354.35,14048016.74,30363069.73,10893232.2,27061868.41,10939453.61,12589109.82,6754867.551,16123551.28,28085444.04,6772269.961
2015,14983967.31,5303941.389,148133314.3,41076973.48,27280760.91,2076727.657,4798895.054,5144362.244,16863662.01,113130158.7,21050106.45,139835642.2,407634683.3,45925762.53,19239774.85,37701481.56,15763423.37,32100454.63,9967660.641,31482624.46,12774325.99,1040910.139,2728588.396,20042209.48,23177987.79,4841496.43
2016,15067636.65,2588032.303,141466029.9,39838777.16,19428024.6,7721386.53,4058197.776,15322311.62,61853836.36,122077373.1,18160715.14,116514934.4,408778390.5,44266471.44,18706404.06,16688868.07,16182051.67,34013058.18,8739398.971,28287096.82,10411542.5,5913309.323,23140739.55,16944905.35,21868977.63,6902083.07
2017,19381701.72,10489427.29,149036510.2,35949143.79,24981120.51,7318671.283,7788925.282,36979499.87,59472355.18,120522757.9,25907289.64,138715737.4,479915567,50864085.41,23954100.79,38713366.68,15627662.73,34082542.51,12477350.56,29338239.36,15105518.75,41342880.06,30845088.2,25859054.58,33978369.47,28986377.19
2018,19544021.06,11103107.07,150147684.1,36982044.9,25895389.88,7546868.048,8344816.483,38437445.08,62017037.59,127880499.1,26756682.52,139046023,518621663.2,53322638.19,25466562.14,39104882.01,15951563.99,35107069.49,12921190.53,30534232.25,15737323.75,43065444.7,32053061.75,27144285.21,34972431.62,30559293.53
2019,19727345.8,11670070.64,151431582.1,38142611.03,26486792.08,7817852.17,8843941.693,39927998.73,64429684.53,135546569.1,27541432.74,139723913.8,559004477.6,55694096.94,26903488.33,39163342.5,16309215.41,36133498.66,13312211.59,31581809.51,16322706.63,44611661.16,33216150.97,28243959.09,35986068.74,32329859.59
2020,4839359.962,200538.9418,23605454.84,1386087.473,1907368.499,161597.2813,1146777.333,2260239.064,12329117.78,17954904.89,3399954.864,44761130.98,198719727.7,6244092.37,3336422.385,8148848.929,4436937.243,16409871.98,6983904.808,2853463.25,1410899.787,1334928.12,3038123.21,3225838.786,22460238.16,8873066.828
2021,20494227.3,3888664.806,252501212.4,42293589.37,22830849.08,4471298.414,6351742.448,42022878.67,44890185.61,164120679.1,27047659.98,161402993.7,595639915.1,45439376.96,22619356.29,38304472.11,15352227.91,29759858.88,10958505.29,23648074.81,12385687.79,31113997.69,26436872.05,19319437.79,31293824.64,23807268.92
2022,16087564.51,4200568.728,132758360.7,31236056.82,20148281.21,5056011.695,6609653.336,24939682.55,39297507.47,144190329.4,23760066.27,121008450.4,544692924.7,46924927.6,22405745.95,30935311.55,15519428.15,29112227.85,11000555.96,19370110.26,11159596.06,23370256.59,24044354.05,16916310.15,31734123.75,26811732.88
2023,15459806.32,4339329.119,134359914,31867899.34,20290124.63,5134858.559,6922358.594,25253465.6,37055921.2,160321141.2,25194348.99,118904000,563501891.4,48930340.23,23339037.88,30896704.84,15504243.93,28488760.08,10947529.34,21048024.98,11963061.52,22391777.22,25770400.46,15416725,31938889.35,28113569.1
2024,18324833.01,6179019.164,155758039.4,39218192.16,24981916.27,7165119.352,8529602.495,28536698.17,46057805.64,185184036.7,25804779.94,123679833.7,592057044.3,60010426.32,26637668.97,33800889.09,16131686.55,32559201.64,12672027.15,27800778.01,15299088.28,31718205.52,31127423.88,18464885.23,35963849.85,30782351.95
2025,17582565.57,7164858.36,142574700.7,37026928.7,25186771.32,7807710.55,9370533.726,29869792.59,48616634.23,180700550.8,25237257.44,123679651.4,585575612.5,61569764.03,27691306.85,34330203.04,15974628.25,33857869.95,13292821.14,28007865.11,15818175.46,31258335.18,31545727.27,19872582.31,38277959.73,33932774.12
2026,17892679.73,8559185.76,146274580,37797500.06,25725812.89,8051238.408,9989995.249,34110626.91,53342606.16,179453325.6,25656785.27,128065806.3,581846492.7,63123864.18,29303877.54,36227097.89,16016932.06,35449656.04,13765893.74,29741567.65,16971130.27,34296684.22,33060895.25,22217175.73,40312507.11,37358275.03
