time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1993,26794490.230299708,247420121.8293795,33241641.9420021,14818456.937430719,32940330.724308416,64086060.21445846,33649943.300275825,64034723.29031206,38233115.80609144,4882257.810921078,158719398.12837294,3934910.874257656,39008714.297059365,8855365.140138265,8460673.69411716,4896.7142998238005,57309772.179169886,172511125.07747814,31452473.237435866,405450418.00233203,90735270.03710295,41815140.373275705,81716943.67584036,21174375.62484985,68984973.71299651,22093408.35021246
1994,29377644.46873954,264900633.637965,28291456.608788066,17759680.022705033,48979079.08412969,70735529.1496372,30456211.380720124,62002169.082974255,33152130.21076661,10544147.266099848,258022294.71627387,17244209.127209216,14959326.685051044,3236848.980135432,5985706.424491277,6763.193814252399,30901999.986593433,186294352.8028998,43266321.14881126,463566928.4978081,93982282.44849785,61431954.30406269,92880974.22065541,22448226.502652753,66259199.867084734,8293749.744945806
1995,19507975.451040905,233340632.5286167,33825692.51816834,21256580.758211758,178115539.10784173,57356055.76296556,27407665.354563817,66751670.42560376,48624163.05329755,17354179.65606515,195923522.8528221,40202078.44434555,21184229.397238187,1989868.7889834149,3819972.211604442,9290.740024102179,55798758.40305513,198150593.67504027,46146081.086852685,509523724.292788,99637380.68282801,80215119.44959407,106570579.974019,26763940.57368312,73170163.55994047,30531520.25592258
1996,27018550.5563616,281667011.18260485,2248624.779614351,18284113.005475037,81365596.43876263,48343074.16179752,34013696.94960802,72947598.70487604,56735113.63766258,20223121.18263705,255921068.7051394,71578934.18761997,28211473.68952965,1810296.1943349312,2991797.6694387835,11640.19603525069,68262636.26385856,229566915.6072862,52959816.59353029,500269421.8227521,105522545.5121251,75532592.9842591,105856767.32001568,24558757.928115964,72030152.10111853,22968362.336913772
1997,57005743.63571273,308956910.2842177,74538037.33340687,25711834.519409426,69855988.7503,123068494.83284436,35871240.41469275,68923497.1168359,54216828.63447941,18663865.63603833,322576466.86171085,30316437.80162682,53146215.68901224,1829318.8903321212,10254358.477483887,11083.231961249208,93527501.3794776,182322117.76566988,40399519.1000601,435554094.8177671,80291645.12438855,52157025.793082766,84800822.3191428,25400382.057578787,67598177.62025468,35969406.72943143
1998,39794432.02533549,336783592.50222605,77362190.3673275,21568754.33505914,39618482.70567767,100089253.84125277,48195028.30039117,102709795.8502111,47793939.66313669,10584892.808391117,324991828.29212,48272966.69075536,19539978.49032686,2111497.6561948257,8318222.786819668,16001.437759823848,235786949.85830894,217843126.85631406,8760926.912202531,431898371.0423516,58080012.81527496,30045285.11652496,48555442.18211436,28901751.699329738,66914853.24875685,27050338.838665616
1999,31369558.64558027,335156089.6285253,61741594.840944044,27477879.651481625,11182169.503235998,43424583.37635777,28694703.875435274,76836752.94365087,49152932.60496827,17490975.01449416,339502081.9081704,37025043.50797547,12234234.886050457,2118663.21857658,7996723.260005269,18354.12177805911,58203334.388703026,268992557.7653988,37332282.99696638,509038229.997891,53789381.0580566,44069154.37099864,69209938.35235196,33872841.13259864,75713296.19396517,29035112.58349657
2000,28571247.702997066,308678783.66631716,88227731.72181642,25676284.81325714,71623851.71085231,4419257.732383696,21706312.443827953,48257342.807818644,51019006.12372299,19118180.801563334,362207930.3060874,58109259.22338214,42343695.98699341,2089726.1572974017,8986715.33754645,20544512.6461385,124362.05073357039,198320835.5807351,70711099.92862253,558846796.8500477,109527158.65667538,30056029.835064545,109327479.09718187,24668589.054465905,80153895.3454696,28307106.90890013
2001,35493893.7532308,216576019.5832661,43005149.56268499,18325504.183768842,41339408.3556708,49530548.120623425,31666461.85707302,119130216.39907257,35881390.77304239,14203768.921499586,288303248.2046057,48942070.31774441,16785149.155463506,6726197.797268243,9090005.058773,28299756.645083904,12588917.240410171,232092016.3303346,53331582.07359021,475062685.9409237,110386571.04444058,9765051.037163084,101807924.19781035,23049114.449911147,79054295.49773803,23165392.536825158
2002,56983802.11078022,230059306.66080087,39383306.796059504,22603107.346589968,39732075.124604456,38229831.22447516,32353712.44332857,132397614.50840668,54757416.038820505,12764105.025006734,227765871.65022966,64382754.59074333,8573405.59783253,7318778.825829507,13237867.177678833,45030871.35816829,47598971.45216974,196050179.22556323,68105226.52202496,546532747.7274201,103540080.84367776,77175051.85903215,83874852.00886868,26899380.96985774,81520106.01068853,34706280.47279239
2003,42353769.84292094,233500835.18595758,56966427.64692952,20934111.620055947,13153393.291995576,92414.76064493982,31311625.244765397,104642712.43191046,55986852.552178346,15167928.568842953,250315388.55281153,51459166.69375582,41202250.52379176,11244884.677064467,17076439.24049918,66928368.14915877,92709422.74427865,238071360.8338494,22994265.36990593,477775108.19387084,120710503.99592575,74502741.10505019,91593453.03005621,29965607.249408685,91529477.1582797,30360979.206940603
2004,35690177.60604621,258937061.36417004,47035532.503032126,28566178.241351433,73491453.012152,62426817.53772814,24929529.54178239,101024621.12727971,55819920.799431525,34687034.756103605,307896611.7266994,69497873.13781138,60653776.804106824,13435997.70793875,17467050.04964191,84141534.25050932,131092373.42997667,207866807.0701106,17905490.83746921,507761128.54084843,125436041.89096421,54410080.466053225,104565249.10476321,29127074.398456775,92473490.22053128,32309340.87062866
2005,53175926.56650308,256486914.49619564,60458684.641768426,29703614.00523338,94258784.15519525,101088281.38216445,34683121.96641168,111287612.47004834,71876442.53788598,30829974.03772499,301238862.23331606,72541802.41959055,61220330.754324086,7018378.948397272,13305472.286725132,85756350.82960929,69962942.79642771,264856478.56932488,53564050.94054854,664357318.6705071,127964971.63809118,48004224.535965204,102922874.46412493,26005130.38238365,112319156.20790918,32628441.48407871
2006,58377231.39673056,232654139.04438892,58836457.550434165,38747828.013158895,100236829.88225952,116825211.01371334,31461510.659697406,108899240.27280499,68840157.44973217,36058473.43284908,332445185.42332757,81066219.56793137,48425510.43023345,13345455.449986437,15885410.747531047,129105143.91572616,89600420.5019627,260675972.88015595,62964848.91153225,689467457.385824,119876251.03531456,56126306.682424515,95038431.54558548,21405370.067149773,96441534.89357606,32482093.075232726
2007,85928390.88967946,228292180.660174,59491351.90616998,37043051.227396086,128105464.99039757,171775955.78946888,64810390.243033,170736061.05652052,61012871.57499469,31355402.35592958,338022698.1219803,90560032.33368778,54737631.166507356,15780935.115802078,25473157.36813932,159221319.31945863,198453695.3277768,291570551.7447397,57123688.9522899,866492165.9315777,147302193.95759735,89493016.83540511,91347874.9193398,31542601.650104117,102599959.51358792,45263563.23394436
2008,24104617.678876024,196090941.26323783,43970408.25197373,28594408.14553587,115691799.70320192,128314113.13850373,44738116.4410935,109421059.87435189,66604465.29820534,16872636.60722294,236645276.43088996,78543475.41244075,24247171.674013965,28554022.283856954,14709006.767084539,121530080.82678796,91164997.43197893,254765923.29020715,47805404.70172566,696723895.8856527,139129235.91840267,44798715.26238483,65748090.409437574,30795626.023612577,106171320.98528461,40907972.53222675
2009,42424131.27228335,162717447.0420091,34046184.793125965,18141874.167974908,92416380.03045347,95372863.34805103,97597869.97015108,177223669.50028244,74379576.19644837,13608767.343072128,141487532.31566408,12358596.873894867,9788068.763633877,5232383.436689459,17975984.167936772,66124983.89189515,319236773.91866076,305270802.5672736,15471940.22076455,900556440.7699265,91199407.43679838,48023445.51418094,41656602.25592912,21398040.60652416,78718559.95317632,65090452.50374246
2010,36058998.60512187,210006609.45754492,20840784.653610226,15452953.263982033,129928303.72160816,72198544.06614883,40946953.263997495,130966672.1061613,86291795.81704924,14032453.191693008,186784501.37271777,24614712.489678882,47036777.07688963,5986863.933364467,21906388.70503718,45294230.13381826,97488450.35245667,308534856.212036,47563605.09916592,862890830.2221946,115287772.17096318,83910699.94960421,72528092.12988389,30134544.65652218,79308423.71677129,39912525.175061606
2011,31313593.08368983,212329665.8147219,61334492.052237846,31910023.667435326,111934579.77098279,127680148.16544366,31677161.286870364,123369966.91017073,70035998.49146977,29432910.68899047,279302312.5740515,44649766.10665143,90361753.17677164,21455589.3929352,19882260.674594652,72450559.29149577,198598.2529917667,353309129.06972265,52509252.797680184,1111025744.4966896,133115579.21745409,81188700.11968154,96756475.14134331,21118694.56877073,108911338.25251776,45401362.39332326
2012,40460282.19998484,238952387.67764327,79340662.37951775,31583491.326036084,114415052.93691562,158666037.9448624,68248026.88836503,130235712.69109465,68558028.43215609,31198810.653124876,187134885.10434878,52040649.75203158,54728043.90522636,16314852.916125813,31583700.230123155,136872457.42167488,75949759.52242532,334701020.5013252,42757562.956454895,1086303172.574755,185711445.93015534,112739056.95349927,100662325.36563747,32723482.68046063,107370183.2878384,55120428.82009788
2013,42566362.048084125,214974388.03169206,89389578.85083371,29271872.457516298,116548389.36070882,155460049.80526182,58727294.22878756,234929677.1777048,58159302.130271986,20599819.16530318,203866507.5434113,41281453.13476853,83088621.58212435,29389705.8726965,36679875.02832662,124992534.15929076,129539693.35720883,407201807.37916005,39737159.114174575,1172699312.548668,173662472.37653905,106414068.26943,110695169.29761465,36925219.18099397,99240312.07413732,57320561.90313294
2014,46413723.049004205,247309318.77529162,65711089.02289718,29680395.530284636,87566078.55869116,122871913.39649172,69445650.06822838,162241662.56843713,72310589.07142079,18232687.521707937,290715879.4103746,44769341.77148643,56930685.40716661,6001198.491500309,22635114.59445199,71168999.63554302,249765051.49744305,439154014.53195804,47838877.87144885,1293147861.8718278,163033736.2143457,103137454.20815895,56833863.04903879,31031336.354966927,112098847.37964562,64729533.97413883
2015,64933913.31663056,278730318.5468114,86484136.7443337,33111528.61131649,27356350.063878946,119462036.66234753,84969312.58704315,225794223.94086635,80024662.37193114,20482859.64357294,306832442.6641281,68142926.14700823,73583080.21276093,6245202.641170562,32324241.67597799,32307254.54701218,558038624.469949,492857186.4393034,36419261.54563116,1449480458.6765392,202117994.4702836,113278039.91523418,60676747.630183995,40894286.317519955,110271248.74148247,69944181.74112765
2016,46045452.602949426,255633698.18990254,76505964.85945015,30057810.888613254,169051.28351676403,69791340.15410425,80241838.39359327,145772465.1629807,76217104.11504304,10465285.824505202,332201094.05740523,79666991.41109249,52249116.48345718,6601140.549970264,21559874.194100633,25690496.70237414,265719733.4148899,503276336.3899185,38392041.2991301,1440297435.1469285,202062209.84335184,114257596.89348507,62796273.90191246,41222447.58277506,108627845.73635097,53253630.12204301
