t,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1980,384499422.96,1513973981.8535109,85646767.243,54234189.113417,183419173.42700002,158620796.32209998,121954879.252,68059794.11335999,10525743.756241,49347999.83,1710648292.6804001,529037890.348,73812679.411,,,638748932.6,348739632.3632,149567764.897,102719224.32799998,594899042.7387,120377350.2502,29475261.8754,624771928.495,151237151.78982997,27608025.411399998,8996562.637300001
1981,349378093.056,1334984307.7395043,96184042.85700001,54636365.69456,194248500.69399998,161134282.53509998,145224719.49199998,70836484.03523,10563799.6062,54178222.05,1623751692.8225799,486242301.131,74175028.21100001,,,650425784.2,357304438.28540003,170992686.6,103937527.33700001,626142926.1687001,123571194.67410001,31065114.401800007,592415921.972,148274851.20692202,28333351.719400004,9803615.60176
1982,272782670.795,1259034924.1532,102804197.68800001,53420390.73805,179114364.38799998,146166451.7686,166351195.617,76621133.10152,9071866.53359,53322473.07500001,1572307562.0573997,484615793.53999996,73423641.24199998,,,632650753.1,404602785.274,188064056.2,123441070.70500001,674388699.9971,137839906.139,23510971.734400004,564626812.9890001,154199271.00208,37211128.45669999,10982912.89897
1983,312049963.016,1424963605.4137,84960128.53899999,56018865.397800006,133173647.132,129077895.6753,208116152.198,74209830.30137001,9542294.538789999,51826637.894,1574610446.57282,483819461.196,75455528.243,,,655501770.8,451167807.90900004,187985371.5,150613301.556,754740309.6735001,154807020.63099998,24537334.3684,569244414.5220001,137238556.567639,42971543.14067999,11455397.39462
1984,307360002.06399995,1562736771.2972,85808536.362,56983883.25137,126751208.44100001,124687765.1566,218154945.35900003,55272101.02983,9416002.377740001,52746867.31700001,1523835415.2321,465989162.997,91069176.09299998,,,665761494.1,461726738.373,195495851.69899997,150581385.73900002,828526577.5699999,157040891.029,25544608.9339,582318983.824,146778098.832612,41944410.0351,12816827.326200001
1985,347438058.08,1672621850.65832,90309029.61500001,53158402.32527,181401543.1,125360005.5969,224617412.961,51217800.47209,8644336.15363,46364105.629,1522451745.77129,437412646.862,104320021.373,,,672735587.5,432176266.498,221755197.60099998,146257217.445,966963737.773,134177511.029,-11162703.082699997,561033618.785,138475556.69158602,45086906.6485,12067261.31177
1986,360152364.976,1693031263.586436,83526677.629,53880224.8916,189470160.545,145305202.339,214118832.61200002,56326848.47555,11391859.64401,44466009.46,1579385566.0975,470065281.86700004,126365179.69,,,690929605.5,393711844.95,244386797.90400004,159462978.58699998,1074749768.1661,129985973.76509999,7837951.844499999,603593840.642,138415557.6826,44944517.28639999,12847043.766329998
1987,371884561.976,1785459096.1502001,92905677.51099999,68503590.41556999,193695811.767,155336517.6123,211214356.74599996,62228449.73121,13545720.63248,43653817.18,1636854027.6709,468888452.782,161066689.489,,,702818859.0,414656931.296,253474951.572,181643832.43499997,1162918149.7533,165483999.9619,22822901.716900006,627486480.575,132536268.027248,53074473.7852,11570852.342850002
1988,399128190.78900003,1795287052.6989698,93172918.916,73431939.43887,194276334.25599998,162577417.93209997,201324055.797,60231801.10057,13623932.657019999,54374310.19,1739246236.3493,473082204.0,153014716.862,,,712374495.2,418589349.80700004,280452772.70000005,211611451.061,1324025809.1605,153509974.729,45832299.92029999,667977556.0960001,129097071.31309201,62328764.523,15212689.35972
1989,399201325.826,1713977464.2816098,106052785.50899999,79760400.68462,183208495.915,134458412.4696,209392448.536,60085632.03833,15226249.512699999,51670112.08,1833761451.1483998,423330873.83699995,138067243.762,,,716683257.0,436439664.51400006,312636727.915,250072870.72599998,1314646546.034,175458373.072,75595463.251,675681895.348,131784772.307196,61929555.18,12926020.62473
1990,373881415.00000006,1781697683.116,154288530.41500002,79670951.22442,197938731.39900002,119723758.6959,215730975.17000002,59764548.33769,19591412.39732,50423848.01,1830851238.9156,347999452.157,150014614.357,,,740764105.3,414396813.63000005,324106371.6590001,303974742.363,1235180195.4151003,227711751.352,85492892.14300002,703879411.067,128670489.77907999,62800775.02300001,13343714.64206
1991,318937327.0,1675663404.0,180473367.78499997,80002163.24867,192071703.049,129352550.96100001,234674773.347,63247759.36674,19333091.7207,46073892.36,1800579479.83394,264436057.392,159718494.88500002,,,647354052.0,404372090.48309994,339745796.8,341707781.169,1464355467.73,266043824.759,107231070.055,706584793.923,126251340.89859998,67736199.63589999,15629531.93865
1992,343989467.813,1648400176.423,194771209.96599996,79051845.98803,186231157.687,201528144.47569996,240085180.741,62871933.642900005,17676849.0493,43723775.778000005,1843792158.52557,265810170.74700004,166450232.611,184822803.0,81510502.0,661720301.1,484623830.903,337939204.8,397710238.36600006,1803216304.2619998,298252478.63199997,105576456.25699998,679661507.334,128507365.59127401,71013238.847,15129462.057629999
1993,344792945.098,1773553831.0,200053793.45600003,74059240.31560001,182309488.277,208698751.66300002,238218806.16099998,67259482.7934,19152625.2627,48368916.127,1770677971.7405,252039253.62899998,208485580.72,124562059.2,63229763.6,543972855.1,553342315.1980001,352230091.3,384833065.83000004,2186743374.815,308875926.732,119248228.627,667663307.141,131139147.15239,80848922.16914,14585697.4478
1994,361591385.0,1833426813.0,223137443.38900003,79610320.3847,194948863.259,226450303.4064,249068916.305,61173152.90796,23545341.2004,50680207.375,1877584141.55642,252766500.93300003,171097953.203,100038582.81639999,39954088.56,427905801.00000006,569076879.212,367187014.983,412111879.633,2429723369.9080005,344124933.502,144477213.282,668721425.355,128141577.85955,81812166.17,13700996.3587
1995,350487890.0,1881467376.5760002,152687019.01999998,81291676.69583,209239221.742,244950544.67510003,265506973.08400002,70037242.91330001,24537265.186300002,55949774.475,1826869494.41153,260353746.67299998,197073061.582,94436835.6156,41420118.50299999,425441817.824,548682038.843,406019141.965,440661723.6050001,2686314905.192,394635011.534,155879313.76,659588804.6689999,133213624.08011,87921624.76539999,14328259.21603
1996,308826983.032,1845343407.738,163229493.15399998,90047959.463,251325796.86200002,261997306.07909998,272304985.321,68707494.80433,25019404.7597,56386604.002000004,1712823832.18964,272443992.993,217781744.95799997,75261431.862,32797316.452999998,334152715.74590003,587666328.021,482740004.495,478799701.77500004,2773362946.5206,462498129.54399997,166241680.74600002,690409269.541,135379914.41507998,93574564.64930001,19785481.30226
1997,336957100.87799996,1957160046.312,168198463.56100002,98351390.50249,270648066.485,303962451.8719,273562492.544,69839105.69047,21567982.487099998,59350243.49,1834542479.5963001,287275956.841,227774875.138,74236482.2285,31150541.058000002,279713728.592,576334699.122,498971092.423,485111856.51,2907939176.2033,479969320.91400003,171431768.45899996,671726833.051,134813529.77078402,95163366.4632,29740657.952969998
1998,360604440.34300005,2022940618.053,178331583.45299998,104879995.675004,307478976.111,318237360.692,298072441.949,90088440.22796999,23941495.1149,55048544.423,2186357712.4682097,328539084.46000004,262229195.47500002,74882775.991,53895921.319,326768490.93399996,615728885.934,542490460.609,303183473.60700005,3049232990.187,331239467.28700006,117994815.29600003,637415158.333,136196184.46234,117492255.505,23629707.51026
1999,373567854.36399996,2105027672.3779998,192407626.36299998,117771568.566709,286188314.38199997,320803475.2574,331395193.21300006,82646256.1667,24625943.5903,51212022.220000006,2499851811.92671,333715934.89400005,215870148.417,76421430.78050001,50787576.308,353714574.01600003,576857755.89,562999335.516,323367419.536,3220160479.9313,339622345.501,103039146.361,626739352.793,138615903.77589,111777813.8753,22125637.93738
