Index,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
1997,61285678.54,14633870.87,416351410,101074755.8,73688334.44,14621116.52,6842820.732,57646110.97,22167869.36,203467179.9,54699311.24,368213859,1009377106,99709191.87,53212718.65,103142704.6,30367535.5,92532524.64,30733697.1,75486175.17,37869180.6,80572625.99,75817529.47,37966239.17,74005967.72,40756426.67
1998,51009793.45,9634197.131,482117189,91940120.79,21067075.6,16245455.36,6242395.554,14853167.48,133294523.1,227564089.6,13822.33295,411918118.1,989372961.7,35100796.47,18118487.35,49199430.04,38454540.67,100963917.9,26083403.31,146728167.1,39721730.73,30012642.05,57702645.25,43754092.14,79876174.57,34611612.08
1999,54662750.25,12016659.54,504099156.2,97157137.48,25864911.36,7682331.159,5638573.24,28924203.76,78105589.9,236243787.8,94281887.34,412512915.9,1045447511,104155897.5,43883086.16,92825433.48,38182910.2,99316443.55,28723111.3,66464599.19,38516034.77,40123166.15,16555201.85,43738793.59,73209413.32,37599022.13
2000,52954224.34,17448486.89,510601144.5,92838222.25,65801235.46,18208042.36,6179146.597,77212922,110171091,217075833,97106680.05,356008931.9,1019696317,93503518.92,39338616.37,126511197.1,30516485.12,110255121.5,17919029.48,104012696.6,42665286.39,87854001.7,46717373,24629297.44,66825350.37,35559879.07
2001,45761007.85,14611667.62,418134302.1,121436375.2,985248.4105,37240259.86,11013436.35,86983080.96,159530658.4,238706020.2,76306937.17,267710921.4,975367025.1,144666423.4,36129101.64,126186346.4,31786211.64,107370651.2,26282678.95,41689506.13,28600652.15,91527146,43216277.97,71643507.2,98027859.47,44360194.54
2002,57041256.87,13850874.36,378077714.2,133615672,55396155.05,34389899.98,11607704.98,91931363.72,135357658.1,219233656.7,99927201.19,264300462.5,1031887863,114527520.8,46502593.74,105505416.7,39480081.56,114793297,34229873.38,45288699.26,33269645.02,49388224.07,7637478.409,55385913.1,97386161.11,42837629.1
2003,46043985.44,19889444.08,382819904.1,119292427.9,88430031.01,43408361.83,11696949.89,91315053.15,89223587.5,249956028.6,36843117.73,294449998.7,1016658563,125528175,47124731.25,102281342.1,36980406.27,111181504.9,28912755.29,35574491.52,27194195.15,55367400.13,50898556.25,49280580.13,77826800.89,41348422.62
2004,51321522.61,30699003.32,432104445.7,142313227.5,105981244.7,46009969.11,13078067.44,108159923,154612982.4,251024597.6,39661636.75,308122855.5,1082764154,146004181.8,48516736.52,134249219.5,43223959.11,115538132.7,31768208.38,78647444.73,42637800.08,36175593.46,88629194.24,55475225.73,107177167,48142464.17
2005,59189813.58,32660541.13,404369160.8,139482157,90077382.88,73092250.12,14508097.25,84061792.37,118136240.2,278457276.6,75295217.85,303884932.1,1131503354,128477267.8,46582549.65,125504265.5,40103415.13,125728366.7,36240352.02,82928124.82,56293328,112294657.1,97834633.64,61824096.31,94433320.79,53602294.83
2006,62344893.03,39151423.08,453327535,140880201.1,72963272.68,66199761.64,14359131.25,150177944.4,140662358,283804084.9,79958555.79,316258961.8,1235227553,141906051.1,47543723.02,137888185.9,36194676.92,117908596.5,35691058,88800626.3,44372533.07,121941929.4,103045037,66820650.88,100661612.5,57047311.25
2007,32682594.5,37551991.88,466192456.2,220660973.4,67325874.48,84606854.01,16210428.96,164139180.3,221123686.4,286952873.1,82351493.98,220225102.1,1314371989,154028505.9,54113091.88,113196207.2,42939032.63,115513221.5,46170160.49,85323694.54,50095540.17,204340543.9,123208480.2,77182927.11,120575289.3,57717994.03
2008,44563039.17,22103704.78,405251966.8,139400259,13061685.54,60091127.77,8741968.825,107394839.8,313194114.9,257035775.6,41112523.36,101392775,1582085055,215131285.8,66595381.11,151080708.4,33995403.07,147522537.6,73372706.62,83141805.7,59400925.34,187004497.8,159113781.4,129817295.6,120594123,64410450.4
