Time,type_data,unit,Region,category,technology,sub_technology,material,value,min,max
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,tantalum,0.0,,
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,cobalt,0.0,,
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,lead,0.0,,
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,manganese,0.0,,
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,nickel,0.0,,
#
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,steel,70693.9388,,
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,aluminium,0.0,,
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,concrete,2832619.03,,
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,copper,1699.075275,,
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,tantalum,0.0,,
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,cobalt,0.0,,
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,lead,5.36,,
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,manganese,1.7,,
2020,inflow,kg/MW,World,generation,Hydro,HYD_tech1,nickel,31.0,,
#
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,steel,215682.9625,,
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,aluminium,3596.539049,,
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,concrete,1025503.555,,
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,copper,3897.735599,,
2020,inflow,kg/MW,World,generation,Other Renewables,OREN_tech1,neodymium,35.7274,,
