Time,type_data,unit,Region,sector,technology,sub_technology,material,value,min,max
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,chromium,345,75.315,510
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,cobalt,5,3,6720
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,concrete,12121.212121212122,12121.212121212122,12121.212121212122
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,copper,7428.535353535353,11007.070707070707,11007.070707070707
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,dysprosium,2,6,50.625
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,gallium,0.065,0.03,0.1
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,glass,9790.90909090909,1484,10000
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,graphite,7,5,9
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,indium,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,lead,7633.737373737374,56.5,8547.474747474747
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,lithium,1.45,0.9,2
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,manganese,5100,111,7800
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,molybdenum,0,37.657000000000004,37.657000000000004
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,neodymium,12,12,150
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,nickel,4000,116,6100
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,niobium,0.8,0.4,7
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,plastics,19000,10000,28000
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,praseodymium,0,6,88
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,selenium,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,silicon,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,silver,0.03,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,steel,274500,500,419000
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,tantalum,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,tellurium,0,0,0
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,terbium,0,0.4,0.8
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,tin,0.7,0.4,1
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,titanium,130.5,61,200
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,vanadium,0.00035,0.0001,0.0006
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,zinc,75,20,478.7878787878788
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,aluminium,1600,600,2600
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,boron,0,239,845.5
2020,inflow,kg/MW,World,generation,WOFF,GB-PMSG,cadmium,0,0,0
