Time,unit,Region,sector,technology,sub_technology,material,value,min,max
2020,kg/count,World,vehicles,LCV,ICE,rubber,51.839999999999996,51.839999999999996,51.839999999999996
2020,kg/count,World,vehicles,LCV,HEV,steel,1133.568,1120.1047199621728,1160.4945600756548
2020,kg/count,World,vehicles,LCV,HEV,aluminium,105.408,98.70598121911878,108.7590093904406
2020,kg/count,World,vehicles,LCV,HEV,copper,17.28,15.721192963142991,20.397614073714024
2020,kg/count,World,vehicles,LCV,HEV,plastics,186.624,186.624,186.624
2020,kg/count,World,vehicles,LCV,HEV,glass,10.368,10.368,10.368
2020,kg/count,World,vehicles,LCV,HEV,rubber,51.839999999999996,51.839999999999996,51.839999999999996
2020,kg/count,World,vehicles,LCV,PHEV,steel,1133.568,1120.1047199621728,1160.4945600756548
2020,kg/count,World,vehicles,LCV,PHEV,aluminium,105.408,98.70598121911878,108.7590093904406
2020,kg/count,World,vehicles,LCV,PHEV,copper,17.28,15.721192963142991,20.397614073714024
2020,kg/count,World,vehicles,LCV,PHEV,plastics,186.624,186.624,186.624
2020,kg/count,World,vehicles,LCV,PHEV,glass,10.368,10.368,10.368
2020,kg/count,World,vehicles,LCV,PHEV,rubber,51.839999999999996,51.839999999999996,51.839999999999996
2020,kg/count,World,vehicles,LCV,BEV,steel,1133.568,1120.1047199621728,1160.4945600756548
2020,kg/count,World,vehicles,LCV,BEV,aluminium,105.408,98.70598121911878,108.7590093904406
2020,kg/count,World,vehicles,LCV,BEV,copper,17.28,15.721192963142991,20.397614073714024
2020,kg/count,World,vehicles,LCV,BEV,plastics,186.624,186.624,186.624
2020,kg/count,World,vehicles,LCV,BEV,glass,10.368,10.368,10.368
2020,kg/count,World,vehicles,LCV,BEV,rubber,51.839999999999996,51.839999999999996,51.839999999999996
2020,kg/count,World,vehicles,LCV,FCV,steel,1133.568,1120.1047199621728,1160.4945600756548
2020,kg/count,World,vehicles,LCV,FCV,aluminium,105.408,98.70598121911878,108.7590093904406
2020,kg/count,World,vehicles,LCV,FCV,copper,17.28,15.721192963142991,20.397614073714024
2020,kg/count,World,vehicles,LCV,FCV,plastics,186.624,186.624,186.624
2020,kg/count,World,vehicles,LCV,FCV,glass,10.368,10.368,10.368
2020,kg/count,World,vehicles,LCV,FCV,rubber,51.839999999999996,51.839999999999996,51.839999999999996
2020,kg/count,World,vehicles,MFT,ICE,steel,5283.018,5220.272094347333,5408.509811305335
2020,kg/count,World,vehicles,MFT,ICE,aluminium,74.06099999999999,69.35207645595358,76.41546177202319
2020,kg/count,World,vehicles,MFT,ICE,copper,24.687,22.460016821823555,29.140966356352898
2020,kg/count,World,vehicles,MFT,ICE,plastics,1612.884,1612.884,1612.884
2020,kg/count,World,vehicles,MFT,ICE,glass,57.603,57.603,57.603
2020,kg/count,World,vehicles,MFT,ICE,rubber,893.032,893.032,893.032
2020,kg/count,World,vehicles,MFT,ICE,lead,0,0,0
