Year,Region,Building_type,steel,concrete,wood,copper,aluminium,glass,brick,steel,concrete,wood,copper,aluminium,glass,brick
2020,5,2,7.508019376866818,577.9334221,51.0946732615336,0.182895495,0.49,3.1965858904549376,260.0,7.508019376866818,577.9334221,51.0946732615336,0.182895495,0.49,3.1965858904549376,260.0
2020,5,3,10.98611184791333,808.5836641000001,20.8808984375,0.182895495,0.49,2.0162037035,170.5,10.98611184791333,808.5836641000001,20.8808984375,0.182895495,0.49,2.0162037035,170.5
2020,5,4,3.82222369582666,677.1673282,22.0,0.182895495,0.49,2.0,107.0,3.82222369582666,677.1673282,22.0,0.182895495,0.49,2.0,107.0
2020,6,1,7.508019376866818,577.78623125,51.0338940590336,0.182895495,0.49,3.1965858904549376,260.0,7.508019376866818,577.78623125,51.0338940590336,0.182895495,0.49,3.1965858904549376,260.0
2020,6,2,7.508019376866818,577.78623125,51.0338940590336,0.182895495,0.49,3.1965858904549376,260.0,7.508019376866818,577.78623125,51.0338940590336,0.182895495,0.49,3.1965858904549376,260.0
2020,6,3,10.98611184791333,813.9270390091615,20.7,0.182895495,0.49,2.126293208,170.5,10.98611184791333,813.9270390091615,20.7,0.182895495,0.49,2.126293208,170.5
2020,6,4,3.82222369582666,677.1673282,22.0,0.182895495,0.49,2.0,107.0,3.82222369582666,677.1673282,22.0,0.182895495,0.49,2.0,107.0
2020,7,1,7.3370769792637,572.7955414208334,50.20171652808015,0.182895495,0.4907647245,3.206461892579938,271.71220930000004,7.3370769792637,572.7955414208334,50.20171652808015,0.182895495,0.4907647245,3.206461892579938,271.71220930000004
2020,7,2,7.3370769792637,572.7955414208334,50.20171652808015,0.182895495,0.4907647245,3.206461892579938,271.71220930000004,7.3370769792637,572.7955414208334,50.20171652808015,0.182895495,0.4907647245,3.206461892579938,271.71220930000004
2020,7,3,10.948611847913329,821.15764575,20.599999999999998,0.182895495,0.49000000000000005,2.23428644775,159.7957515,10.948611847913329,821.15764575,20.599999999999998,0.182895495,0.49000000000000005,2.23428644775,159.7957515
2020,7,4,3.82222369582666,677.1673282,22.0,0.182895495,0.49,2.0,107.0,3.82222369582666,677.1673282,22.0,0.182895495,0.49,2.0,107.0
2020,8,1,7.303743645930367,572.3529067125,50.20171652808015,0.182895495,0.49076472449999997,3.2064618925799375,271.71220930000004,7.303743645930367,572.3529067125,50.20171652808015,0.182895495,0.49076472449999997,3.2064618925799375,271.71220930000004
