,NiMH,LMO,NMC,NCA,LFP,Lithium Sulfur,Lithium Ceramic ,Lithium-air
2017,0.17188131400228315,0.00236881737201843,0.7322450863487039,0.007131061474291793,0.08637277978356121,9.410191415733704e-07,4.901612796187651e-17,2.814611765577137e-17
2018,0.1811450546109333,0.0031654591526488413,0.7121568036434055,0.008964731143180325,0.0945660107407814,1.9407090499853526e-06,3.7543092963899925e-16,2.2231037963865983e-16
2019,0.1813611542724669,0.004582524709853916,0.6959519694164263,0.012022959921411055,0.10607760260150557,3.7890783265784907e-06,6.989834344354159e-15,2.714980918543234e-15
2020,0.180876723500257,0.006541204148869637,0.6775229937995594,0.0159308926483844,0.1191207799329113,7.405969854930533e-06,1.3028035188203527e-13,3.319319276625556e-14
2021,0.17956168733101696,0.009199566017222325,0.6565713110372571,0.020839887339600897,0.13381306797524037,1.448029682748892e-05,2.4290593710180767e-12,4.059555114262742e-13
2022,0.17728243911630268,0.012736854467428156,0.6328216358071924,0.02689091793757694,0.15023985508553084,2.8297535740633138e-05,4.526608819237028e-11,4.962305343995914e-12
2023,0.17391214960582413,0.017343364897904008,0.6060569117898179,0.03419495307152805,0.16843740098888405,5.5218743157157366e-05,8.423150259157003e-10,6.056967923639976e-11
2024,0.16934476597760692,0.023203118140460145,0.5761607330756365,0.04280849962527535,0.1883753796325999,0.00010748717554863307,1.5635377248982435e-08,7.374953677619437e-10
2025,0.16351157040842704,0.03046901128735535,0.5431618631169384,0.052706820370504,0.20994193176592515,0.00020850488010169747,2.892221965110253e-07,8.948551861796136e-09
2026,0.1563972153197981,0.03923181057530564,0.5072700311048203,0.06375898620628527,0.23293386653135073,0.00040265601914772013,5.326148537667531e-06,1.0809475467926785e-07
2027,0.14804172945733912,0.04948312437917782,0.4688611596767156,0.07570499858844594,0.2570367805960327,0.0007733593802609961,9.754929130942314e-05,1.298630718362929e-06
2028,0.13836229404604813,0.060998409277969276,0.42790591300085357,0.08802785882883642,0.2814433319223174,0.0014738781238935311,0.0017728337727859322,1.548102729581502e-05
2029,0.12423468166058245,0.07150486050625526,0.37520128753406623,0.09753066246530641,0.2975313486847808,0.002711988632458329,0.031106990104980022,0.00017818041157030687
2030,0.07424708760763306,0.05522405032967034,0.21898397481401546,0.07133581766123115,0.2103974903449044,0.003337952973032617,0.3651018408068247,0.00137178546268829
2031,0.0741360691689665,0.05591867036911484,0.2174008228891288,0.07196481134168961,0.20981564798621702,0.004365638135803838,0.3643458097511254,0.002052530357954085
2032,0.0740066895800324,0.056592145645939,0.21577599011286086,0.07256494594268799,0.2091580745568353,0.005617558800031468,0.36330366460464714,0.002980930756965934
2033,0.07385222784233766,0.05723848229488535,0.21409093727785763,0.0731289339421788,0.20840692588868667,0.007117618945526637,0.36195430748296414,0.004210566325562987
2034,0.07366615393109664,0.05785157670625837,0.21232810472229535,0.07364944401903407,0.20754503924010645,0.008886736365171538,0.36027786258277605,0.005795082433261488
2035,0.07344244768971774,0.05842548447415762,0.2104718030363645,0.07411944024775817,0.20655684354395734,0.010941703814263154,0.3582573180666253,0.007784959127156282
2036,0.07317592217270355,0.05895471243791645,0.20850908534551127,0.07453254347295202,0.20542927014627552,0.013294184599068807,0.3558801428501196,0.01022413897545277
2037,0.07286252168283538,0.05943450928434807,0.20643051713773777,0.0748833836990343,0.2041525787123094,0.015949926575577405,0.3531397217860473,0.01314684112211029
2038,0.0724995658117538,0.05986112862672328,0.20423076646518176,0.07516791123715985,0.20272101745223173,0.01890826386373024,0.35003646432858565,0.016574882214633626
2039,0.072085915813279,0.06023204041964518,0.20190895501913575,0.07538363762174013,0.20113325255569028,0.022161951514409313,0.34657847389109997,0.020515773165000417
2040,0.07162204790916214,0.0605460718019761,0.19946873645779598,0.07552978454449227,0.19939252646172848,0.025697347752188855,0.34278171302470106,0.024961772047955053
2041,0.07111002833516701,0.06080346616348926,0.19691809833446483,0.07560732911493148,0.19750653438658008,0.029494925568929225,0.33866965552317674,0.029889962573261406
2042,0.07055339543464934,0.061005858138370665,0.19426891323450518,0.07561894499605937,0.19548703858197425,0.033530065249442964,0.33427247154560713,0.03526331281939122
2043,0.06995696327070788,0.06115617090507308,0.1915362888369267,0.07556884958968935,0.19334926546806405,0.037774056255894466,0.32962583739606577,0.04103256827757864
2044,0.0693265677898339,0.061258449326017345,0.18873778238440064,0.0754625759039506,0.19111114857716677,0.04219522372083446,0.3247694916126724,0.04713876068512384
2045,0.06866877985218423,0.06131764720067329,0.1858925510876052,0.07530669301356588,0.18879248840928262,0.04676009255968946,0.31974567078971006,0.053516077087289206
2046,0.06799060942293769,0.06133938887334493,0.18302050677852594,0.07510850079069237,0.18641409898158903,0.051434509896625194,0.3145975528979251,0.06009483235835974
2047,0.06729922243081408,0.061329724797704564,0.1801415326125333,0.07487572315298806,0.18399700176673123,0.056184661586815995,0.30936781639929484,0.0668043172531178
2048,0.06660168713147618,0.0612948979751403,0.1772748045794318,0.07461622022419954,0.18156171352458533,0.06097793784023306,0.3040973953812236,0.07357534334371027
