regions,flow,sector,category,materials,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Brazil,outflow,electricity,storage,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,outflow,electricity,storage,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,outflow,electricity,storage,Cu,0.0007167668665648218,0.0007409780785587667,0.0005838869182522924,0.0006081997750000471,0.0006321634613504069,0.0005487222008997307,0.0005722060733345449,0.0005952386459076796,0.0006178364634805046,0.0006400467612671578,0.0006619540023446804,0.001485481385608155,0.0015044350148817533,0.0015234887406963943,0.0015428827826563447,0.0015628981951298269,0.0007820532779052058,0.0008070635858947351,0.0008338546934375502,0.0008628600038002554,0.0008945401132315707,0.0009293943929506866,0.0009679295540733476,0.001010670485953098,0.0010581496572459287,0.0011109023114648496,0.003251285417589623,0.0033091291899477048,0.0033732940242653287,0.003444165883212301,0.009300253126294669,0.007283683710589106,0.007362106740602367,0.007447156710901502,0.0075388161601938584,0.0018588141637063491,0.0019832705402725386,0.0021151527788866725,0.0022542254632194935,0.002400193844296179,0.0025526976399967644,0.002711336162917286,0.002875671989669113,0.0030452590543628318,0.0032196490337453483,0.0033984209233419997,0.003581190945900923,0.0037676687015255595,0.003957607258263072,0.004150862951233287,0.004347402114924903,0.004547312507042718,0.004750784297407716,0.004958177946504984,0.005169985218358156,0.005386835487712778,0.005609504460615914,0.005838901621706236,0.0060760522970444595,0.006322101548786997,0.006578301048084768,0.006845985010327435,0.007126579332085894,0.007421589802717382,0.007732586854696053,0.008061202907392912,0.00840912757778225,0.00877809183474672,0.009169876503209698,0.009586304486015728,0.010029235143926297
Brazil,outflow,electricity,storage,Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,outflow,electricity,storage,Nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,outflow,electricity,storage,Pb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,outflow,electricity,storage,Plastics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,outflow,electricity,storage,Steel,0.0312699671309714,0.032326215457404286,0.02547289166623632,0.026533574388647778,0.02757902405919961,0.02393878119450868,0.024963298305161356,0.02596812682179662,0.02695398853736466,0.027922944154811478,0.028878678495194016,0.06480622398780485,0.0656331028406716,0.06646434854654784,0.06731044102502806,0.0681836416699717,0.034118179055857116,0.035209289073980875,0.036378088988353555,0.037643486628749924,0.039025576157205005,0.040546143348618106,0.042227294191244734,0.04409192772464484,0.04616327364615487,0.048464682710168835,0.14184191943565477,0.14436543572071592,0.14716471726353106,0.1502566022308201,0.405736681109056,0.3177609915397997,0.3211823070124007,0.32489273211685615,0.3288915050796069,0.08109339383982948,0.08652297908714447,0.09227652805682184,0.09834377037892486,0.10471184721303489,0.11136504074269758,0.11828587041386365,0.12545525301325577,0.13285372828629063,0.14046173749770544,0.14826091373253963,0.15623451416601836,0.16436986969240597,0.17265620755641914,0.1810872601747048,0.18966155884177302,0.1983829321114711,0.20725967641089246,0.21630751733792186,0.22554790879280562,0.23500830813793647,0.244722556645458,0.25473033186756194,0.26507636510212595,0.2758106113033536,0.2869876763934404,0.29866576740360773,0.3109070910861258,0.3237773396289339,0.33734502536726807,0.35168136490230867,0.366860070161482,0.382956657107635,0.4000488167438224,0.418216075781854,0.4375395514616696
Brazil,stock,electricity,storage,Aluminium,0.0205653554987664,0.021824088288715196,0.022649822533333436,0.02381293971144888,0.02490353879959104,0.0261932470007352,0.027372059424891838,0.028827704858148714,0.029792612265184083,0.030961886476457284,0.032509152368009754,0.03180620423828903,0.03407422350011255,0.035841845457572394,0.03793169989615248,0.039417568406496954,0.04128249224189376,0.044112055411253036,0.046349609465471515,0.04629545005723128,0.05130435218640168,0.05331208114197719,0.05554877044434767,0.057250792326618234,0.05988045945879384,0.06119550488908439,0.05945770822286208,0.06441752703714,0.0698432395570464,0.07445451149146942,0.06992622114438048,0.07406150771910887,0.0792180143412144,0.08203595524573656,0.08635801957211446,0.09088187374222319,0.09588550088512077,0.1011310855950888,0.10819757827139038,0.1151342716953072,0.12339784035479519,0.1289076067543272,0.13499883229645437,0.139368596334768,0.1435912660837368,0.1467524529392856,0.16687125058374477,0.18330058446871197,0.1983071421381648,0.21299002319091115,0.22550047465111198,0.23465689959365996,0.24267591643053354,0.2470301149355832,0.24822079175509434,0.2515397093477184,0.25778166113695195,0.2636474458723056,0.2693810965252848,0.27584580839056316,0.27941835770020557,0.2850957130078799,0.2924678954624495,0.30012561897722884,0.31025350614582,0.3210947271138264,0.3318224926393751,0.3442012423931256,0.35574118285431583,0.36570519954771136,0.3738529779347519
Brazil,stock,electricity,storage,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
