type,years,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
aboveground,1989,63193.85315867891,330728.3900283744,19246.997246031602,4181.084684473804,62378.37436203273,38006.14654720657,20456.01163850995,10693.377227614455,5384.262429850092,28464.365032107475,197938.0646173392,69505.04909837125,7938.982924060054,62744.83367133342,22975.389105703027,129917.49804914392,34570.525218647286,57589.811625830844,2626.7561142236764,41355.635891831575,9921.794875831081,4730.323464264138,21911.246176981836,39102.124984115544,8301.621283204056,16873.26184764415
aboveground,1990,64817.395315652095,334640.090893289,20217.04417544743,4277.96023832436,63598.590034278146,38558.96524841731,21496.765836899867,10986.709640929497,5687.00289007826,29685.601074779555,198270.1602965364,70032.51296359452,8641.034993242507,62346.416034897746,23281.08517160609,129251.82824633227,35942.772575270115,61205.18482236302,2717.843614348033,45513.170376059614,10838.401360411526,5131.629041405325,22457.396811922223,39013.539014091715,8866.25713941396,16933.981808488054
aboveground,1991,65759.86921503078,338403.4106869773,20969.702541325565,4378.4088892306945,63436.93020643331,39369.11178696813,22537.69220903657,11253.845713880475,5923.962905820885,30703.801261736757,199354.83060446774,70198.82168508985,9267.880579315695,61947.99763180991,23578.10448265367,128581.11237359309,37225.953032993246,64756.6833478654,2870.979038492603,49633.68332318183,11783.910378669243,5572.256302878437,23031.602116107922,39341.99163789925,9637.714504101526,17015.571484191267
aboveground,1992,65931.21386708364,340045.44601153216,21929.02450846024,4489.201354816477,63595.935393599815,40588.86954570349,23665.81532726863,11423.331227228178,6074.45085315106,31397.790633839082,201234.68383628238,72971.2555157972,9808.194949286344,60776.891710560914,23791.28135942473,126294.14776064153,38781.92498311214,68304.45936101001,3038.3243066039167,54498.91899145627,13028.250929712016,6130.764279838286,23500.540857014777,39774.164210428906,10323.911313135173,17095.794051709505
aboveground,1993,67971.17835331715,341961.0192874189,23036.811292881925,4638.762206064541,65681.83856229774,42069.10659791271,25242.821322006996,11648.419958071616,6266.386719846709,31726.517152147968,203739.76286860477,76045.94836983012,10302.879974269697,59605.79337065013,23834.778494985745,124238.33946648789,40558.70446137139,71671.57305421932,3235.1075425004874,59719.91878083007,14337.750294159858,6741.277823885413,24481.371773854273,40252.07741205597,11119.038043221828,17271.925109935295
aboveground,1994,69584.12399275349,342882.5520068676,24158.204130840502,4854.653229458187,68331.93942024169,44064.140876793426,26591.17132435711,11744.641472991303,6488.019849609283,31831.870894957734,204451.58124473225,78325.54451552161,10750.000074999492,58434.68838642047,23918.785997111423,121959.01492798692,42544.01828533927,75210.54708636546,3490.3299700443968,66450.37565162356,15878.430958199708,7543.783731952091,25214.491325404335,41233.5379927449,12033.717459376865,17398.80918350869
aboveground,1995,72435.33534309657,344536.1095751522,25821.238876712905,5028.007653310176,71025.09158681669,46372.56839203152,27847.762901987277,12049.691794653942,6686.008478952157,31875.021107230732,205494.11927536718,80259.55489923904,11104.979926953974,57264.10123314436,24000.259460537993,121314.21335695681,44548.46770038246,78995.19706319062,3878.0408339748806,72449.14068052122,17309.181548126988,8484.839880759926,25928.4022912327,42099.708961379394,13036.690450140946,17503.6595980475
aboveground,1996,76118.91921275006,344982.7584172495,26869.705580776776,5259.812509499237,73719.75829021145,49020.818153412845,29124.554347910034,12351.295258157701,6910.229518313366,31915.02989912649,206880.00761713428,82314.2153996206,11449.010926246667,56257.328909637305,24083.06101424842,121531.70279622692,46709.35229053198,82968.34594570028,4224.90240424489,79029.06625785946,18828.17575266968,9297.622519643006,26609.814214238195,42933.8046283941,13772.203507647497,17587.637674157544
aboveground,1997,79556.03292984924,345144.30204623716,27557.08486975443,5517.073669948822,76092.66843037997,51869.15757137946,30274.17141453149,12824.949925040464,7182.569759373664,32093.92571456253,207569.66939397482,81281.71695901094,12071.23570297907,55483.880361415446,24410.677566305378,123868.44292605198,48914.972612766716,86628.44602359267,4568.036712252379,85995.66227123066,20375.94281334694,10097.293494407171,27422.094688216963,43842.726667869625,14643.179164300587,17714.802504438125
aboveground,1998,83158.73029066739,345105.80096585455,28208.252491360414,5830.066586672156,76578.27486349843,55375.19105589392,31010.802905186752,13920.837524868077,7548.933423292335,32272.82086048748,208333.33982321646,80248.45149182208,12750.982224960328,56284.65665239277,26868.008264930642,130686.98239826402,51039.58795997308,90217.87579978822,4968.235879769968,94646.87422028794,22228.46655507036,11020.768528341407,27942.591299860967,44531.205039233646,15439.45071132343,17742.49059633696
aboveground,1999,85738.24932156799,348279.188862303,29086.997526003204,6124.409616010351,77049.78469849948,58332.812218735664,31942.509102284046,15040.842114724912,7945.472323706938,32547.22168757687,208158.21161327072,79410.28443550377,13563.337531136358,57397.83859435091,29284.828537421465,137875.34354555633,53334.21290339944,93874.32751466907,5335.029193807393,102680.2247532098,23828.028992640513,11728.202672197864,28266.15471608787,44905.322005022186,16229.499478300477,17823.42567363422
aboveground,2000,87188.60332181599,356177.74457653303,30499.522620512653,6425.23296108165,79976.93641009623,60890.3242759562,33405.939296455384,16118.603635559633,8360.637181518165,32764.531073175516,209022.57127622358,78572.35487781913,14680.346665352545,58511.03075833806,31660.539588389984,143518.73229208187,55829.70312143395,98716.63976668667,5464.06416174988,110804.66742455475,25673.126582161203,12139.064340266104,28364.036251156096,45680.493430973656,17075.545317840664,17934.76034826551
