year,region,region_name,shipping_type,source,ton_km_mega
1977,18,INDIA,international shipping,preprocessed,342863.2
1977,19,KOR,international shipping,preprocessed,315264.4
1977,20,CHN,international shipping,preprocessed,1123214.0
1977,21,SEAS,international shipping,preprocessed,1025804.0
1977,22,INDO,international shipping,preprocessed,465946.7
1977,23,JAP,international shipping,preprocessed,4060539.0
1977,24,OCE,international shipping,preprocessed,636372.9
1977,25,RSAS,international shipping,preprocessed,240572.9
1977,26,RSAF,international shipping,preprocessed,284629.3
1977,27,Unused,international shipping,preprocessed,0.0
1977,28,World Total,international shipping,preprocessed,54721420.0
1978,1,CAN,international shipping,preprocessed,1685043.0
1978,2,USA,international shipping,preprocessed,4992976.0
1978,3,MEX,international shipping,preprocessed,161727.0
1978,4,RCAM,international shipping,preprocessed,1125885.0
1978,5,BRA,international shipping,preprocessed,558217.2
1978,6,RSAM,international shipping,preprocessed,964258.6
1978,7,NAF,international shipping,preprocessed,1021837.0
1978,8,WAF,international shipping,preprocessed,999952.3
1978,9,EAF,international shipping,preprocessed,217058.1
1978,10,SAF,international shipping,preprocessed,435424.6
1978,11,WEU,international shipping,preprocessed,25941830.0
1978,12,CEU,international shipping,preprocessed,2312103.0
1978,13,TUR,international shipping,preprocessed,212126.9
1978,14,UKR,international shipping,preprocessed,260941.1
1978,15,STAN,international shipping,preprocessed,136974.9
1978,16,RUS,international shipping,preprocessed,807880.4
1978,17,ME,international shipping,preprocessed,4078954.0
1978,18,INDIA,international shipping,preprocessed,345884.1
1978,19,KOR,international shipping,preprocessed,351558.1
1978,20,CHN,international shipping,preprocessed,1080819.0
1978,21,SEAS,international shipping,preprocessed,1052362.0
1978,22,INDO,international shipping,preprocessed,476702.5
1978,23,JAP,international shipping,preprocessed,3955758.0
1978,24,OCE,international shipping,preprocessed,592855.9
1978,25,RSAS,international shipping,preprocessed,226068.8
1978,26,RSAF,international shipping,preprocessed,244761.5
1978,27,Unused,international shipping,preprocessed,0.0
1978,28,World Total,international shipping,preprocessed,54239960.0
1979,1,CAN,international shipping,preprocessed,1670997.0
1979,2,USA,international shipping,preprocessed,5252828.0
1979,3,MEX,international shipping,preprocessed,167431.5
1979,4,RCAM,international shipping,preprocessed,1108862.0
1979,5,BRA,international shipping,preprocessed,550465.6
1979,6,RSAM,international shipping,preprocessed,1000618.0
1979,7,NAF,international shipping,preprocessed,1048134.0
1979,8,WAF,international shipping,preprocessed,1043432.0
1979,9,EAF,international shipping,preprocessed,223819.8
1979,10,SAF,international shipping,preprocessed,414383.7
1979,11,WEU,international shipping,preprocessed,26970280.0
1979,12,CEU,international shipping,preprocessed,2333447.0
1979,13,TUR,international shipping,preprocessed,203227.6
1979,14,UKR,international shipping,preprocessed,269788.1
1979,15,STAN,international shipping,preprocessed,140915.3
1979,16,RUS,international shipping,preprocessed,832654.9
1979,17,ME,international shipping,preprocessed,4209206.0
1979,18,INDIA,international shipping,preprocessed,346071.4
1979,19,KOR,international shipping,preprocessed,418906.9
1979,20,CHN,international shipping,preprocessed,1172589.0
1979,21,SEAS,international shipping,preprocessed,1162229.0
1979,22,INDO,international shipping,preprocessed,499342.4
1979,23,JAP,international shipping,preprocessed,4151330.0
1979,24,OCE,international shipping,preprocessed,586421.3
1979,25,RSAS,international shipping,preprocessed,232424.3
1979,26,RSAF,international shipping,preprocessed,229542.9
1979,27,Unused,international shipping,preprocessed,0.0
1979,28,World Total,international shipping,preprocessed,56239340.0
1980,1,CAN,international shipping,preprocessed,1599598.0
1980,2,USA,international shipping,preprocessed,5346810.0
1980,3,MEX,international shipping,preprocessed,189541.0
1980,4,RCAM,international shipping,preprocessed,1049875.0
1980,5,BRA,international shipping,preprocessed,545193.2
1980,6,RSAM,international shipping,preprocessed,1036777.0
1980,7,NAF,international shipping,preprocessed,1063962.0
1980,8,WAF,international shipping,preprocessed,1017495.0
1980,9,EAF,international shipping,preprocessed,219337.0
1980,10,SAF,international shipping,preprocessed,435589.8
1980,11,WEU,international shipping,preprocessed,27765610.0
1980,12,CEU,international shipping,preprocessed,2318311.0
1980,13,TUR,international shipping,preprocessed,178520.5
1980,14,UKR,international shipping,preprocessed,274506.0
1980,15,STAN,international shipping,preprocessed,142548.9
1980,16,RUS,international shipping,preprocessed,843390.4
1980,17,ME,international shipping,preprocessed,4314008.0
1980,18,INDIA,international shipping,preprocessed,344689.8
1980,19,KOR,international shipping,preprocessed,463123.3
1980,20,CHN,international shipping,preprocessed,1262985.0
1980,21,SEAS,international shipping,preprocessed,1278981.0
1980,22,INDO,international shipping,preprocessed,505338.6
1980,23,JAP,international shipping,preprocessed,4166112.0
1980,24,OCE,international shipping,preprocessed,571149.8
1980,25,RSAS,international shipping,preprocessed,250886.9
1980,26,RSAF,international shipping,preprocessed,230240.7
1980,27,Unused,international shipping,preprocessed,0.0
1980,28,World Total,international shipping,preprocessed,57414580.0
1981,1,CAN,international shipping,preprocessed,1446215.0
1981,2,USA,international shipping,preprocessed,5068673.0
1981,3,MEX,international shipping,preprocessed,244896.4
1981,4,RCAM,international shipping,preprocessed,971914.8
1981,5,BRA,international shipping,preprocessed,531028.3
1981,6,RSAM,international shipping,preprocessed,993040.6
1981,7,NAF,international shipping,preprocessed,1023635.0
1981,8,WAF,international shipping,preprocessed,954092.3
1981,9,EAF,international shipping,preprocessed,192093.4
1981,10,SAF,international shipping,preprocessed,493811.0
1981,11,WEU,international shipping,preprocessed,26531170.0
1981,12,CEU,international shipping,preprocessed,2138538.0
1981,13,TUR,international shipping,preprocessed,156723.0
1981,14,UKR,international shipping,preprocessed,260049.5
1981,15,STAN,international shipping,preprocessed,133874.7
1981,16,RUS,international shipping,preprocessed,796321.6
1981,17,ME,international shipping,preprocessed,4408927.0
1981,18,INDIA,international shipping,preprocessed,329538.6
1981,19,KOR,international shipping,preprocessed,459980.1
1981,20,CHN,international shipping,preprocessed,1316955.0
1981,21,SEAS,international shipping,preprocessed,1328242.0
1981,22,INDO,international shipping,preprocessed,496425.3
1981,23,JAP,international shipping,preprocessed,3981439.0
1981,24,OCE,international shipping,preprocessed,533665.3
1981,25,RSAS,international shipping,preprocessed,254291.5
1981,26,RSAF,international shipping,preprocessed,240891.7
1981,27,Unused,international shipping,preprocessed,0.0
1981,28,World Total,international shipping,preprocessed,55286430.0
1982,1,CAN,international shipping,preprocessed,1241729.0
1982,2,USA,international shipping,preprocessed,4427279.0
1982,3,MEX,international shipping,preprocessed,283468.1
1982,4,RCAM,international shipping,preprocessed,852453.2
1982,5,BRA,international shipping,preprocessed,485828.8
1982,6,RSAM,international shipping,preprocessed,893970.3
1982,7,NAF,international shipping,preprocessed,918568.9
1982,8,WAF,international shipping,preprocessed,821632.4
1982,9,EAF,international shipping,preprocessed,158750.2
1982,10,SAF,international shipping,preprocessed,481995.9
1982,11,WEU,international shipping,preprocessed,22229910.0
1982,12,CEU,international shipping,preprocessed,1785674.0
1982,13,TUR,international shipping,preprocessed,148617.4
1982,14,UKR,international shipping,preprocessed,223806.1
1982,15,STAN,international shipping,preprocessed,115715.8
1982,16,RUS,international shipping,preprocessed,686934.9
1982,17,ME,international shipping,preprocessed,4233666.0
1982,18,INDIA,international shipping,preprocessed,290547.9
1982,19,KOR,international shipping,preprocessed,420920.8
1982,20,CHN,international shipping,preprocessed,1245762.0
1982,21,SEAS,international shipping,preprocessed,1252425.0
1982,22,INDO,international shipping,preprocessed,464966.9
