! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trp_trvl_pkm.out;;;;;;;;;
real main.em.dem.trp.trvl.ProjT.pkm_global_tot[28,8](t) = [;;;;;;;;;
unit=tera pkm;;conversion factor =1000;;;;;;;
;;walking;cycling;bus;train;car;highspeed train;plane;total
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8
1977;26;0.006380025;0.002734296;0.02676425;0.01036476;0.005844321;0;0.003965999;0.05605365
1977;27;0;0;0;0;0;0;0;0
1977;28;0.5978562;0.2562241;4.344749;5.472778;9.529364;0;1.3703;21.57127
1978;1;0.004346027;0.001862584;0.06608911;0.04619297;0.4431916;0;0.03529968;0.5969819
1978;2;0.03906399;0.01674171;0.7445031;0.3550892;3.680569;0;0.5299647;5.365932
1978;3;0.006698146;0.002870636;0.07976634;0.004720708;0.09716885;0;0.01150374;0.2027284
1978;4;0.003730249;0.001598679;0.04289104;0.000808338;0.05114867;0;0.01272406;0.112901
1978;5;0.01639987;0.007028515;0.1590683;0.02303358;0.2716334;0;0.01920036;0.496364
1978;6;0.01544225;0.006618106;0.1865743;0.01786077;0.2188188;0;0.02206619;0.4673805
1978;7;0.004847392;0.002077454;0.05263191;0.007595939;0.05098822;0;0.01580194;0.1339428
1978;8;0.02199832;0.009427852;0.1229084;0.0003753;0.02610611;0;0.01245695;0.1932729
1978;9;0.008270686;0.003544579;0.04298171;0.00205658;0.008405289;0;0.007405767;0.0726646
1978;10;0.03354412;0.01437605;0.1145819;0.08061842;0.04414059;0;0.007450932;0.294712
1978;11;0.1266801;0.05429145;0.6783127;0.621095;2.633105;0;0.2263603;4.339844
1978;12;0.0279858;0.01199392;0.145345;0.4090521;0.3405758;0;0.02379322;0.9587459
1978;13;0.00807302;0.003459865;0.04330387;0.03587784;0.1304246;0;0.00193403;0.2230732
1978;14;0.02004784;0.00859193;0.07022036;0.4308771;0.09431517;0;0.06275275;0.6868051
1978;15;0.01344658;0.005762821;0.1122877;0.2134184;0.04606077;0;0.02936085;0.4203371
1978;16;0.07636502;0.03272785;0.6282907;1.197662;0.2719818;0;0.1801258;2.387153
1978;17;0.01557262;0.006673982;0.15286;0.000471724;0.170437;0;0.08428647;0.4303018
1978;18;0.0534877;0.02292331;0.1303478;0.537016;0.07963601;0;0.01534894;0.8387598
1978;19;0.002458228;0.001053527;0.03853812;0.002562116;0.03284326;0;0.006759479;0.08421473
1978;20;0.04367441;0.0187176;0.3106264;0.9846516;0.124391;0;0.0141499;1.496211
1978;21;0.01032144;0.004423473;0.1001244;0;0.08684088;0;0.02478612;0.2264963
1978;22;0.004627462;0.001983198;0.04627589;0.001967459;0.03977654;0;0.006915654;0.1015462
1978;23;0.03666571;0.01571387;0.4341023;0.1712339;0.5632598;0;0.03512925;1.256105
1978;24;0.00247474;0.001060602;0.04414859;0.02137562;0.249859;0;0.02101843;0.3399369
