time,sector,unit,technology,material,min,max
2020,vehicles,fraction,LCV - HEV,lead,0.0,0.0
2020,vehicles,fraction,LCV - HEV,lithium,0.0,0.0
2020,vehicles,fraction,LCV - HEV,manganese,0.0,0.0
2020,vehicles,fraction,LCV - HEV,neodymium,0.0,0.0
2020,vehicles,fraction,LCV - HEV,nickel,0.0,0.0
2020,vehicles,fraction,LCV - HEV,plastics,0.0972,0.1188
2020,vehicles,fraction,LCV - HEV,rubber,0.027,0.033
2020,vehicles,fraction,LCV - HEV,steel,0.5904,0.7216
2020,vehicles,fraction,LCV - HEV,titanium,0.0,0.0
2020,vehicles,fraction,LCV - HEV,wood,0.0,0.0
2020,vehicles,fraction,LCV - ICE,aluminium,0.0549,0.0671
2020,vehicles,fraction,LCV - ICE,cobalt,0.0,0.0
2020,vehicles,fraction,LCV - ICE,copper,0.009,0.011
2020,vehicles,fraction,LCV - ICE,glass,0.0054,0.0066
2020,vehicles,fraction,LCV - ICE,lead,0.0,0.0
2020,vehicles,fraction,LCV - ICE,lithium,0.0,0.0
2020,vehicles,fraction,LCV - ICE,manganese,0.0,0.0
2020,vehicles,fraction,LCV - ICE,neodymium,0.0,0.0
2020,vehicles,fraction,LCV - ICE,nickel,0.0,0.0
2020,vehicles,fraction,LCV - ICE,plastics,0.0972,0.1188
2020,vehicles,fraction,LCV - ICE,rubber,0.027,0.033
2020,vehicles,fraction,LCV - ICE,steel,0.5904,0.7216
2020,vehicles,fraction,LCV - ICE,titanium,0.0,0.0
2020,vehicles,fraction,LCV - ICE,wood,0.0,0.0
2020,vehicles,fraction,LCV - PHEV,aluminium,0.0549,0.0671
2020,vehicles,fraction,LCV - PHEV,cobalt,0.0,0.0
2020,vehicles,fraction,LCV - PHEV,copper,0.009,0.011
2020,vehicles,fraction,LCV - PHEV,glass,0.0054,0.0066
2020,vehicles,fraction,LCV - PHEV,lead,0.0,0.0
2020,vehicles,fraction,LCV - PHEV,lithium,0.0,0.0
2020,vehicles,fraction,LCV - PHEV,manganese,0.0,0.0
2020,vehicles,fraction,LCV - PHEV,neodymium,0.0,0.0
2020,vehicles,fraction,LCV - PHEV,nickel,0.0,0.0
2020,vehicles,fraction,LCV - PHEV,plastics,0.0972,0.1188
2020,vehicles,fraction,LCV - PHEV,rubber,0.027,0.033
2020,vehicles,fraction,LCV - PHEV,steel,0.5904,0.7216
2020,vehicles,fraction,LCV - PHEV,titanium,0.0,0.0
2020,vehicles,fraction,LCV - PHEV,wood,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,aluminium,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,cobalt,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,copper,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,glass,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,lead,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,lithium,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,manganese,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,neodymium,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,nickel,0.0,0.0
2020,vehicles,fraction,LCV - Trolley,plastics,0.0,0.0
