time,Region,Type,Area,Shape,Scale
2050,1,High-rise,Rural,1.96820464,109.30000000
2050,2,Detached,Urban,4.16343417,110.74000000
2050,2,Semi-detached,Urban,4.16343417,110.74000000
2050,2,Appartments,Urban,4.16343417,110.74000000
2050,2,High-rise,Urban,4.16343417,110.74000000
2050,2,Detached,Rural,4.16343417,110.74000000
2050,2,Semi-detached,Rural,4.16343417,110.74000000
2050,2,Appartments,Rural,4.16343417,110.74000000
2050,2,High-rise,Rural,4.16343417,110.74000000
2050,3,Detached,Urban,1.96820464,120.02000000
2050,3,Semi-detached,Urban,1.96820464,120.02000000
2050,3,Appartments,Urban,1.96820464,120.02000000
2050,3,High-rise,Urban,1.96820464,120.02000000
2050,3,Detached,Rural,1.96820464,120.02000000
2050,3,Semi-detached,Rural,1.96820464,120.02000000
2050,3,Appartments,Rural,1.96820464,120.02000000
2050,3,High-rise,Rural,1.96820464,120.02000000
2050,4,Detached,Urban,1.96820464,107.77000000
2050,4,Semi-detached,Urban,1.96820464,107.77000000
2050,4,Appartments,Urban,1.96820464,107.77000000
2050,4,High-rise,Urban,1.96820464,107.77000000
2050,4,Detached,Rural,1.96820464,107.77000000
2050,4,Semi-detached,Rural,1.96820464,107.77000000
2050,4,Appartments,Rural,1.96820464,107.77000000
2050,4,High-rise,Rural,1.96820464,107.77000000
2050,5,Detached,Urban,1.96820464,146.64000000
2050,5,Semi-detached,Urban,1.96820464,146.64000000
2050,5,Appartments,Urban,1.96820464,146.64000000
2050,5,High-rise,Urban,1.96820464,146.64000000
2050,5,Detached,Rural,1.96820464,146.64000000
2050,5,Semi-detached,Rural,1.96820464,146.64000000
2050,5,Appartments,Rural,1.96820464,146.64000000
2050,5,High-rise,Rural,1.96820464,146.64000000
2050,6,Detached,Urban,1.96820464,88.72000000
2050,6,Semi-detached,Urban,1.96820464,88.72000000
2050,6,Appartments,Urban,1.96820464,88.72000000
2050,6,High-rise,Urban,1.96820464,88.72000000
2050,6,Detached,Rural,1.96820464,88.72000000
2050,6,Semi-detached,Rural,1.96820464,88.72000000
2050,6,Appartments,Rural,1.96820464,88.72000000
2050,6,High-rise,Rural,1.96820464,88.72000000
2050,7,Detached,Urban,1.96820464,107.77000000
2050,7,Semi-detached,Urban,1.96820464,107.77000000
2050,7,Appartments,Urban,1.96820464,107.77000000
2050,7,High-rise,Urban,1.96820464,107.77000000
2050,7,Detached,Rural,1.96820464,107.77000000
2050,7,Semi-detached,Rural,1.96820464,107.77000000
2050,7,Appartments,Rural,1.96820464,107.77000000
2050,7,High-rise,Rural,1.96820464,107.77000000
2050,8,Detached,Urban,1.96820464,107.77000000
2050,8,Semi-detached,Urban,1.96820464,107.77000000
2050,8,Appartments,Urban,1.96820464,107.77000000
2050,8,High-rise,Urban,1.96820464,107.77000000
2050,8,Detached,Rural,1.96820464,107.77000000
2050,8,Semi-detached,Rural,1.96820464,107.77000000
2050,8,Appartments,Rural,1.96820464,107.77000000
2050,8,High-rise,Rural,1.96820464,107.77000000
2050,9,Detached,Urban,1.96820464,107.77000000
2050,9,Semi-detached,Urban,1.96820464,107.77000000
2050,9,Appartments,Urban,1.96820464,107.77000000
2050,9,High-rise,Urban,1.96820464,107.77000000
2050,9,Detached,Rural,1.96820464,107.77000000
2050,9,Semi-detached,Rural,1.96820464,107.77000000
2050,9,Appartments,Rural,1.96820464,107.77000000
2050,9,High-rise,Rural,1.96820464,107.77000000
2050,10,Detached,Urban,1.96820464,107.77000000
2050,10,Semi-detached,Urban,1.96820464,107.77000000
2050,10,Appartments,Urban,1.96820464,107.77000000
2050,10,High-rise,Urban,1.96820464,107.77000000
2050,10,Detached,Rural,1.96820464,107.77000000
2050,10,Semi-detached,Rural,1.96820464,107.77000000
2050,10,Appartments,Rural,1.96820464,107.77000000
2050,10,High-rise,Rural,1.96820464,107.77000000
2050,11,Detached,Urban,2.94587674,92.06000000
2050,11,Semi-detached,Urban,2.94587674,92.06000000
2050,11,Appartments,Urban,2.94587674,92.06000000
2050,11,High-rise,Urban,2.94587674,92.06000000
2050,11,Detached,Rural,2.94587674,92.06000000
2050,11,Semi-detached,Rural,2.94587674,92.06000000
2050,11,Appartments,Rural,2.94587674,92.06000000
2050,11,High-rise,Rural,2.94587674,92.06000000
2050,12,Detached,Urban,2.50000000,95.24000000
2050,12,Semi-detached,Urban,2.50000000,95.24000000
2050,12,Appartments,Urban,2.50000000,131.87000000
2050,12,High-rise,Urban,1.96820464,87.57000000
2050,12,Detached,Rural,2.50000000,95.24000000
