Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,240363.7675,2007683.43,87480.70678,44791.19044,137167.1116,150834.9474,48010.87384,80774.83304,48192.40851,68296.47013,1721054.178,218067.6691,51107.01195,72962.9536,38861.88499,224915.5802,116457.3861,266477.7658,31063.32288,333969.6739,98123.94501,61224.04706,466588.7038,124578.7736,70284.04143,32324.51528
1972,330704.8958,2638524.458,146882.6052,41653.47231,342212.0195,167296.2335,84992.5091,77354.35747,36666.65362,60277.47914,2416830.559,217760.1213,99741.43385,94255.87574,62489.53659,334353.0457,309469.7041,172843.2592,23745.28404,409572.8539,85481.02181,66276.72502,856281.7311,160628.9358,42567.45651,50430.62876
1973,517923.175,3633706.966,227987.3054,88829.90305,514973.1727,304417.1903,66965.43556,121144.7401,72570.42648,148121.2314,3173816.696,413752.3701,117829.4374,136979.8488,123345.054,710070.184,209494.3036,198996.8005,64491.01458,501514.7601,185470.8775,97161.91788,1255422.382,204044.9774,58296.91565,45621.27353
1974,558034.4045,2466882.583,190971.6154,56436.45134,408293.5748,309895.6331,78602.9539,121553.9181,75234.05157,91237.78614,1447379.665,352635.1751,90618.97356,187555.3081,152845.2853,862621.2093,200093.3611,289720.4,48320.2577,518511.6594,139309.986,121153.3872,587473.0939,193068.3427,86377.13137,42095.08942
1975,230806.6745,1424184.919,120323.1029,58301.39969,268743.9419,218438.1891,71632.96107,108441.6615,41949.0398,88094.64809,1917843.254,342030.46,167989.7722,158968.9335,93981.81668,551770.9379,221177.2642,233068.0809,37778.86019,535195.2274,110668.1493,93957.43093,806745.755,144015.4726,65234.96509,27436.86588
1976,295691.73,2909234.752,152006.7066,60113.51789,336574.4111,205217.6775,97508.26225,121642.5017,45796.88748,47241.86191,2209430.462,262597.3005,119727.444,101397.8929,64398.2917,372203.9022,437179.2054,207179.4643,27606.40416,322514.4427,103974.0541,81928.32384,802347.5862,127030.3563,67130.67596,23947.4594
1977,146531.4247,2819914.18,127200.7356,76776.83296,158795.1972,316918.1937,115456.284,164934.414,52328.4975,26271.34996,2026851.017,278522.4088,188547.0677,70723.60721,42258.59686,230076.906,629701.4728,243708.0502,69864.63952,554452.8054,136569.3442,107499.1472,769373.1886,142683.3219,64952.73905,19598.7599
1978,265056.5425,3337873.108,226602.1116,72098.39507,328394.3178,292785.227,123504.8226,142481.8306,56624.72442,46726.28218,2054399.606,267884.9438,97099.00878,84404.35617,52256.74815,286830.5302,505466.6489,283314.6358,97623.58777,404336.1952,137912.1156,127340.9983,871195.4081,126456.4157,104140.8627,36849.56033
1979,416163.7637,2211443.216,344215.3771,38163.38453,329388.1246,328666.9643,88002.60075,70601.70915,44989.63061,7273.482625,1935990.194,183018.6994,20426.14896,127326.2085,75127.91908,438916.8911,392674.8783,294299.2869,119920.2843,439925.543,152156.1197,114620.6399,796177.9598,117355.7998,107561.8572,24828.40698
1980,281571.9126,1061064.056,311656.8369,42223.42494,390367.7958,315999.9453,105205.0856,127215.2655,61154.06063,16768.54754,1193639.431,43730.55132,31229.87755,174687.043,105258.9971,622859.2064,279840.321,266445.693,22396.40773,331270.6383,150150.1411,149371.2044,530409.786,103876.8709,96873.99728,41906.78011
1981,203713.7054,2088264.645,401144.6458,60619.17024,96615.19951,275683.9412,136697.663,121470.6629,53267.631,109960.9972,1504938.381,72273.4063,29708.92331,104887.0636,61651.17845,353397.9076,382497.2356,309601.8107,202584.8945,345480.7696,133002.7845,156650.3916,572987.8318,151233.7579,93394.33128,39496.3788
1982,20846.84398,1539661.922,98533.60687,39553.32301,176850.5831,172824.8462,130559.5595,118439.1859,60946.55953,64097.94174,1757507.383,101298.5549,49889.52931,73044.72291,40451.67988,237124.6483,599561.301,211121.5488,80638.14849,432640.2732,143514.9982,144284.0624,404956.4448,171614.303,119508.0945,29827.0911
1983,47327.03089,3443595.625,2455.405049,58748.13939,93774.29593,157324.3623,140848.6784,104719.9451,50661.78165,42310.54351,1984786.032,162791.9594,105483.6562,65308.33059,35683.99769,226465.8615,846813.0015,214588.0007,164985.1865,525806.5512,198616.9699,83416.38286,827759.1483,110231.2016,96742.03027,32355.16115
1984,252692.2735,3150754.278,80920.98637,76994.3756,197296.9591,147265.0269,167281.5763,91949.85135,51758.09922,95747.85681,2266966.986,189565.0868,76129.2882,78856.43186,41275.14029,239001.0312,437525.01,255435.9303,105174.2534,534200.5913,190558.7853,119762.7141,698175.8394,214583.9593,121523.6791,33395.57072
1985,322778.8976,3334805.886,120761.2779,47817.70181,340677.9902,184919.8792,241377.9965,135979.5752,67778.22887,29125.79354,2364386.011,201857.66,118664.5152,107058.3551,64728.63065,345319.1631,378385.1541,340502.1666,118821.4116,575808.0069,193032.4224,128325.3337,843897.458,222930.5903,124677.8302,42339.87665
1986,407654.2335,4645078.972,955960.0185,82065.84814,700169.6339,465107.3562,110821.4251,121305.8999,84803.98396,82552.76489,3413506.348,464143.5221,134934.4554,215116.2288,159421.5499,895728.2665,489716.6098,416180.8854,143750.7856,744335.9827,257643.2445,206905.6565,1188057.539,232345.4039,131936.8577,63433.9645
1987,416965.3163,4369285.184,252514.3343,128359.1874,441303.9043,477126.0373,227218.4865,147041.0534,92161.10037,170748.0747,3894198.508,434802.3031,228264.2045,171841.331,152838.2528,852323.613,560858.2394,479062.2133,219274.4528,869546.6278,337923.5832,173855.2052,1207323.074,252240.1769,170545.4077,58616.36995
1988,427943.0874,4332068.695,254571.5509,73104.06577,274349.5795,366080.6059,209300.5433,217497.2057,128999.1943,147942.9798,4100389.133,416689.186,87128.68409,140912.9998,109369.9632,642984.0521,396220.9093,485000.8059,244764.0382,920878.4086,347117.6314,185940.0863,1171578.082,269608.0792,145992.5457,68614.42874
1989,334825.2761,3324805.29,475047.0358,92891.56797,568151.5713,112420.6027,190947.3337,159163.4885,55757.27605,96754.56781,3351383.867,381978.1105,71944.99159,164992.7346,98642.67399,605209.3108,486171.7367,565566.626,242995.8727,687481.5028,356966.0806,153029.5913,1256354.187,325513.814,128654.7224,46672.07322
1990,248410.3601,2399099.254,329985.8648,70835.03889,183979.1934,378735.0703,239142.3807,51373.92947,106624.2199,80017.39786,3775495.305,257833.9014,238523.76,652803.3712,437195.6512,1913678.307,344288.8419,382730.4246,298788.3792,835844.0963,419303.7513,337322.4093,2096555.827,340444.0074,147819.8997,64254.81146
1991,180348.7144,2290540.52,445456.8745,27911.71516,299877.8438,521744.8943,176422.3386,262569.9625,55119.19295,71629.55361,3188683.618,19519.95621,74507.79836,381880.3846,64672.1351,278418.1373,780401.7992,460759.7685,276843.9835,973902.8179,256105.2603,274227.6347,1537253.741,191631.1423,131126.5857,50072.57069
1992,265445.4885,3477865.264,258642.5403,105127.3876,226913.5512,530982.5608,167310.4673,261057.7598,60283.80992,77280.83542,3420094.643,24754.84643,131656.0462,16833.16772,14451.73229,180639.2741,750363.9245,477377.9178,318901.0661,1111536.888,366002.1242,255680.7597,1246327.739,229669.1402,217084.5125,75110.46286
1993,384611.5866,4019593.382,269078.547,69621.4322,372072.0771,547407.0257,222312.0573,96618.10712,58722.85872,51791.53677,2762538.948,147177.0851,333722.788,20445.25144,22860.30521,8814.784266,757262.5377,497539,347449.8284,1230586.979,556462.4585,294330.3435,1353422.558,257327.8353,220705.0674,36979.89208
1994,401342.9573,3860880.868,319061.494,106047.5079,406980.834,398070.6652,199103.5146,94909.11331,85586.97451,74340.89363,2796062.903,310069.3228,31234.39509,4092.025448,7149.180531,1486.616903,655505.8152,543184.5447,368654.3738,592538.8417,467628.6953,400159.0218,1647843.352,286787.0486,172783.9281,41600.1532
1995,305864.5716,3454169.913,54956.54845,133275.9804,993089.205,534997.1942,186667.2824,149620.3202,95576.3787,158074.5513,3082895.418,346732.3384,196197.1422,3723.159867,8617.851082,9195.779759,220944.3096,726974.4697,490134.3787,908270.7662,609451.3288,372366.5434,1396110.524,305262.154,198699.5763,68491.89928
1996,254515.0502,3082888.105,47440.88861,95187.08841,647721.9421,569014.2786,221226.3632,238391.2606,95090.96731,63650.80145,3680787.175,906941.3746,216664.9898,48077.64567,44718.36826,300700.3175,585536.6283,823868.7529,438771.6336,1661319.748,552255.5907,420447.3042,1424734.652,301153.4025,285434.7404,49030.09767
1997,415630.4192,3226194.305,337754.1387,146922.6125,522973.5955,472231.2705,153051.7518,294070.1146,107608.9138,92090.9769,3264280.902,407980.5105,122202.17,19852.7279,21158.15937,11577.49049,623588.3598,507978.0316,215463.3618,593033.1819,388112.5342,412386.0595,866593.0564,282060.2758,150736.8545,70770.99983
1998,373444.9902,3950016.583,358972.4484,153870.9985,408886.7244,506793.6087,347183.2615,164444.5539,98434.99057,55013.0117,3831596.663,347385.068,39132.12199,18367.63908,37071.7108,48002.363,1039320.462,580162.6417,11645.1593,888452.1495,63078.76727,88816.99708,687539.08,280958.0228,194457.9948,59284.79672
1999,473918.7296,4882781.525,374127.8445,152324.1101,271658.372,157061.017,287427.6272,161504.5317,97704.76027,116802.5124,3948319.441,347109.1878,167072.6217,19595.36564,15008.81516,71284.47679,442877.3739,764136.6178,151791.5637,1143238.9,429076.8707,179895.8893,1123590.298,341694.7065,210505.0706,95978.87967
2000,282104.061,4154879.915,541252.5616,133176.0577,407669.3851,307857.2719,209019.9844,177683.5446,141153.1956,145854.0541,4125936.322,372925.4839,268583.3734,10547.34011,146888.1193,680414.9058,654648.4646,614218.4142,556303.3772,3765844.379,433165.6643,361112.4824,1382454.545,349190.1578,197158.3226,54174.1691
2001,398369.3577,4674582.366,372344.7019,149557.7457,408807.5398,394046.7591,249419.5436,349557.7755,145410.9271,172796.3003,3880330.086,653195.7609,58884.99489,44635.45369,122469.0298,996570.8508,782566.0415,619787.2365,448344.4678,1237235.592,528051.2067,336970.1065,1488476.157,179086.7552,225290.6677,84460.60582
2002,726041.953,3678833.138,371647.3235,150557.6267,570026.8012,290783.8094,280045.6305,426633.1244,134503.9432,150737.7811,3398009.284,564530.3807,182871.9446,73995.97914,135221.2946,692108.3054,881737.3381,722239.7801,571939.0149,1616551.853,582080.1209,326913.4956,990402.1593,472743.4074,227610.3368,96361.52469
2003,571822.0559,4513041.853,576349.196,106630.1532,341321.0232,237745.8725,271270.2009,301585.818,109585.8014,182777.5112,3569551.342,694744.5676,186635.9768,69017.78339,123488.1167,879226.6747,878478.9654,683282.8447,361176.0264,2022506.075,605829.9189,354032.4279,1233006.341,255221.4778,266703.3867,77389.90483
2004,550360.9757,3656602.467,513694.493,143432.5831,814392.0883,605715.8606,310869.0716,314495.62,140300.2659,188467.0433,4100331.63,747062.0826,259532.4857,142441.2554,184066.83,958207.1611,1300227.381,893649.5038,307875.6927,2768949.311,738672.5578,344097.2275,1548940.164,558205.1729,292681.9994,102697.5441
2005,447322.4665,4290721.634,543716.7096,157529.4642,651880.8781,714936.8412,245906.279,227275.1106,138998.9063,183685.136,3367014.891,721683.9971,294419.1864,150231.5967,93543.52148,445617.556,1113668.751,909418.0393,418776.9603,2332527.553,450572.7024,333070.9572,1291355.569,224884.056,235174.9825,72283.36735
2006,405895.6356,3727597.954,508594.8049,190521.203,718240.6417,859797.3202,325485.446,222752.0191,169966.3503,183325.6294,4617966.53,839625.2113,474051.9797,197787.1609,138064.9333,912537.4375,1186532.389,851244.4676,450056.9693,2541290.581,266348.5409,164833.5308,1131830.691,328834.9182,280371.3656,104400.3894
2007,787905.8807,4033970.875,623084.6307,242672.8304,1122470.141,1033906.15,481114.298,303009.5983,133532.1698,224142.3077,4152392.517,830082.2174,482053.9969,324285.1689,211524.2415,671445.7789,1407676.279,1527877.966,544941.0199,2718435.368,825441.1643,415705.1973,878794.9698,380604.8057,449998.3042,115158.9829
2008,518827.226,2079700.451,579992.1744,101887.0778,1126916.996,862131.7732,448075.3336,409298.9823,181325.0864,95705.11585,2298989.819,822305.3875,79391.32587,219385.7225,177275.9599,1139907.922,1456765.459,1433589.111,376194.0419,3123556.587,466988.3639,462527.0722,686002.4464,364316.443,240886.9842,133244.5218
2009,506083.5477,2198817.104,171301.1731,162703.3628,741693.8037,607194.6641,652443.3938,405455.8434,185630.2044,62532.86471,2323557.847,350945.8663,127876.1126,13564.7041,53039.71442,480479.311,1946168.888,1397359.71,386828.9047,2283824.457,750915.0885,733154.0335,732319.0261,256850.2039,294932.2104,165626.9581
2010,638293.8855,5426943.946,387828.8603,161594.8928,1544161.869,771059.4969,501688.6753,542384.4996,215928.5269,162460.0604,3785949.741,571471.3135,243012.1214,103546.6221,108251.3947,551112.0269,1082342.016,1380322.694,522607.9563,3541638.377,711360.1064,774756.4758,1329230.295,473175.4277,350555.42,110481.3306
2011,564641.2941,2989385.494,389909.5656,119193.9303,1109011.494,1001916.266,296820.8896,384685.0544,167557.3458,198090.4208,3542407.968,461619.2734,362211.0822,150706.7812,123383.478,654567.9397,917079.8525,1453369.135,381145.0536,4179518.815,622255.1446,1231232.244,1126783.584,398734.7228,340821.6434,171151.559
2012,586481.6757,4168589.162,487292.0879,172558.7818,1301087.771,964691.837,751703.4224,465780.7007,213472.509,172097.1504,2536565.397,525749.8286,651656.1917,132055.0125,205775.9537,578146.1783,1496724.23,1425231.995,454916.2206,4482854.656,831124.9475,1398013.757,1313686.325,458756.1745,303303.4216,227847.4122
2013,776428.9874,6379598.693,515066.8252,177048.4687,1370795.216,1024447.419,456165.0139,820142.0249,221206.8127,322794.743,4254519.304,518035.7997,656767.243,131036.8619,121741.1688,906557.7508,1201503.536,1292674.007,615267.1903,5232359.344,1155401.747,891551.2491,1555900.318,523918.0233,258930.0596,210667.575
2014,665467.3954,5728082.859,551065.1939,239861.3518,1271070.785,774753.2945,646870.7841,597098.4506,252288.5334,165530.0884,5701191.237,1005525.006,521663.4872,39772.893,268870.7262,1206976.977,1722063.843,1649232.33,581454.985,5022726.201,976813.3277,770724.0394,1333239.601,502530.625,376721.7591,158881.5831
2015,815185.6105,7790081.883,614464.9647,382526.2777,786622.2501,800148.3121,522444.9111,452595.4946,312618.1611,280658.107,5868321.269,1248493.418,1053813.362,57846.37862,173228.3692,727116.0986,2683784.549,2262710.273,795407.6703,6752092.356,1060625.922,317272.4209,1650231.995,585376.662,539583.0053,195885.9608
2016,827003.1295,6727505.553,748288.9329,280565.9077,680341.6695,688604.1943,613172.7065,641748.8936,295468.2759,116481.1356,5944927.686,1474658.965,783249.0911,133788.0503,209669.7236,525731.2747,1785861.543,1879769.234,714910.6513,5510535.375,1256498.532,802609.8359,1572468.882,638817.3405,609048.4469,147306.9577
2017,1092118.753,6268828.048,378313.5447,231410.6274,924583.8932,663714.8997,330072.9509,353636.2131,192956.44,284469.5896,5889612.421,1837211.144,790840.5185,142346.3582,119867.3188,949353.4691,1191419.537,2234769.757,700293.0807,5831782.182,1163639.962,806354.8243,1703242.54,625762.5782,542579.2138,97300.42932
2018,1100071.239,6971523.871,418893.599,242055.7888,961413.3387,603157.7701,360040.3805,544216.7942,259194.8621,166880.0968,5730025.567,1435817.024,608124.956,151358.1362,615747.6617,962396.0525,870012.7507,2178197.693,696488.2997,7988797.835,1029731.68,1497237.937,1591014.418,689793.0514,300718.6611,159703.41
2019,796287.2955,5914812.508,562551.1209,324169.7877,1550381.662,631457.8185,302604.363,514229.2321,280154.6798,90258.97445,5817854.983,1457695.025,662894.3006,194900.2831,114964.9572,844488.1877,1155723.268,1695714.714,991262.1676,5839115.324,1188848.261,1071401.478,1354173.383,570035.7633,250157.9073,185912.0462
2020,173282.9454,1643386.16,32384.79664,17115.75774,615754.8408,3121.695794,250974.5833,215175.7295,130452.2143,39196.0979,478734.2309,501872.6956,365937.5423,35959.8855,343493.6284,425352.5714,242722.8407,225595.4697,275453.305,3030919.645,126534.7168,331977.6566,496343.6743,339078.3136,511654.47,65609.54313
2021,767988.5302,8017685.321,51311.01401,332909.9382,1652105.407,438149.8982,690943.3641,447672.578,301789.6306,142389.4646,6557948.598,1730983.484,1477363.967,168882.6826,216113.3791,1339519.803,1640010.324,1807288.549,812171.4256,8987194.166,157352.7699,921001.2137,1231512.109,497654.1804,628786.9337,260324.4698
2022,1468066.462,6192616.914,1606077.343,209011.365,595511.0424,1957582.475,1148018.535,987417.5835,356378.8221,430261.7079,6512061.179,779018.8715,426101.2784,13073.36817,84228.49278,794979.608,4308734.817,3236549.487,649228.2832,5550393.534,2368032.104,982200.7736,1962930.017,775134.2254,559055.4558,276393.2429
2023,654874.8301,5025330.173,572263.7393,207237.7625,1061846.131,626543.5882,716824.7257,643152.0035,182613.0037,125630.983,3902809.848,604042.8116,405812.806,12308.27395,102077.2819,576792.8284,1515567.475,1926230.85,539504.0398,5649028.175,980001.4519,936167.5533,1245436.059,466440.9766,396005.4328,180183.5404
2024,712606.5354,5212617.136,552914.9677,261110.8435,985144.647,881289.2277,661405.1234,647681.1454,245530.0705,183838.5814,4422890.123,1004292.067,567312.9544,49484.98179,125987.5066,503831.271,1901499.927,2335549.685,608270.5526,5845113.476,1144897.719,1123507.799,1200445.142,473852.0843,522095.5005,203693.6699
2025,806867.2842,5869216.564,584824.7434,279708.08,1200684.875,935950.5018,740811.9761,621064.5823,309592.5737,180626.8659,5012203.098,1088859.194,613441.7648,57593.81135,158867.1541,502142.7641,2051096.182,2238620.357,617888.8397,5816342.321,1195308.637,1268498.606,1268080.397,555292.6725,516762.1078,231525.2376
2026,995723.3844,7036001.851,754621.7911,344383.6413,1344927.44,1100054.442,879066.7942,806052.7994,370325.845,238461.8958,5949615.673,1168752.836,750514.7778,92957.46471,239970.9094,688878.712,2324077.92,2768235.736,676356.4407,6612537.72,1465267.465,1425584.68,1548243.175,659810.8026,655118.514,279483.2173
2027,1084799.58,7269511.283,685212.3182,372491.9536,1445921.547,1173299.097,864276.7337,834234.6523,394491.4546,267200.2736,6546115.118,1302323.549,782799.5471,137661.7348,282628.4,988212.2945,2382902.783,2995611.669,608185.2399,7243077.548,1589602.964,1372932.522,1712941.566,723890.5004,677787.7,259229.0893
2028,1130248.073,7633236.818,716649.3903,397185.3394,1476664.944,1202774.248,898574.884,795251.2202,427381.9282,267769.4292,6740149.863,1408617.293,811939.608,152818.2411,314793.1469,1117000.317,2458141.915,3168081.263,619288.5801,7795651.724,1602432.001,1377217.218,1759956.608,751731.515,749320.5815,270251.4353
