year,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
2000,248424.006,237426.272,4217512.243437,86626.32707599993,273042.36690799997,,412464.43200000003,182260.017,111802.82800000001,311680.842,1080044.132,2925913.207,4518077.541,292168.243,-167074.42700000003,1386873.571,285453.141,,,501478.332,,,-26440.137151999865,-12222.056336000001,,
2001,227420.46399999998,225300.72212700002,3822096.0043679997,317663.43482599995,184251.231,,96124.94199999998,298247.275,108291.062,419867.03500000003,1058018.47,3094385.329,5721162.821,330611.157,-3515.6840000000084,1100112.697,166250.10600000003,,,454613.837,,,55943.46800899971,18174.054322000004,,
2002,191543.544,321418.002952,3222274.285816,83831.54440300004,229864.385,,126023.52799999999,348947.85,161015.891,380662.516,1166390.654,2620655.719,5958737.303,320975.93299999996,79080.716,960188.463,171830.44400000002,,,529552.318,,,2721980.0133640002,-21309.751137000003,,
2003,272060.53099999996,334752.05256,3491417.251598,2233.2824379999656,275720.963,,151729.722,436353.419,217366.4515,395212.163,1029571.8400000001,1971798.761,6307537.359,211537.11,9666.583000000013,999781.675,-20868.30699999997,,,334378.145,,,72486.02603699965,3640.7067860000043,,
2004,336198.401,443709.02996099996,3587154.202597,37158.43837899994,337987.125,,121065.64299999998,580155.006,51513.274999999994,439506.404,1025811.225,1513781.263,7204538.771,612901.388,123001.705,1079559.722,126885.13,,,-600870.077,,,-514090.25651299953,-4096.195450000001,,
2005,290850.39,325301.671587,2490143.185631,28113.04273300001,365901.749,,123698.12300000002,624746.167,78186.438,524566.287,946437.0819999999,1981349.721,8731128.548,375224.768,-16714.966000000015,870317.614,107681.89299999998,,,292793.577,,,-322403.2271359996,10895.605638000005,,
2006,185308.5,315992.40475800005,3666182.848547,296350.444362,360978.023,,157495.561,679140.31,6782.298999999999,501805.342,915073.46,1556544.792,8794395.804,1334559.846,74507.973,963072.264,92193.195,,,285957.768,,,-303201.068006,-20479.53575,,
2007,142140.832,375351.270172,3361917.329716,138095.96292700002,116264.715,,105710.66999999998,659351.8130000001,187718.594849,583067.6359999999,979846.476,1376923.243,11006032.98,543262.5989999999,60491.35399999999,947191.927,120113.11599999998,,,332375.972,,,-465890.49712200044,-4067.8301169999986,-6708.860000000001,
2008,406065.622,313056.65397600003,2974358.5411529997,108270.23774300003,366376.66,,122346.85700000002,671181.816,337142.32690700004,629073.776,929778.602,2022106.433,11280207.526999999,403475.407,169994.48200000002,933899.18,139559.64500000002,,,234133.332,,,-352825.16684399964,113637.671656,14786.323,
2009,19252.62400000001,384975.915256,2435440.7302449998,54626.15378100006,302704.43,,67230.06,370946.393,287792.331809,615845.44,948787.933,922537.479,11852160.544,525481.4720000001,163287.446,568215.217,125608.320388,,,211179.723,,,-368384.65709999995,78094.347383,159721.207,
