Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1974,108326.3631,432441.8242,49869.60444,12890.2114,111335.8291,49339.85779,10751.60956,36935.4083,22049.6047,10148.82346,409113.9203,79804.70922,22081.11711,30823.30098,17525.8872,93747.70666,27214.83951,104186.2386,15400.90379,148525.4696,31720.90396,33351.20513,102897.3489,54678.65016,35577.73073,12865.45481
1975,73346.15066,356093.9616,57324.25337,19640.39585,93514.15183,84229.68168,33298.80039,40630.07161,23347.59477,18624.86403,500340.5189,87549.92552,42580.60688,28190.66659,16073.7634,87535.06831,62536.87733,122332.0484,13828.14926,137603.3904,43437.95364,36669.34588,267440.3779,39011.44098,29785.40326,12629.38902
1976,100456.523,948544.9419,60981.99309,23157.76831,134039.1643,51139.68795,37756.68241,44301.83892,24527.71399,16483.69297,792483.9833,81965.53712,40408.83681,26164.98271,14929.44308,85359.59082,207200.9945,102332.8112,15179.22552,133800.6075,46879.10892,34078.83243,232889.9678,38022.24755,36153.84517,12038.29389
1977,54081.45097,893930.2009,38665.3162,29989.62024,74809.06566,106144.6952,46750.69146,54300.11813,24077.82501,10460.87536,727665.3914,89279.64885,47487.82543,20847.5117,12467.48284,69164.62948,285102.4226,110824.8328,22212.51225,153142.3834,55668.18865,38744.90135,263112.3445,34546.29147,32524.41138,10846.79298
1978,79608.58993,1099014.961,96740.39386,28987.80548,117437.5977,87528.10704,56158.07382,37688.24663,23101.94188,9649.326219,717449.2003,92283.52455,24926.8595,23524.71157,14364.8725,77826.49127,165432.5536,128477.3601,25353.32557,158260.8814,58567.04634,45895.02337,277487.1796,33558.11221,45689.11107,13937.29772
1979,94193.43223,746767.263,121273.0668,15926.74509,126985.8889,100216.0613,26536.41325,31150.30996,21783.95239,3250.336799,793408.1362,64354.06114,11650.51873,33306.57099,19213.82359,109121.612,74773.97075,108747.4411,30088.39099,158403.3733,55149.28716,38884.54731,298008.7304,31452.3919,45408.54817,13547.94271
1980,76146.70144,365816.7768,89748.71976,15504.5346,187701.7107,109682.2153,24265.43495,37380.82827,23653.9116,6287.348816,485091.4206,24790.68489,18778.00909,43799.29629,24234.50434,143282.564,52364.86617,114896.1581,13967.61609,164169.6811,58342.35932,44208.13087,234493.9531,37883.22983,45357.27123,16977.93569
1981,90740.36846,617552.461,164093.7096,29471.5045,22109.78913,88140.58161,47020.55798,52933.37274,26577.58135,41472.88474,540902.8703,15193.32855,17145.74284,27396.06669,15584.35271,93016.94228,62904.82182,133318.6123,34705.86185,166700.7755,59061.07236,59184.71555,224824.738,50685.91564,46022.54214,16336.22433
1982,13201.00275,411939.7681,28069.39866,17904.61617,45784.39082,36357.56417,58074.69652,43861.41297,29198.7618,22145.87978,564291.341,22642.77201,23046.49741,25097.21516,14722.35913,87122.39126,177238.87,121716.5618,26628.51826,187275.1363,70535.57717,54702.66584,219498.6176,46427.8274,49184.19423,14933.05049
1983,34383.39623,1288595.727,161.6617271,21589.78018,16926.16945,40029.94592,60055.62659,35423.1745,24682.32155,11179.18138,716911.6955,52285.51009,38562.74556,21849.97795,11579.57219,85551.43748,246158.112,126638.0121,42010.74926,206206.8943,65669.51619,43390.19903,311449.0106,35282.03068,52751.31381,15421.0326
1984,90892.44806,1228663.202,17160.99302,28044.28024,53010.10812,44188.82281,66196.78392,48971.10551,23107.21806,33701.38264,808924.4946,64560.99955,34603.3092,24584.28699,14786.18861,80990.97784,101260.7833,138778.2925,32734.06646,226670.0806,66067.27077,52868.667,263345.1685,67255.99502,55666.93679,17980.37807
