Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
2006,8686356.93,51331737.21,8953228.712,4725651.576,13864829.41,16336659.86,4943301.969,10646703.86,6382224.726,4328248.984,69919991.15,13982030.54,8562101.313,2640379.453,2465453.717,17708407.82,16174605.7,23778796.69,9373087.577,67133546.66,10531165.96,5522779.927,18226279.48,4469850.423,8279603.644,3297727.115
2007,14193121.6,51610075.04,9627316.646,4970782.611,19009874.63,22682594.51,8804394.654,15917798.94,5497325.808,4163056.904,64899717.01,14552819.22,9368819.245,3862957.849,3878174.041,18979264.1,26346162.45,30873003.95,9275190.901,76667909.39,16197081.95,9493635.516,16183297.84,6361633.872,9683396.324,4340703.488
2008,5971812.866,34206931.14,8014941.315,3200590.68,17914199.61,17466879.4,6759484.377,11573878.23,6226591.967,2065863.224,41089283.94,13285169.07,3299984.395,4054250.939,2576420.633,17918288.83,17655175.83,27256264.52,7200512.639,65500577.88,12515535.99,6502692.322,12328319.29,5496163.679,8400491.688,4097092.791
2009,7826602.359,36051230.87,4366756.899,2748358.456,13186687.62,12687749.53,12395927.34,16989787.71,6960784.731,1633147.379,33554618.96,3610457.676,2345449.489,570220.7514,2074626.781,8654883.499,39719705.03,30226506.92,4269454.476,74807015.33,11596530.88,8697832.736,10508290.08,3958382.76,7302485.566,6169613.344
2010,8737436.172,64480025.64,4894737.769,2608054.612,22731490.33,12471333.64,7037322.974,14049883.89,8055161.578,2462096.046,47331476.08,6878136.909,7105816.01,1315187.742,2851720.325,7329774.493,15979862.35,30886852.53,8433665.15,80008952.14,13867478.63,12182638.89,17408059.71,6346558.751,7693705.172,3960987.264
2011,7563557.941,56151581.84,8736064.85,3706927.841,18202628.54,19141100.02,4786012.428,12635849.27,6551680.897,4087373.396,56326130.32,8293178.889,12708760.6,2696106.624,2689746.061,10299400.3,6682387.746,34373035.42,8423753.782,98868820.85,14369596.58,15907718.44,18500087.92,5120617.468,9614492.877,4667390.407
2012,8347314.968,58182765.03,10692177.57,4011638.303,19525236.24,21580571.43,10663374.81,14197656.87,6649495.712,3876801.646,38937601.98,9254792.88,10219055.15,2255418.929,4254801.469,15964493.51,16879327.57,33524170.88,7620442.121,104362574.4,19137500.86,19803541.26,20328056.01,6384487.742,9649014.39,5723962.43
2013,9507236.974,66510317.95,11451281.52,3850137.519,19807942.56,21537749.36,7952823.892,24289402.15,5947947.954,3983546.556,49206648.5,7642228.099,13390668.37,3495733.281,4282116.328,17038933.34,19345807.7,37242276.4,8137290.592,117792993.4,20623062.59,14142241.08,22874698.8,7151797.097,8829716.849,5853091.531
2014,9065252.996,61618954.49,9766155.689,4428018.2,16003438.61,16425384.82,10173931.86,17275012.11,7212683.375,2618256.667,70536460.25,11324131.7,9401498.623,918664.0605,3590075.159,13365322.38,32352508.54,42209863.54,8276707.36,118974671.2,18025056.99,12440532.02,15445750.3,6403847.102,10416932.64,6266610.256
2015,11452628.45,78444824.57,12108983.34,5480805.61,7176564.937,16078225.97,10776027.02,21225258.11,8121246.054,3410124.343,70716569.2,14341764.52,14601783.04,1037475.443,4211259.513,6781981.316,63997042.95,49667960.28,8342918.722,141714717.9,24282257.56,10905838.12,17662231.1,7508240.414,11405873.44,6764515.628
2016,9475454.603,67310100.69,12166490.55,4530078.877,4111091.229,10999835.43,10959197.23,15761667.29,7821706.809,1633954.315,74010031.13,17014686.51,10270625.06,1698366.873,3364095.392,5350492.196,34228266.95,48238682.99,8073979.679,132952939.3,23438595.02,13516090,16071080.32,7855240.619,11811877.56,5181160.427
2017,11225227.8,65038333.49,7541469.684,4129109.104,7264535.392,5207920.029,8260250.636,13588063.73,7101401.789,3220176.915,75818710.33,22600559.32,13266665.78,1480655.402,2633439.843,9242465.902,14986239.09,45417085.37,8671393.271,125142724.4,22685235.99,13292313.25,19922394.46,6490348.268,12202958.94,4990396.473
2018,11936272.32,77091960.52,8412760.515,4481449.166,7728478.519,6749779.847,5902254.534,12973466.11,7727290.13,3251454.939,71844360.23,18585689.64,7826151.113,1441853.682,4570932.673,8823449.597,8278201.352,51092057.94,10683910.59,140989609.6,23297920.56,18704338.76,19123032.63,7523532.843,13129294.55,4944611.747
2019,9803476.091,68456672.61,8283063.229,4721341.447,16606305.65,4655613.406,6607255.526,13084261.89,8446887.98,2172439.571,70530337.41,18025265.12,7923326.479,2622089.254,3350183.23,14945931.03,10429040.63,46751338.02,12547963.69,136058094.1,25692235.34,18256054.24,16114674.88,6777185.956,11409535.69,5237769.675
2020,3235148.997,24198218.25,2775929.27,1490676.055,6117165.937,10896.78646,6822130.759,12031258.96,7002202.595,883246.5038,17012798.43,4587712.438,5199934.142,801041.7674,3138202.667,5922192.545,9689346.057,12838552.3,3212242.736,54621217.79,5846912.032,4838468.048,8202665.386,3704872.583,9180780.153,3347345.455
2021,6673301.503,82289702.1,906204.3344,3542925.369,13063322.39,5674294.77,12292333.61,7465193.373,8688714.578,1444751.435,57192048.67,18651007.94,23775899.78,1723742.312,3954586.237,18733376.9,27228306.82,28414581.98,8637582.547,189137682.7,6571631.679,12846565.3,12664579.75,7281176.489,11843066.66,6021312.577
2022,14898355.52,61360843.59,16490960.25,5273864.997,9313904.116,24426180.33,12921213.18,18924953.59,8804730.439,3106349.245,84179890.11,14971184.91,12010287.17,79308.08044,3449359.25,6991401.904,54018117.67,58704614.66,8585743.989,104766409.1,33931973.75,15807002.66,21624102.3,8309797.979,13279670.68,6400772.344
2023,6654123.334,51826185.51,11411556.79,4667238.233,15925437.73,9629398.703,11581879.83,17513128.05,7515859.455,2022929.902,51296166.37,8660608.424,10244651.79,262774.6415,3926949.908,11471536.18,20810678.74,51528372.37,6949456.543,139172320.6,21484816.19,15631176.79,19499453.71,5467375.937,9724428.912,5878022.587
2024,6833282.203,49409346.05,10085565.21,5181842.274,11215985.21,13980852.62,10726736.13,18336042.47,7733666.657,2570894.903,56423228.88,14011262.55,9927558.808,755508.3676,4106840.723,10163796.06,28978535,54257092.03,8269321.141,131620237.8,24335321.45,16276149.94,17032247.53,5180749.738,12923496.02,6369755.075
2025,7649725.165,50937883.44,9297762.456,4453353.74,12372781.03,13394356.96,10513957.79,18527546.87,9595657.559,2504667.847,57487835.94,12796646.34,8758730.523,862677.9331,3702717.047,8334793.965,28163114.82,41887127.76,7012455.483,99395424.75,20786746.19,13600736.7,14655331.49,5812055.58,12022592.9,6293880.827
2026,8507426.574,59493007.18,10821752.32,5181089.231,13087346.46,14638937.31,12001375.21,20676346.49,9805764.931,2938375.558,62306422.62,12742820.97,10180086.69,697333.8313,4143315.711,9167336.296,31249672.4,49005612.14,7052639.665,108692989,24125915.49,16094288.64,16199473.64,6704219.29,14475103.42,7046933.027
2027,8591094.429,60929605.14,10963920.36,6098881.757,14424628.79,16757042.46,12838079.78,21385379.84,10993441.81,3140844.38,66468191.3,15041023.05,11698970.32,1397278.532,4752771.087,11521131.33,33957380.96,63631719.34,7953319.632,141543958,29303881.2,18702903.4,18326999.06,6837482.385,16139131.53,7377081.65
2028,8186230.114,59413183.48,11209450.67,6152899.348,14767242.95,17079151.77,13191387.81,21396190.19,11410418.52,3138169.365,65298743.48,15380037.14,12107070.97,2367094.99,4857150.468,11970260.56,33674366.08,64977815.85,7832140.592,142967278.1,29480562.5,18177236.94,18146202.03,6912110.271,17451855.73,7561189.549
2029,8272302.586,60594069.73,11304270.79,6418311.69,14932733,17772752.83,13942232,22234940.14,11725498.75,3361881.758,65755839.84,16529037.12,12809657.24,2535572.572,4861566.839,12253505.3,35255763.17,67196677.62,7951080.059,146237840.8,30259828.48,19273232.61,18200411.06,6905726.626,18770458.66,7959919.105
2030,8886915.09,62484070.2,12594349.57,6612657.909,15171986.62,18891802.9,14159510.21,22788340.16,11853890.82,3559093.676,69325690.76,17255151.49,12978058.02,2555638.039,4944239.431,12419526.45,36960554.37,68943859.74,8244169.05,151132324.9,32586829.75,19841287.59,18189319.69,7022263.643,18878888.42,8058721.624
2031,8662017.446,57209494.29,13405039.59,6787559.542,16204084.07,18950427.49,15439729.05,24466998.38,12257259.32,3956595.163,69403017.39,16049168.19,12584228.93,2491387.827,5603369.697,13110264.09,37850833.18,70572304.97,7640009.87,144938841.9,33640585.6,18794585.76,18069882.94,6943531.664,19692522.62,8321782.852
2032,8420832.851,57867695.93,12962793.57,6967870.553,16482632.14,18688856.45,15806899.7,25128382.69,12668003.47,4070702.541,69317764.8,15674971.86,12666300.65,2886846.475,5765186.704,13006875.59,37521387.31,72973143.12,7933698.863,142468472.8,33006357.17,18977180.71,17593179.9,6756963.689,20254802.1,8641933.061
2033,8605665.407,61377444.17,12830678.8,7140906.609,17231648.01,19273670.97,16288307.8,25858121,13005117.29,4156253.174,67689722.06,15352209,12692253.41,3125405.64,5607561.094,13050813.5,37877620.82,74748333.53,8457429.683,141537717.6,34022362.89,19158592.38,17282487.27,6845291.094,21124254.63,8852089.044
2034,8774569.201,61643600.98,12671761.6,7285946.851,18255765.45,19833548.94,16758875.55,26748212.13,13344372.51,4390466.897,65433864.71,14900897.22,12567421.86,3048610.814,5697224.339,13292710,38382858.04,76785423.62,8200531.023,140340006.4,34505693.37,19831021.72,17119476.94,6827188.666,21912093.2,9125107.032
2035,9295239.215,62018254.49,12901904.9,7224535.882,18928558.69,20146679.18,17252357.88,27438267.49,13655346.74,4616615.531,65811583.27,14723098.06,12669096.54,3036921.799,5538503.832,13787642.52,38597893.36,77071665.12,7718077.455,142591364.4,35085208.87,20630901.03,17291987.75,7058210.827,22013622.96,9375514.158
2036,9748776.992,64101742.98,13396885.43,7659109.645,21117797.92,21687771.8,19439993.56,29633862.97,14284715.12,5093119.851,69646581.8,14628205.86,12418031.85,2980859.301,5666599.318,13848876.89,40410230.93,79998901.92,7484207.228,141040455,35278096.27,21292774.64,17825510.14,7372885.133,23725589.04,9913297.251
2037,10732193.4,68606338.94,13276484.12,7749866.201,22324457.41,22098078.33,20128539.49,29997063.85,14602738.46,5366688.541,69153310.62,14441245.64,12463289.6,3033672.028,5742454.276,13422175.42,40333293.28,82011828.09,7284927.537,137331444.8,34680583.68,21632754.79,17831582.12,7462690.175,24550122.32,10170843.05
2038,10673227.69,68395234.44,13928679.87,8008087.681,23344287.82,22807323.74,21291084.19,30789676.58,15142654.81,5810329.813,71240847.8,14552559.64,12787922.49,3116793.012,5864540.158,14208278.63,41119699.05,84647106.17,7384415.215,133892152.2,35496342.34,22094347.68,17926260.22,7472807.117,25260510.76,10534081.84
2039,9664737.809,65424947.84,15532848.4,8407942.593,24197173.03,23754816.7,21210159.02,31752562.36,15712137.72,6121305.478,73249748.85,14506207.75,13313853.34,3290368.196,6113359.961,14633476.4,42026642.09,87261179.47,7503678.38,135599856.4,36728229.19,22234525.81,18058136.88,7616012.307,25984168.3,10863364.63
2040,10133425.17,65907052.35,15645929.16,9087913.923,25803740.44,24755447.91,21593503.69,32494929.78,16353659.02,6363625.554,78849524.18,15025687.92,14433866.3,3643599.669,6505744.786,15161931.97,41965651.36,89480340.21,7614744.044,140440570.7,38264226.67,22316984.82,19192632.76,8046684.541,26861184.68,11227021.21
2041,10992562.48,69868640.31,15006738.18,9639184.303,26982170.15,25155771.51,23480823.6,34309255.02,17067799.74,6678483.566,85734115.99,14642828.78,14189260.58,3651299.976,6720660.497,15743418.48,42182071.76,92579157.09,7383026.457,139359486.5,37956874.63,22210688.52,21187901.86,8570856.612,28683491.23,11656167.29
2042,10896428.81,71691071.38,14988830.81,9769024.889,27908286.2,25673495.36,23932838.61,35407930.9,17747935.04,6820063.257,82493456.72,14315868.03,14178079.33,3929037.72,6741524.139,15746552.57,42570300.25,95134056.16,7612217.57,141673722.6,39156278.38,22839643.78,19821734.42,8511988.484,29909274.55,11997522.42
2043,10510669.24,72514311.45,15082387.44,9897823.862,29203376.39,26355502.01,24445710.98,36689999.7,18401853.84,7060959.051,79323477.95,14124595.23,14254452.39,3944402.622,6774631.336,15618455.8,42864271.78,97547477.74,7764273.236,146041977.9,40481693.68,23730988.43,17673854.88,8228573.784,30933901.94,12567508.22
2044,10731195.52,75570716.2,15236243.97,10157283.47,31123426.66,27555547.13,24975146.33,37931128.08,19068452.49,7350309.369,79560366.93,13908011.74,14423304.27,3976843.801,7130745.106,15696616.83,42950921.93,99830292.28,7727848.975,145176438.8,41354054.09,24407949.27,17814149.06,8375985.281,32175320.05,13044250.63
2045,10370942.61,76059273.01,15239595.56,10272239.92,32046283.08,28159280.26,25305997.4,38456501.96,19402526.32,7461981.074,75789672.2,13599906.41,14540277.27,4039112.125,7482676.247,15579605.83,42988516.82,101553236.9,7544575.97,141903412.6,41537336.76,24740726.72,17670861.75,8324374.826,32675392.09,13165637.38
