Year,IMAGE_region,Population
1809,6,6500016.0
1809,7,10027749.0
1809,8,33640462.0
1809,9,26898235.0
1809,10,1496293.0
1809,11,115298823.0
1809,12,36523405.0
1809,13,9895346.0
1809,14,14283129.0
1809,15,5324628.0
1809,16,33661105.0
1809,17,14613874.0
1809,18,204323597.0
1809,19,13740000.0
1809,20,346740666.0
1809,21,18364848.0
1809,22,17246921.0
1809,23,29312285.0
1809,24,729896.0
1809,25,42033623.0
1809,26,10132857.0
1810,1,639132.0
1810,2,7306785.0
1810,3,5796956.0
1810,4,3598720.0
1810,5,3359625.0
1810,6,6502963.0
1810,7,10086134.0
1810,8,33647115.0
1810,9,26981924.0
1810,10,1502136.0
1810,11,116462843.0
1810,12,36683168.0
1810,13,9910759.0
1810,14,14283129.0
1810,15,5324628.0
1810,16,33661105.0
1810,17,14658856.0
1810,18,204741058.0
1810,19,13740000.0
1810,20,349417233.0
1810,21,18448596.0
1810,22,17292162.0
1810,23,29462603.0
1810,24,772908.0
1810,25,42068418.0
1810,26,10172618.0
1811,1,654978.0
1811,2,7502686.0
1811,3,5871592.0
1811,4,3138934.0
1811,5,3460096.0
1811,6,6490857.0
1811,7,10143079.0
1811,8,33653982.0
1811,9,26932220.0
1811,10,1508101.0
1811,11,117639825.0
1811,12,36842942.0
1811,13,9926565.0
1811,14,14283129.0
1811,15,5324628.0
1811,16,33674867.0
1811,17,14703837.0
1811,18,205163165.0
1811,19,13740000.0
1811,20,352104392.0
1811,21,18531961.0
1811,22,17340047.0
1811,23,29612924.0
1811,24,734125.0
1811,25,42104012.0
1811,26,10203552.0
1812,1,671216.0
1812,2,7728031.0
1812,3,5947189.0
1812,4,3178196.0
1812,5,3563572.0
1812,6,6493327.0
1812,7,10201221.0
1812,8,33661093.0
1812,9,26963109.0
1812,10,1514561.0
1812,11,118980712.0
1812,12,37004143.0
1812,13,9943184.0
1812,14,14283129.0
1812,15,5324628.0
1812,16,33702518.0
1812,17,14749003.0
1812,18,205604563.0
1812,19,13740000.0
1812,20,355167577.0
1812,21,18638717.0
1812,22,17392695.0
1812,23,29764012.0
1812,24,736579.0
1812,25,42143265.0
1812,26,10239589.0
1813,1,687858.0
1813,2,7980135.0
1813,3,6023759.0
1813,4,3213458.0
1813,5,3670143.0
1813,6,6502845.0
1813,7,10259816.0
1813,8,33668451.0
1813,9,27003505.0
1813,10,1521524.0
1813,11,120493365.0
1813,12,37166785.0
1813,13,9960618.0
1813,14,14283129.0
1813,15,5324628.0
1813,16,33744187.0
1813,17,14794353.0
1813,18,206065360.0
1813,19,13740000.0
1813,20,358612090.0
1813,21,18768698.0
1813,22,17450156.0
1813,23,29915872.0
1813,24,739373.0
1813,25,42186185.0
1813,26,10276320.0
1814,1,704911.0
1814,2,8240464.0
1814,3,6101316.0
1814,4,3249604.0
1814,5,3779900.0
1814,6,6513167.0
1814,7,10318872.0
1814,8,33676055.0
1814,9,27053777.0
1814,10,1528996.0
1814,11,122060962.0
1814,12,37330880.0
1814,13,9978873.0
1814,14,14283129.0
1814,15,5324628.0
1814,16,33800003.0
1814,17,14839890.0
1814,18,206545666.0
1814,19,13740000.0
1814,20,362090544.0
1814,21,18907323.0
1814,22,17512482.0
1814,23,30068506.0
1814,24,742502.0
1814,25,42232781.0
1814,26,10313759.0
1815,1,722388.0
1815,2,8509285.0
1815,3,6179870.0
1815,4,3286657.0
1815,5,3892940.0
1815,6,6524291.0
1815,7,10378388.0
1815,8,33683907.0
1815,9,27114047.0
1815,10,1536982.0
1815,11,123686385.0
1815,12,37496441.0
1815,13,9997951.0
1815,14,14283129.0
1815,15,5324628.0
1815,16,33870097.0
1815,17,14885617.0
1815,18,207045590.0
1815,19,13740000.0
1815,20,365603271.0
1815,21,19054642.0
1815,22,17579724.0
1815,23,30221918.0
1815,24,745969.0
1815,25,42283065.0
1815,26,10351917.0
1816,1,740298.0
1816,2,8786876.0
1816,3,6259437.0
1816,4,3324645.0
1816,5,4009360.0
1816,6,6536221.0
1816,7,10438371.0
1816,8,33692008.0
1816,9,27184448.0
1816,10,1545491.0
1816,11,125372693.0
1816,12,37663481.0
1816,13,10017856.0
1816,14,14283129.0
1816,15,5324628.0
1816,16,33954600.0
1816,17,14931531.0
1816,18,207565243.0
1816,19,13740000.0
1816,20,369150602.0
1816,21,19210708.0
1816,22,17651935.0
1816,23,30376114.0
1816,24,749772.0
1816,25,42337045.0
1816,26,10390806.0
1817,1,758652.0
1817,2,9073523.0
1817,3,6340027.0
1817,4,3363593.0
1817,5,4129262.0
1817,6,6548955.0
1817,7,10498823.0
1817,8,33700360.0
1817,9,27265107.0
1817,10,1554530.0
1817,11,127123102.0
1817,12,37832018.0
1817,13,10038592.0
1817,14,14283129.0
1817,15,5324628.0
1817,16,34053645.0
1817,17,14977634.0
1817,18,208104734.0
1817,19,13740000.0
1817,20,372732873.0
1817,21,19375585.0
1817,22,17729168.0
1817,23,30531096.0
1817,24,753911.0
1817,25,42394735.0
1817,26,10430441.0
1818,1,777461.0
1818,2,9369520.0
1818,3,6421655.0
1818,4,3403528.0
1818,5,4252750.0
1818,6,6562499.0
1818,7,10559747.0
1818,8,33708963.0
1818,9,27356154.0
1818,10,1564103.0
1818,11,128941026.0
1818,12,38002058.0
1818,13,10060164.0
1818,14,14283129.0
1818,15,5324628.0
1818,16,34167368.0
1818,17,15023928.0
1818,18,208664175.0
1818,19,13740000.0
1818,20,376350424.0
1818,21,19549334.0
1818,22,17811475.0
1818,23,30686869.0
1818,24,758389.0
1818,25,42456141.0
1818,26,10470837.0
1819,1,798664.0
1819,2,9667277.0
1819,3,6483214.0
1819,4,3448057.0
1819,5,4367303.0
1819,6,6595046.0
1819,7,10614950.0
1819,8,33753694.0
1819,9,27476790.0
1819,10,1574220.0
1819,11,130659382.0
1819,12,38187114.0
1819,13,10082574.0
1819,14,14309343.0
1819,15,5334399.0
1819,16,34300245.0
1819,17,15071805.0
1819,18,209243678.0
1819,19,13741644.0
1819,20,379801780.0
1819,21,19705562.0
1819,22,17898968.0
1819,23,30818368.0
1819,24,762314.0
1819,25,42537342.0
1819,26,10534780.0
1820,1,822390.0
1820,2,9970632.0
1820,3,6524512.0
1820,4,4070001.0
1820,5,4472454.0
1820,6,6655160.0
1820,7,10665126.0
1820,8,33837005.0
1820,9,27708595.0
1820,10,1584887.0
1820,11,132280103.0
1820,12,38387266.0
1820,13,10105826.0
1820,14,14362012.0
1820,15,5354035.0
1820,16,34452451.0
1820,17,15121270.0
1820,18,209843353.0
1820,19,13744934.0
1820,20,383083877.0
1820,21,19842722.0
1820,22,17991701.0
1820,23,30925444.0
1820,24,812514.0
1820,25,42638393.0
1820,26,10627957.0
1821,1,848776.0
1821,2,10267384.0
1821,3,6545355.0
1821,4,3546938.0
1821,5,4567718.0
1821,6,6718758.0
1821,7,10707959.0
1821,8,33953375.0
1821,9,27811411.0
1821,10,1602722.0
1821,11,133755064.0
1821,12,38602604.0
1821,13,10121790.0
1821,14,14441378.0
1821,15,5383622.0
1821,16,34624165.0
1821,17,15172333.0
1821,18,210266730.0
1821,19,13749869.0
1821,20,386193618.0
1821,21,19959259.0
1821,22,18089729.0
1821,23,31007944.0
1821,24,768255.0
1821,25,42724128.0
1821,26,10736174.0
1822,1,877963.0
1822,2,10569360.0
1822,3,6545545.0
1822,4,3611743.0
1822,5,4652592.0
1822,6,6810761.0
1822,7,10745643.0
1822,8,34109262.0
1822,9,28025956.0
1822,10,1620823.0
1822,11,135109559.0
1822,12,38833215.0
1822,13,10137787.0
1822,14,14547687.0
1822,15,5423252.0
1822,16,34815569.0
1822,17,15225008.0
1822,18,210691245.0
1822,19,13756453.0
1822,20,389127858.0
1822,21,20053610.0
1822,22,18193108.0
1822,23,31065718.0
1822,24,770139.0
1822,25,42826652.0
1822,26,10875082.0
1823,1,910099.0
1823,2,10872345.0
1823,3,6524883.0
1823,4,3664682.0
1823,5,4726555.0
1823,6,6923448.0
1823,7,10777367.0
1823,8,34303153.0
1823,9,28278081.0
1823,10,1657035.0
1823,11,136318734.0
1823,12,39079184.0
1823,13,10169781.0
1823,14,14681185.0
1823,15,5473019.0
1823,16,35026844.0
1823,17,15279300.0
1823,18,211540283.0
1823,19,13764684.0
1823,20,391883415.0
1823,21,20124196.0
1823,22,18301891.0
1823,23,31098612.0
1823,24,771212.0
1823,25,43011308.0
1823,26,11040469.0
1824,1,943411.0
1824,2,11184015.0
1824,3,6504286.0
1824,4,3729913.0
1824,5,4801693.0
1824,6,7039078.0
1824,7,10809264.0
1824,8,34499662.0
1824,9,28542622.0
1824,10,1694055.0
1824,11,137540014.0
1824,12,39327108.0
1824,13,10201876.0
1824,14,14815909.0
1824,15,5523245.0
1824,16,35253830.0
1824,17,15333825.0
1824,18,212392741.0
1824,19,13772921.0
1824,20,394658884.0
1824,21,20195895.0
1824,22,18416080.0
1824,23,31131540.0
1824,24,772302.0
1824,25,43197131.0
1824,26,11210316.0
1825,1,977943.0
1825,2,11504621.0
1825,3,6483755.0
1825,4,3797533.0
1825,5,4878026.0
1825,6,7157726.0
1825,7,10841335.0
1825,8,34698826.0
1825,9,28819755.0
1825,10,1731903.0
1825,11,138773521.0
1825,12,39580691.0
1825,13,10234073.0
1825,14,14951868.0
1825,15,5573928.0
1825,16,35496672.0
1825,17,15388588.0
1825,18,213248635.0
1825,19,13781162.0
1825,20,397454403.0
1825,21,20268723.0
1825,22,18535729.0
1825,23,31164504.0
1825,24,773405.0
1825,25,43384137.0
1825,26,11384719.0
1826,1,1013738.0
1826,2,11834416.0
1826,3,6463288.0
1826,4,3867660.0
1826,5,4955572.0
1826,6,7279476.0
1826,7,10873582.0
1826,8,34900672.0
1826,9,29109663.0
1826,10,1770596.0
1826,11,140019395.0
1826,12,39884561.0
1826,13,10266371.0
1826,14,15089076.0
1826,15,5625077.0
1826,16,35755519.0
1826,17,15443589.0
1826,18,214107978.0
1826,19,13789408.0
1826,20,400270117.0
1826,21,20342696.0
1826,22,18660898.0
1826,23,31197502.0
1826,24,774525.0
1826,25,43572338.0
1826,26,11563763.0
1827,1,1050844.0
1827,2,12173666.0
1827,3,6442885.0
1827,4,3940402.0
1827,5,5034351.0
1827,6,7404407.0
1827,7,10906004.0
1827,8,35105249.0
1827,9,29412529.0
1827,10,1810154.0
1827,11,141277771.0
1827,12,40191305.0
1827,13,10298771.0
1827,14,15227542.0
1827,15,5676698.0
1827,16,36030515.0
1827,17,15498829.0
1827,18,214970784.0
1827,19,13797659.0
1827,20,403106167.0
1827,21,20417834.0
1827,22,18791644.0
1827,23,31230535.0
1827,24,775660.0
1827,25,43761745.0
1827,26,11747538.0
1828,1,1089308.0
1828,2,12522641.0
1828,3,6422547.0
1828,4,4015889.0
1828,5,5114382.0
1828,6,7532602.0
1828,7,10938603.0
1828,8,35312588.0
1828,9,29728546.0
1828,10,1850595.0
1828,11,142548795.0
1828,12,40500953.0
1828,13,10331273.0
1828,14,15367280.0
1828,15,5728789.0
1828,16,36321814.0
1828,17,15554309.0
1828,18,215837067.0
1828,19,13805917.0
1828,20,405962695.0
1828,21,20494154.0
1828,22,18928024.0
1828,23,31263603.0
1828,24,776809.0
1828,25,43952375.0
1828,26,11936140.0
1829,1,1129501.0
1829,2,12879737.0
1829,3,6418962.0
1829,4,4083643.0
1829,5,5195686.0
1829,6,7670506.0
1829,7,10971381.0
1829,8,35522724.0
1829,9,30058193.0
1829,10,1891940.0
1829,11,143791937.0
1829,12,40813538.0
1829,13,10363878.0
1829,14,15508299.0
1829,15,5781361.0
1829,16,36629563.0
1829,17,15610029.0
1829,18,216706839.0
1829,19,13814178.0
1829,20,408317497.0
1829,21,20571672.0
1829,22,19070097.0
1829,23,31296707.0
1829,24,778964.0
1829,25,44144241.0
1829,26,12129666.0
1830,1,1171497.0
1830,2,13249273.0
1830,3,6432243.0
1830,4,4775071.0
1830,5,5278282.0
1830,6,7827486.0
1830,7,11005096.0
1830,8,35735700.0
1830,9,30490682.0
1830,10,1934209.0
1830,11,145009653.0
1830,12,41129085.0
1830,13,10396585.0
1830,14,15650612.0
1830,15,5834416.0
1830,16,36953914.0
1830,17,15665992.0
1830,18,217580116.0
1830,19,13822445.0
1830,20,410166621.0
1830,21,20650409.0
1830,22,19217922.0
1830,23,31329845.0
1830,24,827754.0
1830,25,44337359.0
1830,26,12333809.0
1831,1,1215377.0
1831,2,13619015.0
1831,3,6462504.0
1831,4,4194257.0
1831,5,5362191.0
1831,6,7977177.0
1831,7,11037476.0
1831,8,35951555.0
1831,9,30759216.0
1831,10,1977422.0
1831,11,146191981.0
1831,12,41407056.0
1831,13,10429396.0
1831,14,15794232.0
1831,15,5887954.0
1831,16,37295022.0
1831,17,15722203.0
1831,18,218456911.0
1831,19,13830717.0
1831,20,411506083.0
1831,21,20730383.0
1831,22,19371560.0
1831,23,31363019.0
1831,24,786547.0
1831,25,44531741.0
1831,26,12531891.0
1832,1,1261221.0
1832,2,14001568.0
1832,3,6509859.0
1832,4,4236202.0
1832,5,5447434.0
1832,6,8146874.0
1832,7,11070745.0
1832,8,36170113.0
1832,9,31122098.0
1832,10,2021601.0
1832,11,147347548.0
1832,12,41687279.0
1832,13,10462311.0
1832,14,15939170.0
1832,15,5941986.0
1832,16,37639278.0
1832,17,15778656.0
1832,18,219337238.0
1832,19,13838995.0
1832,20,412331555.0
1832,21,20811610.0
1832,22,19526473.0
1832,23,31396227.0
1832,24,792103.0
1832,25,44727405.0
1832,26,12740792.0
1833,1,1309115.0
1833,2,14392986.0
1833,3,6574426.0
1833,4,4277727.0
1833,5,5534032.0
1833,6,8328136.0
1833,7,11104147.0
1833,8,36391420.0
1833,9,31490425.0
1833,10,2066766.0
1833,11,148472565.0
1833,12,41969770.0
1833,13,10495329.0
1833,14,16085437.0
1833,15,5996513.0
1833,16,37986711.0
1833,17,15835357.0
1833,18,220221111.0
1833,19,13847277.0
1833,20,412638994.0
1833,21,20894107.0
1833,22,19682669.0
1833,23,31429471.0
1833,24,798921.0
1833,25,44924360.0
1833,26,12955034.0
1834,1,1358828.0
1834,2,14795346.0
1834,3,6639634.0
1834,4,4309650.0
1834,5,5622007.0
1834,6,8515124.0
1834,7,11137682.0
1834,8,36615504.0
1834,9,31863990.0
1834,10,2112941.0
1834,11,149606999.0
1834,12,42254557.0
1834,13,10528452.0
1834,14,16233047.0
1834,15,6051542.0
1834,16,38337353.0
1834,17,15892306.0
1834,18,221108547.0
1834,19,13855564.0
1834,20,412946681.0
1834,21,20977895.0
1834,22,19840162.0
1834,23,31462750.0
1834,24,806075.0
1834,25,45122625.0
1834,26,13174717.0
1835,1,1410429.0
1835,2,15208954.0
1835,3,6705488.0
1835,4,4335008.0
1835,5,5711380.0
1835,6,8708048.0
1835,7,11171353.0
1835,8,36842418.0
1835,9,32242888.0
1835,10,2160147.0
1835,11,150750930.0
1835,12,42541647.0
1835,13,10561679.0
1835,14,16382011.0
1835,15,6107073.0
1835,16,38691232.0
1835,17,15949501.0
1835,18,221999558.0
1835,19,13863857.0
1835,20,413289619.0
1835,21,21063001.0
1835,22,19998960.0
1835,23,31496064.0
1835,24,813568.0
1835,25,45322218.0
1835,26,13399960.0
1836,1,1463990.0
1836,2,15634125.0
1836,3,6771995.0
1836,4,4369040.0
1836,5,5802174.0
1836,6,8907114.0
1836,7,11205160.0
1836,8,37072194.0
1836,9,32627212.0
1836,10,2208408.0
1836,11,151904447.0
1836,12,42831074.0
1836,13,10595011.0
1836,14,16532343.0
1836,15,6163117.0
1836,16,39048375.0
1836,17,16006949.0
1836,18,222894160.0
1836,19,13872154.0
1836,20,413562804.0
1836,21,21149432.0
1836,22,20159075.0
1836,23,31529414.0
1836,24,821400.0
1836,25,45523151.0
1836,26,13630876.0
1837,1,1519584.0
1837,2,16071181.0
1837,3,6839162.0
1837,4,4403641.0
1837,5,5894412.0
1837,6,9112552.0
1837,7,11239100.0
1837,8,37304882.0
1837,9,33017046.0
1837,10,2257747.0
1837,11,153067634.0
1837,12,43122854.0
1837,13,10628448.0
1837,14,16684054.0
1837,15,6219672.0
1837,16,39408816.0
1837,17,16064648.0
1837,18,223792367.0
1837,19,13880457.0
1837,20,413871238.0
1837,21,21237219.0
1837,22,20320517.0
1837,23,31562799.0
1837,24,829575.0
1837,25,45725441.0
1837,26,13867582.0
1838,1,1577290.0
1838,2,16520455.0
1838,3,6906995.0
1838,4,4438819.0
1838,5,5988115.0
1838,6,9324588.0
1838,7,11273178.0
1838,8,37540517.0
1838,9,33412493.0
1838,10,2308188.0
1838,11,154240578.0
1838,12,43417005.0
1838,13,10661991.0
1838,14,16837156.0
1838,15,6276747.0
