time,DIM_1,inland shipping,freight train,medium truck,heavy truck,air cargo,international shipping,empty,total
1976,9,1222.619,3238.231,892.8954,3544.779,742.2357,65909.43,0.0,75550.19
1976,10,28228.8,86000.89,23197.53,91859.45,1231.116,454146.5,0.0,684664.3
1976,11,949997.1,274534.0,58703.88,591937.8,37383.5,11103090.0,0.0,13015650.0
1976,12,55090.98,380703.2,8901.289,79212.02,181.5654,162111.3,0.0,686200.3
1976,13,173251.8,7694.368,3311.049,33436.22,370.6939,212183.0,0.0,430247.1
1976,14,2761.978,402748.1,5332.73,20065.22,85.00867,124139.9,0.0,555132.9
1976,15,85556.98,348102.7,10810.83,40634.61,246.2562,37063.74,0.0,522415.1
1976,16,55664.0,2039020.0,32368.76,121893.2,1617.699,327916.9,0.0,2578481.0
1976,17,2309.077,35078.08,190209.4,469362.9,19991.64,1698615.0,0.0,2415566.0
1976,18,51884.13,139351.2,17309.75,97719.1,484.8601,24307.46,0.0,331056.5
1976,19,28833.83,3906.355,3071.003,17357.52,2576.859,130134.3,0.0,185879.8
1976,20,477940.2,245544.8,15531.21,46388.77,2605.623,170220.1,0.0,958230.7
1976,21,159990.0,5190.449,18782.91,106110.8,6243.628,1217716.0,0.0,1514033.0
1976,22,76218.19,2472.729,10455.56,59027.49,83.88401,434606.3,0.0,582864.1
1976,23,1023946.0,73366.79,47628.67,110653.9,8546.722,1163342.0,0.0,2427484.0
1976,24,385281.8,42268.03,12932.65,30005.25,3724.271,296346.0,0.0,770558.1
1976,25,11495.46,2223.12,7640.218,43088.59,763.2912,506953.5,0.0,572164.2
1976,26,8886.579,14506.87,4858.028,19395.87,61.94764,152140.3,0.0,199849.6
1976,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,28,4535316.0,6002888.0,835732.7,4370160.0,136654.8,30353870.0,0.0,46234620.0
1977,1,42688.04,141238.1,5686.085,57012.86,1157.283,265498.7,0.0,513281.1
1977,2,663928.5,1631186.0,159913.9,1607044.0,40457.22,9806340.0,0.0,13908870.0
1977,3,23597.88,32499.42,13394.55,53380.35,505.2137,346824.8,0.0,470202.2
1977,4,71976.45,38565.29,54463.05,217261.5,1361.507,200303.9,0.0,583931.8
1977,5,65033.45,36997.44,56867.28,227066.6,2321.661,448232.8,0.0,836519.2
1977,6,100160.0,49987.28,68739.09,273899.1,6020.816,652782.5,0.0,1151589.0
1977,7,315.1613,30701.86,14748.63,37057.22,639.808,717291.9,0.0,800754.6
1977,8,3577.909,9613.42,2572.521,10265.48,1101.735,289923.8,0.0,317054.8
1977,9,1264.345,3326.137,919.7762,3651.129,778.1887,68132.28,0.0,78071.86
1977,10,28820.83,87218.81,23016.13,91302.27,1288.476,448466.7,0.0,680113.2
1977,11,959996.6,279313.4,59874.43,603617.4,40060.0,11284150.0,0.0,13227010.0
1977,12,57351.72,399600.9,9496.243,84384.24,198.5399,172927.8,0.0,723959.4
1977,13,177460.5,7778.819,3331.015,33627.6,404.4056,214459.0,0.0,437061.3
1977,14,2834.726,417821.1,5597.739,21078.96,82.51327,129558.0,0.0,576973.0
1977,15,89025.38,367637.5,11458.43,43095.88,242.9996,39169.65,0.0,550629.8
1977,16,56828.18,2117292.0,34016.93,128248.7,1557.939,340054.9,0.0,2677999.0
1977,17,2309.657,35909.09,192167.1,470752.6,23704.35,1632425.0,0.0,2357268.0
1977,18,53649.82,144875.4,18382.74,103772.2,561.6387,25743.16,0.0,346985.0
1977,19,30341.2,4220.349,3520.554,19896.81,2859.357,144278.3,0.0,205116.6
1977,20,504718.4,263510.7,17863.46,53351.6,2910.591,188510.4,0.0,1030865.0
1977,21,167178.7,5510.126,20543.71,116047.4,7067.436,1321953.0,0.0,1638301.0
1977,22,80190.25,2614.92,11532.0,65095.13,95.35312,476210.3,0.0,635738.0
1977,23,1040860.0,74989.95,48629.3,112965.7,8645.938,1182149.0,0.0,2468239.0
1977,24,392937.3,42872.55,13166.05,30533.14,3787.372,300969.7,0.0,784266.1
1977,25,11773.4,2252.131,7665.925,43233.12,888.895,511954.4,0.0,577767.9
1977,26,9049.607,14428.01,4738.0,18977.38,64.78809,146477.2,0.0,193735.0
1977,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,28,4637868.0,6241961.0,862304.6,4526618.0,148764.0,31354780.0,0.0,47772300.0
1978,1,43126.93,144914.2,5843.059,58540.67,1297.838,271440.1,0.0,525162.8
1978,2,665181.0,1680292.0,165936.3,1665341.0,45145.24,10110010.0,0.0,14331910.0
1978,3,24314.21,34442.58,14453.91,57617.93,563.7559,371061.4,0.0,502453.8
1978,4,73855.13,40502.26,58573.11,233718.7,1512.616,213953.2,0.0,622114.9
1978,5,66914.88,38624.96,60719.38,242505.6,2609.472,479870.5,0.0,891244.8
1978,6,100174.7,50224.43,67625.75,269610.4,6631.063,638715.3,0.0,1132982.0
1978,7,328.607,31785.84,15430.81,39036.27,714.4821,745819.6,0.0,833115.6
1978,8,3577.762,9319.804,2397.365,9625.445,1200.493,257361.6,0.0,283482.5
1978,9,1306.762,3463.035,968.2115,3839.967,858.9419,72024.45,0.0,82461.36
1978,10,29762.36,91704.13,24340.44,96413.48,1421.882,479048.9,0.0,722691.2
1978,11,967419.2,284130.8,61224.64,617197.5,44325.09,11434970.0,0.0,13409270.0
1978,12,59451.48,417982.1,10090.85,89557.92,228.2935,183273.4,0.0,760584.0
1978,13,181391.0,7774.826,3273.337,33034.6,457.1465,212461.3,0.0,438392.3
1978,14,2892.307,432686.6,5860.967,22092.74,89.61948,134190.5,0.0,597812.7
1978,15,92016.95,389151.8,12116.59,45612.2,267.9752,41017.36,0.0,580182.9
1978,16,58139.52,2198934.0,35733.18,134857.7,1695.694,353399.2,0.0,2782759.0
1978,17,2124.886,35661.09,182498.4,434190.9,26981.87,1429084.0,0.0,2110541.0
1978,18,55613.64,152885.6,20168.95,113875.1,611.9427,27937.47,0.0,371092.8
1978,19,32030.18,4590.648,4103.543,23191.43,3300.63,161800.9,0.0,229017.3
1978,20,531348.1,283388.9,20663.35,61725.52,3463.178,208614.6,0.0,1109204.0
1978,21,172564.6,5822.164,22163.53,125222.5,8255.166,1406130.0,0.0,1740158.0
1978,22,84106.7,2835.746,13190.54,74471.73,110.8365,524627.9,0.0,699343.4
1978,23,1073949.0,78689.51,52272.49,121443.6,8995.119,1238413.0,0.0,2573763.0
1978,24,394296.3,42570.5,12899.07,29911.54,3956.703,296820.2,0.0,780454.2
1978,25,12128.24,2336.238,8104.323,45716.01,973.7624,537743.8,0.0,607002.3
1978,26,9346.726,14840.8,4903.868,19638.51,71.83029,151191.2,0.0,199992.9
1978,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,28,4737362.0,6479554.0,885556.0,4667989.0,165740.6,31980980.0,0.0,48917180.0
1979,1,43684.23,152377.7,6178.625,61769.62,1455.666,287855.5,0.0,553321.4
1979,2,671523.3,1701193.0,168663.9,1692127.0,50677.04,10296830.0,0.0,14581010.0
1979,3,25304.15,36966.36,16062.88,64039.36,654.1879,410669.2,0.0,553696.2
1979,4,75857.46,42344.0,62297.68,248610.5,1746.429,227107.4,0.0,657963.4
1979,5,69123.02,40528.83,65412.69,261285.6,3043.588,519314.9,0.0,958708.6
1979,6,102199.3,51962.96,71524.7,285250.1,7616.788,676752.5,0.0,1195306.0
1979,7,372.2868,33800.3,17099.2,44182.89,789.8732,857662.5,0.0,953907.1
1979,8,3747.144,9908.397,2617.493,10476.07,1355.19,284351.1,0.0,312455.4
1979,9,1347.914,3564.137,997.8424,3957.72,978.0048,74303.93,0.0,85149.55
1979,10,30990.39,98166.68,26329.52,104008.0,1615.646,528217.1,0.0,789327.3
1979,11,978069.7,292145.8,63566.58,640713.4,47289.38,11760280.0,0.0,13782070.0
1979,12,61560.59,436259.0,10680.55,94673.84,261.1352,194072.1,0.0,797507.1
1979,13,187962.6,8380.192,3666.185,36991.73,496.8609,232955.0,0.0,470452.6
1979,14,2938.339,442452.2,6033.408,22755.05,74.83181,137606.8,0.0,611860.6
1979,15,94782.94,406598.0,12598.34,47444.02,227.502,42570.31,0.0,604221.1
1979,16,59080.27,2260097.0,36906.94,139385.5,1413.559,362445.0,0.0,2859328.0
1979,17,2379.118,37905.13,201338.2,487556.8,29760.13,1580108.0,0.0,2339047.0
1979,18,56450.54,153265.6,19699.36,111226.2,658.3904,27376.29,0.0,368676.4
1979,19,33391.39,4897.805,4583.055,25900.41,3771.315,175644.2,0.0,248188.2
1979,20,548481.6,294298.6,22213.57,66358.35,3956.414,220094.2,0.0,1155403.0
1979,21,180987.8,6256.139,24793.91,140084.3,9602.172,1548605.0,0.0,1910329.0
1979,22,88977.85,3093.668,15069.28,85076.09,129.0228,587193.3,0.0,779539.3
1979,23,1106308.0,82109.02,55761.66,129546.1,9638.906,1293287.0,0.0,2676651.0
1979,24,404663.0,43739.89,13424.16,31119.77,4266.315,305336.6,0.0,802549.8
1979,25,12588.66,2443.187,8698.351,49068.97,1054.133,575011.6,0.0,648864.9
1979,26,9771.895,15679.07,5290.325,21135.87,81.91302,165537.3,0.0,217496.3
1979,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,28,4852544.0,6660432.0,941508.4,4904743.0,182614.4,33371190.0,0.0,50913030.0
1980,1,44103.1,155779.8,6304.066,62993.51,1448.417,295746.6,0.0,566375.5
1980,2,680133.2,1696719.0,168272.4,1689179.0,50461.03,10314010.0,0.0,14598770.0
1980,3,26411.52,39390.25,17582.24,70088.17,716.2324,445501.9,0.0,599690.3
1980,4,77902.19,43908.96,64543.3,257547.5,1899.425,234619.9,0.0,680421.3
1980,5,73004.24,43844.81,75709.4,302374.9,3342.534,596141.5,0.0,1094417.0
1980,6,105515.3,52333.28,70843.12,282379.1,8444.018,672178.3,0.0,1191693.0
1980,7,376.3101,34481.03,17324.31,44580.37,798.4427,862767.3,0.0,960327.7
1980,8,3924.39,10551.59,2860.8,11413.35,1530.463,317274.0,0.0,347554.6
1980,9,1406.289,3758.051,1072.22,4243.597,1103.482,80857.9,0.0,92441.54
1980,10,32341.83,105504.4,28753.93,113227.3,1811.707,587400.8,0.0,869040.0
1980,11,976732.1,295697.3,64487.05,650219.6,48118.01,11910000.0,0.0,13945250.0
1980,12,60793.98,427551.6,10283.18,91252.63,260.784,188495.6,0.0,778637.8
1980,13,187902.6,7618.026,3023.56,30509.81,517.8963,204963.3,0.0,434535.2
1980,14,3006.132,458345.5,6308.925,23813.24,93.59245,142846.3,0.0,634413.7
1980,15,98077.45,423708.6,13300.06,50125.09,288.4791,44572.27,0.0,630071.9
1980,16,61013.89,2350522.0,38857.96,146841.0,1781.986,380959.4,0.0,2979976.0
1980,17,2515.562,39695.49,211234.5,513104.8,30309.63,1626596.0,0.0,2423456.0
1980,18,57937.65,157315.2,20356.89,114943.1,743.2995,28192.29,0.0,379488.5
1980,19,33742.48,4972.039,4584.996,25912.23,4474.693,177542.8,0.0,251229.2
1980,20,553920.7,295290.6,22125.62,66103.43,4400.878,221021.9,0.0,1162863.0
1980,21,187618.5,6612.619,26692.43,150818.1,11427.18,1644602.0,0.0,2027770.0
1980,22,95231.02,3422.652,18049.44,101905.4,153.6108,677935.3,0.0,896697.4
1980,23,1129366.0,84750.57,58405.08,135715.0,9579.021,1339737.0,0.0,2757553.0
1980,24,406114.7,44014.14,13520.04,31367.99,4214.602,307873.1,0.0,807104.6
1980,25,12975.55,2516.541,9025.782,50916.66,1200.237,596482.3,0.0,673117.0
1980,26,10083.28,16239.07,5489.645,21927.62,92.23322,172193.1,0.0,226024.9
1980,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,28,4922150.0,6804543.0,979010.9,5043502.0,189211.9,34070500.0,0.0,52008920.0
1981,1,44352.59,156818.6,6329.597,63268.25,1398.198,296062.8,0.0,568230.0
1981,2,680826.2,1742432.0,173981.3,1744468.0,48215.31,10593200.0,0.0,14983120.0
1981,3,26995.2,41591.41,18824.1,75066.87,713.6106,470184.4,0.0,633375.6
1981,4,78309.94,44482.12,63427.25,253175.9,1893.624,230052.5,0.0,671341.3
1981,5,73356.89,43665.79,71744.77,286613.4,3374.435,571135.3,0.0,1049891.0
1981,6,104847.5,52149.16,68329.45,272527.8,8343.049,639629.3,0.0,1145826.0
1981,7,365.5807,34987.36,17301.36,44202.13,812.702,820606.9,0.0,918276.0
1981,8,3950.458,10536.39,2818.187,11276.98,1658.992,305837.7,0.0,336078.7
1981,9,1410.043,3681.791,1016.833,4045.921,1200.778,73978.0,0.0,85333.37
1981,10,32835.31,107660.5,28789.56,113554.2,1968.956,579212.1,0.0,864020.6
1981,11,974939.9,292260.1,62775.39,633015.9,49752.29,11560140.0,0.0,13572890.0
1981,12,62062.14,440412.7,10675.98,94681.27,255.111,194577.8,0.0,802664.9
1981,13,196242.3,8559.285,3618.71,36515.93,548.3328,236422.4,0.0,481906.9
1981,14,3064.229,476877.0,6643.33,25106.07,98.8548,148072.7,0.0,659862.2
1981,15,101026.5,448192.7,14078.17,53112.8,309.1936,46457.0,0.0,663176.4
1981,16,62142.13,2460279.0,41187.05,155886.6,1874.555,394681.6,0.0,3116051.0
1981,17,2370.363,40416.71,210558.3,505817.6,28383.24,1597944.0,0.0,2385490.0
1981,18,59803.87,165623.1,22204.45,125405.9,829.6834,30299.13,0.0,404166.1
1981,19,34578.14,5177.629,4846.981,27395.58,5004.041,186358.4,0.0,263360.8
1981,20,559737.0,298761.6,22503.8,67254.73,5086.091,223794.8,0.0,1177138.0
1981,21,191238.4,6904.795,27903.35,157715.7,12677.58,1688958.0,0.0,2085397.0
1981,22,97133.47,3599.389,19312.22,109080.1,168.8419,700317.3,0.0,929611.3
1981,23,1145367.0,86721.87,60298.95,140152.1,10003.18,1366813.0,0.0,2809356.0
1981,24,423668.6,46661.59,14921.6,34622.92,4423.34,328316.0,0.0,852614.1
1981,25,13159.56,2550.062,9059.57,51124.62,1346.387,593897.6,0.0,671137.8
1981,26,10155.45,16001.58,5260.946,21111.35,100.6183,159583.5,0.0,212213.4
