years,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
1994,7630658.807865136,39204.12356171407,3398.409857934904,531299815.85198987,6187.242129546205,1302539306.2500002,42641667.50280091,58234.509562208594,41875.52004796052,253048.38666329396,2975.03633272044
1995,7826301.319273227,39402.47959231567,3497.904850394502,545189423.7251313,6617.211882851464,1315099043.75,43578870.43389781,54811.84309869146,42972.29790810343,256712.24466115457,3193.520788345537
1996,7982700.285893936,39932.68323591319,3569.893591855896,555829939.3695799,7139.271574720196,1328008112.5,45477427.08878917,55495.63552295233,44327.3814633761,262324.4753015125,3455.486238429842
1997,8233449.406277205,40907.719917394454,3648.614367341685,571917928.7995243,7500.806746691105,1336068810.4166667,47177764.675752774,56318.236268681285,45866.98490078351,267762.5419380554,3654.309063255105
1998,8493567.106390249,41651.413627025875,3740.753770214606,589772564.570101,7639.509651112225,1344376974.5833333,46576447.00567097,56177.95916261258,45659.23144778083,269491.2318596914,3708.240195375698
1999,8732645.917308722,42656.303041024774,3812.06787454234,608258607.5231277,8089.325314766455,1352553196.2500002,48093708.1010677,58126.56924526962,46997.89089969001,273602.28380559257,3934.2430843798543
2000,8936684.128132613,44121.99215463988,3862.1689461274063,629754322.6247056,8708.970405798313,1360718851.666667,51257730.422463655,61266.37388380224,49679.94337503211,280191.4097799988,4292.968940100302
2001,9205947.741258213,44998.81496431137,3939.422693355409,653745530.3714004,8729.663223527166,1368783711.25,50917451.836462766,61251.84210311925,49143.26157266354,281860.743279686,4344.0895358016305
2002,9510063.043099727,46440.59692251037,3971.3141248953907,667926780.4871136,8710.13375815404,1374287103.3333335,51970057.457283124,62171.64569494725,49073.95109658733,284694.2861531237,4363.745904359507
2003,9706152.822165951,47009.92355016085,3993.2752832900533,686123523.1487889,8818.870138749437,1386827619.5833333,54124483.16968553,64516.594750687815,50051.081336637435,289690.78065625025,4448.931278224606
2004,10050239.922863036,49123.85240397287,3998.452384880147,711790604.3535054,10176.653027418533,1389508443.3333333,58225193.413606234,68234.60265750861,52474.05008748755,295791.9667149395,5106.8822803487665
2005,10383985.26481495,50951.93771007911,4013.1777446737747,738166671.3652178,10925.33738422143,1394996520.0000002,62129335.73900867,72597.47701507517,54257.597837949135,300463.49237571075,5454.283827146146
2006,10760123.503408473,50013.59307023275,4047.942927977547,756783402.8073193,10957.128343002947,1256519283.3333335,66015980.20736919,76068.84712240049,51737.9716431812,304766.567880981,5484.276533467138
2007,11460457.767050399,51213.12760173154,4104.933625823985,787154099.1918032,11165.884947446319,1196055085.416667,69519264.3190263,79856.23044421966,50496.53105011338,308482.81683699717,5576.192271934858
2008,11822646.315785136,52431.850537405364,4153.836067290954,805894043.5593686,11299.394776035364,1173110347.0833335,70973023.67046258,81694.74610122805,47915.0171387052,306650.58904377994,5579.039506113279
2009,11879114.573595112,53004.781716303405,4147.2452031898965,812901729.1070029,11237.96313410134,1153372497.9166665,70382245.19926925,79759.2924263632,43867.752758499846,301758.21329152095,5494.505784068708
