,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
MFT,2049,0.0,0.0,89885049.93985471,0.0,1168345751.2091103,0.0
MFT,2050,0.0,0.0,90818637.59618157,0.0,1201206627.7159333,0.0
MFT,2051,0.0,0.0,91466089.9440009,0.0,1228206783.6193793,0.0
MFT,2052,0.0,0.0,92072088.77002496,0.0,1253266522.8099797,0.0
MFT,2053,0.0,0.0,92645688.11138755,0.0,1276865514.6649873,0.0
MFT,2054,0.0,0.0,93210655.64723952,0.0,1299425872.625358,0.0
MFT,2055,0.0,0.0,93756175.25118205,0.0,1321544663.8668036,0.0
MFT,2056,0.0,0.0,94148428.75942674,0.0,1342539922.0983994,0.0
MFT,2057,0.0,0.0,94470244.88026257,0.0,1363940699.218808,0.0
MFT,2058,0.0,0.0,94704532.8909134,0.0,1385874653.5196142,0.0
MFT,2059,0.0,0.0,94828051.77578112,0.0,1408440237.9428802,0.0
MFT,2060,0.0,0.0,94827918.31936157,0.0,1431775646.0708375,0.0
HFT,1971,0.0,0.0,17.60521587259143,0.0,2.12925889488255,0.0
HFT,1972,0.0,0.0,87.50879806057618,0.0,6.197519315623808,0.0
HFT,1973,0.0,0.0,178.17149750379676,0.0,12.483737964857752,0.0
HFT,1974,0.0,0.0,261.95159494297104,0.0,18.266616153842577,0.0
HFT,1975,0.0,0.0,338.7660928042413,0.0,24.17924250238523,0.0
HFT,1976,0.0,0.0,434.0550826674744,0.0,31.06224286709537,0.0
HFT,1977,0.0,0.0,502.50977763474566,0.0,34.83799850813653,0.0
HFT,1978,0.0,0.0,571.9786977977543,0.0,37.37232467786898,0.0
HFT,1979,0.0,0.0,665.9316481663171,0.0,42.69645122187307,0.0
HFT,1980,0.0,0.0,696.7386127768024,0.0,40.14895472964563,0.0
HFT,1981,0.0,0.0,714.2044041260198,0.0,42.5186939473823,0.0
HFT,1982,0.0,0.0,734.8813564160748,0.0,43.80069552154443,0.0
HFT,1983,0.0,0.0,746.7113276358789,0.0,43.548644646183575,0.0
HFT,1984,0.0,0.0,812.4579503407737,0.0,45.622759999296626,0.0
HFT,1985,0.0,0.0,945.0168290797915,0.0,53.60003302294171,0.0
HFT,1986,0.0,0.0,1182.633324764703,0.0,74.09433771848468,0.0
HFT,1987,0.0,0.0,1455.878058904645,0.0,96.83996055218896,0.0
HFT,1988,0.0,0.0,1738.4078270805965,0.0,120.4318011048828,0.0
HFT,1989,0.0,0.0,2004.60287996887,0.0,149.41759321456405,0.0
HFT,1990,0.0,0.0,2248.866921642759,0.0,182.34295795106937,0.0
HFT,1991,0.0,0.0,2444.525878879054,0.0,203.28703792153087,0.0
HFT,1992,0.0,0.0,2588.366403775925,0.0,222.56136475042658,0.0
HFT,1993,0.0,0.0,2689.399388093991,0.0,241.11840747999958,0.0
HFT,1994,0.0,0.0,2839.472790471383,0.0,254.26149088265734,0.0
HFT,1995,0.0,0.0,3015.8848410211567,0.0,277.7648741834449,0.0
HFT,1996,0.0,0.0,3058.707772821065,0.0,284.9311820597414,0.0
HFT,1997,0.0,0.0,3173.3365580329146,0.0,305.1291883908916,0.0
HFT,1998,0.0,0.0,3264.042326548732,0.0,332.7666590372663,0.0
HFT,1999,0.0,0.0,3111.1220542160518,0.0,307.9366304485572,0.0
HFT,2000,0.0,0.0,3014.9350055362734,0.0,289.4531841308612,0.0
HFT,2001,0.0,0.0,2770.098569450302,0.0,259.12475181003197,0.0
HFT,2002,0.0,0.0,2641.199332604897,0.0,248.3793268185034,0.0
HFT,2003,0.0,0.0,2609.5357966622078,0.0,254.34605899274618,0.0
HFT,2004,0.0,0.0,2691.5551043931923,0.0,270.35323117322724,0.0
HFT,2005,0.0,0.0,2764.34230437977,0.0,285.5633536724908,0.0
HFT,2006,0.0,0.0,2897.745912718717,0.0,304.51206419203294,0.0
HFT,2007,0.0,0.0,3037.324835201331,0.0,323.32438900133127,0.0
HFT,2008,0.0,0.0,3206.2387313425206,0.0,350.8381955740907,0.0
HFT,2009,0.0,0.0,3295.9896124917796,0.0,368.55258053260934,0.0
HFT,2010,0.0,0.0,4103.924996785483,0.0,485.10574203624265,0.0
HFT,2011,0.0,0.0,6444.012325382918,0.0,953.6211028650134,0.0
HFT,2012,0.0,0.0,14968.369387002958,0.0,3756.1973339563533,0.0
HFT,2013,0.0,0.0,57279.71378862375,0.0,32274.204550052527,0.0
HFT,2014,0.0,0.0,315305.8263337482,0.0,495446.72093343904,0.0
HFT,2015,0.0,0.0,2732031.163978492,0.0,15491954.688783862,0.0
HFT,2016,0.0,0.0,3271537.8126636324,0.0,18616771.56108048,0.0
HFT,2017,0.0,0.0,3913221.699188285,0.0,22212141.206011675,0.0
HFT,2018,0.0,0.0,4605700.93216832,0.0,26079720.60141751,0.0
HFT,2019,0.0,0.0,5302443.326573471,0.0,30049503.891946595,0.0
HFT,2020,0.0,0.0,5514756.324830607,0.0,31235323.5053239,0.0
HFT,2021,0.0,0.0,13164530.126479948,0.0,48151959.82556363,0.0
HFT,2022,0.0,0.0,17970849.33041181,0.0,83546366.20824528,0.0
HFT,2023,0.0,0.0,23360047.671296895,0.0,125870987.16236088,0.0
HFT,2024,0.0,0.0,28659922.192148272,0.0,176622303.33787632,0.0
HFT,2025,0.0,0.0,33233026.609910462,0.0,242496508.75550556,0.0
HFT,2026,0.0,0.0,36702603.88591582,0.0,320121627.80674845,0.0
