time,DIM_1,ICE,HEV,PHEV,BEV,FCV
2020,24,0.73881505768,0.2055715776,0.055609863905199994,1.257291e-06,2.109565e-06
2020,25,0.97034721577187,0.0285008864579,0.00115186836314096,1.299276e-08,3.257022e-08
2020,26,0.931177207723,0.063065397,0.00575514121812,6.148103e-07,1.624524e-06
2021,1,0.6386576995440001,0.25316509200000004,0.0867122317,0.0214498,1.515459e-05
2021,2,0.786298323924,0.17290539800000002,0.0355877073,0.005203476,5.025006e-06
2021,3,0.911156982499,0.082496389201,0.006345878641899999,3.807676e-07,4.219916e-07
2021,4,0.8367569372600001,0.1346507304,0.028551671360000003,3.122094e-05,9.499293e-06
2021,5,0.7953520060900001,0.140216109,0.06427486914,0.0001424926,1.45459e-05
2021,6,0.9357946169,0.045805416,0.0071260718,0.01119732,7.656986e-05
2021,7,0.99932007106997,0.000674109627,5.8074492714999995e-06,1.057988e-10,1.233225e-11
2021,8,0.9494463445430938,0.04765525905687154,0.00289837782577778,1.301711e-08,4.847272e-08
2021,9,0.900576999957,0.09111448931,0.008305244765,1.411917e-06,1.860835e-06
2021,10,0.766034636676,0.177992255,0.04294177947,0.01293944,9.191801e-05
2021,11,0.655055516957,0.241633455,0.0927132817,0.01057762,2.015384e-05
2021,12,0.6985264520200001,0.2074033837,0.0672739517,0.02672192,7.429368e-05
2021,13,0.62471715742,0.2672884439,0.1074147708,0.0004844393,9.523728e-05
2021,14,0.8704612795910001,0.1118845024,0.0176433169,6.741461e-06,4.162736e-06
2021,15,0.958838466076,0.03513908664299999,0.0020037486616,0.004018243,4.019319e-07
2021,16,0.856128010449,0.122536888273,0.021332699589,2.153936e-06,2.818417e-07
2021,17,0.9974897805663,0.0024967093148,1.351910201322e-05,7.896202e-13,1.206701e-10
2021,18,0.960586891555,0.0365639712,0.002848159144,4.664302e-07,5.105494e-07
2021,19,0.61593969729,0.26888778399999996,0.1143662804,0.000737777,6.855079e-05
2021,20,0.6444805658599999,0.1059292634,0.023715842600000002,0.2258028,7.154689e-05
2021,21,0.951641973559,0.038715802,0.009638391045,1.90519e-06,1.89109e-06
2021,22,0.9779668949670001,0.0123571203,0.0096757405369,8.555256e-08,2.3567e-07
2021,23,0.582236818004,0.3097296827485,0.10797041613059999,5.972728e-05,3.404447e-06
2021,24,0.7126202774620001,0.2247848181,0.06253115606,6.002091e-05,3.704274e-06
2021,25,0.9686871262796359,0.0298955501632,0.0014170234084974747,2.62482e-07,6.079965e-08
2021,26,0.923642722064,0.070229962,0.0061248803786,7.695149e-07,1.683584e-06
2022,1,0.606779603717,0.26135108500000004,0.0909378945,0.04090169,2.961777e-05
2022,2,0.7719502522770001,0.18098014299999998,0.0370938251,0.009968598,7.220849e-06
2022,3,0.903413933154,0.089979930386,0.0066052333605,4.535112e-07,4.339054e-07
2022,4,0.8139859790299999,0.152316635,0.033572837599999995,0.0001014314,2.308715e-05
2022,5,0.7719935062000001,0.15481634700000002,0.0727889999,0.0003791184,2.208979e-05
