,time,BEV,FCV,HEV,ICE,PHEV,Trolley
Light Commercial Vehicles,1921,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1922,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1923,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1924,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1925,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1926,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1927,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1928,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1929,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1930,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1931,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1932,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1933,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1934,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1935,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1936,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1937,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1938,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1939,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1940,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1941,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1942,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1943,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1944,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1945,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1946,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1947,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1948,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1949,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1950,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1951,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1952,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1953,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1954,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1955,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1956,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1957,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1958,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1959,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1960,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1961,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1962,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1963,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1964,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1965,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1966,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1967,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1968,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1969,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1970,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1971,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1972,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1973,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1974,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1975,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1976,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1977,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1978,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1979,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1980,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1981,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1982,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1983,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1984,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1985,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1986,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1987,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1988,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1989,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1990,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1991,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1992,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1993,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1994,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1995,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1996,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1997,0.0,0.0,0.0,0.0,0.0,0.0
