years,regions,Buses,Trains,Hight Speed Trains,Cars,Planes,Bikes,Trucks,Freight Trains,Ships,Inland Ships,Freight Planes,High Speed Trains,Inland ships
1973,20,188796100000.0,67269880000.00001,,117081700.0,4229789000.0000005,646506400000.0,50876899999.99999,219670600000.0,146511800000.0,,944780500.0,0.0,428554300000.0
1973,21,265114499999.99997,20510290000.0,,30352240000.0,5899888000.0,114947100000.0,88595740000.0,4172493000.0000005,881864400000.0,,1747261500.0,0.0,135801400000.0
1973,22,187956800000.0,14541070000.0,,15903589999.999998,3091349000.0,81493390000.0,46991167000.0,1933237000.0,305431800000.0,,23497805.0,0.0,62532590000.0
1973,23,356624800000.0,264121400000.0,,338434700000.0,76873520000.0,37774250000.0,169438820000.0,73701600000.0,1192630000000.0,,3390346500.0,100612300000.0,1007770000000.0
1973,24,58976760000.0,43679040000.0,,55968590000.0,12712940000.0,6246910000.0,37654640000.0,38497980000.0,266225400000.00003,,1471004000.0,16638750000.0,352372600000.0
1973,25,115839800000.0,20173640000.0,,9133457000.0,1188529000.0,116827000000.0,41528429999.99999,1950027000.0,414677000000.0,,270795300.0,0.0,10249110000.0
1973,26,33401120000.0,2349828000.0,,14485400000.0,963931800.0,34569030000.0,25299883000.0,14385880000.0,165654000000.0,,22071240.0,0.0,8275565000.000001
1974,1,19094130000.0,3996445000.0000005,,377562600000.0,29311610000.0,5428329000.0,58900861000.00001,132058000000.0,249215400000.0,,488801650.0,0.0,40486010000.0
1974,2,181614100000.0,38012250000.0,,3591193000000.0,278797900000.0,51631640000.0,1625934900000.0002,1526936000000.0,8812444000000.0,,16946035000.0,0.0,634686300000.0
1974,3,84949340000.00002,4677827000.0,,89371850000.0,5809090000.0,36203920000.0,57691989999.99999,28318650000.0,296432300000.0,,178713300.0,0.0,21114230000.0
1974,4,67858260000.0,3736689000.0,,26463500000.0,1720104000.0,28920000000.0,238222650000.00003,34684860000.0,174991500000.0,,496125100.0,0.0,66117789999.99999
1974,5,151055100000.0,8318011000.0,,143838000000.0,9349338000.0,64377019999.99999,244777670000.0,33280260000.000004,379328400000.0,,823352500.0,0.0,59059210000.0
1974,6,152903900000.0,8419820000.0,,160864200000.0,10456030000.0,65164980000.0,318114220000.0,47031140000.0,589095000000.0,,2172746000.0,0.0,92603540000.0
1974,7,85626650000.0,4896949000.0,,48782510000.0,6708193000.0,52240080000.0,43558800000.0,27448660000.0,563643900000.0,,172930750.0,0.0,255901400.0
1974,8,111642000000.0,7854211999.999999,,68996510000.0,4903701000.0,105175400000.0,13366966000.0,9631327000.0,327651600000.0,,452391700.0,0.0,3397921000.0
1974,9,67545600000.0,4751951000.0,,27648320000.0,1965014000.0000002,63633140000.00001,4117806700.0,3039180000.0,60317780000.0,,303799000.0,0.0,1137587000.0
1974,10,18367810000.0,1292208000.0,,12467750000.0,886104400.0,17303890000.0,107761860000.00002,79702920000.0,418131800000.0,,504903000.0,0.0,26478660000.0
1974,11,577800500000.0,217419800000.0,,1968073000000.0,127971499999.99998,169002000000.0,651141610000.0,271269599999.99997,11035450000000.0,,16353815000.0,82362240000.0,934305900000.0
1974,12,367200400000.0,163355300000.0,,130019699999.99998,9789268000.0,57300960000.0,78039543000.0,346982900000.0,143383300000.0,,81676250.0,0.0,50683020000.0
1974,13,61638870000.0,23194010000.0,,79261850000.0,5153902000.0,18028870000.0,28902530000.0,6574900000.0,174046500000.0,,156428850.0,8786277000.0,160714900000.0
1974,14,171023300000.0,83472420000.0,,18542530000.0,26504120000.0,31124850000.0,23364831000.000004,378595200000.0,115155000000.0,,35689700.0,0.0,2626716000.0
1974,15,101369900000.0,49476250000.0,,10990640000.0,15709669999.999998,18448500000.0,46465418000.0,315810700000.0,33566110000.0,,100093850.0,0.0,79184430000.0
1974,16,406564100000.0,198434300000.0,,62908720000.0,89919770000.0,73991360000.0,141899460000.00003,1915623000000.0,308999100000.0,,689649500.0,0.0,53618230000.0
1974,17,81054620000.0,4635477000.0,,56407180000.0,7756679000.0,49450730000.0,657373500000.0,33085570000.0,4393921000000.0,,6452440000.0,0.0,2291225000.0
1974,18,393051400000.00006,68450380000.00001,,47511100000.0,5906062000.0,417753300000.0,96099890000.0,125577600000.0,20513510000.0,,167586900.0,0.0,47651020000.0
1974,19,79715530000.0,6167104000.0,,14547760000.0,3196591000.0,32289890000.0,15768828000.0,3367754000.0,106995400000.0,,921541500.0,0.0,25984050000.0
1974,20,198026400000.0,70558730000.0,,138125700.0,4915259000.0,659615300000.0,50975290000.0,221580200000.0,146731500000.0,,1076516500.0,0.0,437029500000.0
1974,21,288337600000.0,22306920000.0,,33350170000.0,7328062000.0,116795200000.0,104983800000.0,4604278000.0,1033773000000.0,,2150385000.0,0.0,145774700000.0
1974,22,204649100000.0,15832450000.000002,,17493890000.0,3843947000.0,82895970000.0,62391096000.0,2258072000.0,386642200000.0,,28670150.0,0.0,70160900000.0
1974,23,355153400000.0,263031799999.99997,,345604700000.0,86431470000.0,38689370000.0,155910160000.0,71249860000.0,1141470000000.0,,3789510500.0,102743900000.0,995040000000.0
