years,Buses,Trains,Hight Speed Trains,Cars,Planes,Bikes,Trucks,Freight Trains,Ships,Inland Ships,Freight Planes,High Speed Trains
2051,0.0,120154.4775957744,0,0.0,49678.60867067101,1383247015.4166665,235879800.2989777,183506.79376976658,22450.122931406262,462891.7695690806,22158.390269217143,10939.064923980237
2052,0.0,120570.40551810787,0,0.0,51245.21111384456,1372804061.6666665,238388528.63218093,185373.86986618093,22036.248410188167,465171.90109769686,22475.84391028911,11342.70667562825
2053,0.0,120901.88443889248,0,0.0,52811.932750690416,1362715183.75,240927888.654,187234.2118723405,21639.76095825666,467457.03454370954,22784.906457610166,11765.4733137378
2054,0.0,121166.88467356731,0,0.0,54401.39450049498,1353351870.0,243494656.00536108,189086.06847776452,21259.18524750355,469741.7315859308,23091.876918760892,12215.081745751988
2055,0.0,121364.22454409901,0,0.0,56022.94251234875,1344570720.0,246092888.60412914,190968.51805450025,20894.34885657304,472027.1941427395,23400.112854106792,12696.836114648835
2056,0.0,121357.50490109359,0,0.0,57616.535126894676,1334670392.9166667,248458079.17131943,192760.25725690473,20529.378902931665,474027.49065304315,23685.98918492911,13203.102196413636
2057,0.0,121246.75246137794,0,0.0,59209.36065859423,1325007018.3333333,250854794.78194687,194297.9861262927,20181.322548032847,476039.315472165,23964.289345542376,13740.293304293427
2058,0.0,121057.3326858715,0,0.0,60824.45837974361,1315925955.4166667,253283873.22541767,195864.69290843525,19849.763592586434,478065.2451121876,24240.621473485866,14317.86882293273
2059,0.0,120786.23216922583,0,0.0,62461.17570054191,1307333972.9166667,255748397.5015295,197454.99251052295,19534.995200243462,480098.831674318,24514.44868713283,14939.407822743366
2060,0.0,120422.87881030692,0,0.0,64102.10130751687,1299083665.8333333,258250145.61618203,199062.02604412936,19236.13675613493,482138.0272875622,24780.476650585406,15604.531526665729
