,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,2006,0.0,0.0,14088.283259583039,0.0,2548.0390066264454,0.0
LCV,2007,0.0,0.0,14986.288975588059,0.0,2724.848351495067,0.0
LCV,2008,0.0,0.0,15864.013336690328,0.0,2950.135390179672,0.0
LCV,2009,0.0,0.0,16516.212200332335,0.0,3159.306494670673,0.0
LCV,2010,0.0,0.0,20593.614183477104,0.0,4177.399492318319,0.0
LCV,2011,0.0,0.0,32767.65301025966,0.0,8240.325301309123,0.0
LCV,2012,0.0,0.0,75640.63961066196,0.0,32692.447056323,0.0
LCV,2013,0.0,0.0,252364.343354726,0.0,246280.10111826856,0.0
LCV,2014,0.0,0.0,1140217.5673943034,0.0,3069070.7432039133,0.0
LCV,2015,0.0,0.0,5864131.037246876,0.0,48794340.110508226,0.0
LCV,2016,0.0,0.0,7097689.52090204,0.0,59587992.18752945,0.0
LCV,2017,0.0,0.0,8664839.022840273,0.0,72817103.0661145,0.0
LCV,2018,0.0,0.0,10442195.751981618,0.0,87900307.69712825,0.0
LCV,2019,0.0,0.0,12269213.700096216,0.0,103924005.02977568,0.0
LCV,2020,0.0,0.0,12638484.903307598,0.0,107559946.12299208,0.0
LCV,2021,0.0,0.0,20605065.791774828,0.0,174487367.44466352,0.0
LCV,2022,0.0,0.0,30302008.360024374,0.0,245381121.1716839,0.0
LCV,2023,0.0,0.0,40129157.501314156,0.0,320121445.2278592,0.0
LCV,2024,0.0,0.0,49537020.34941979,0.0,395311496.6265023,0.0
LCV,2025,0.0,0.0,58242610.01503657,0.0,475546827.23825085,0.0
LCV,2026,0.0,0.0,66832495.27713724,0.0,564247039.4157671,0.0
LCV,2027,0.0,0.0,75202173.36160798,0.0,650823146.0565505,0.0
LCV,2028,0.0,0.0,83511230.98732996,0.0,736854541.219293,0.0
LCV,2029,0.0,0.0,91805591.3888769,0.0,824386121.2326282,0.0
LCV,2030,0.0,0.0,100267290.87745465,0.0,912691559.6070111,0.0
LCV,2031,0.0,0.0,108962733.41327505,0.0,1004052543.1868477,0.0
LCV,2032,0.0,0.0,117465026.1373894,0.0,1095731546.0654778,0.0
LCV,2033,0.0,0.0,125755591.72052051,0.0,1189204501.623842,0.0
LCV,2034,0.0,0.0,133850088.64669359,0.0,1281592866.027145,0.0
LCV,2035,0.0,0.0,141440524.84159544,0.0,1379157733.7936296,0.0
LCV,2036,0.0,0.0,148200695.14725137,0.0,1473572149.1709266,0.0
LCV,2037,0.0,0.0,154861800.93579897,0.0,1578563297.1432886,0.0
LCV,2038,0.0,0.0,161721603.84681934,0.0,1691332293.6987488,0.0
