years,Buses,Trains,Hight Speed Trains,Cars,Planes,Bikes,Trucks,Freight Trains,Ships,Inland Ships,Freight Planes,High Speed Trains,Inland ships
2050,29301879000000.0,6629492663000.0,0,55356436300000.0,17325414759000.0,3345952268000.0,40005788810000.0,22812367940000.0,109332656100000.0,0,1401145350215.0,1347524364953.0,10891580697000.0
2051,29435698500000.0,6656053410000.0,0,56225458000000.0,17881914243000.0,3319792837000.0,40433337100000.0,23071023840000.0,110624534100000.0,0,1421701504230.0,1396251160224.0,10945322348000.0
2052,29561998110000.0,6679094070000.0,0,57096839000000.0,18445815916000.0,3294729748000.0,40865437110000.01,23305758240000.0,111933448000000.0,0,1442069604690.0,1447771584316.0,10999237272000.0
2053,29675297930000.0,6697456610000.0,0,57951104900000.0,19009760493000.0,3270516441000.0,41302854680000.0,23539646010000.0,113261578600000.0,0,1461899325310.0,1501733089533.0,11053270469000.0
2054,29782045760000.0,6712136510000.0,0,58814725200000.0,19581890419000.0,3248044488000.0,41745035390000.0,23772466970000.0,114603806100000.0,0,1481594815870.0,1559120654120.0,11107293347000.0
2055,29884285500000.0,6723068310000.0,0,59701690300000.0,20165569859000.0,3226969728000.0,42192672870000.0,24009134170000.0,115961552000000.0,0,1501371500350.0,1620611293511.0,11161334326000.0
2056,29947218080000.0,6722696070000.0,0,60547833200000.0,20739186698000.0,3203208943000.0,42600472480000.0,24234396990000.0,117246689900000.0,0,1519713573245.0,1685230583090.0,11208632402000.0
2057,29996899420000.0,6716560850000.0,0,61388630700000.0,21312527424000.0,3180016844000.0,43013730760000.0,24427724870000.0,118554343800000.0,0,1537569552500.0,1753797111660.0,11256203071000.0
2058,30038767230000.0,6706067790000.0,0,62246868900000.0,21893885069000.0,3158222293000.0,43432598560000.0,24624695940000.0,119885479800000.0,0,1555299261075.0,1827518265490.0,11304107256000.0
2059,30071771070000.0,6691049960000.0,0,63121379600000.0,22483024732000.0,3137601535000.0,43857602700000.0,24824633170000.0,121245440100000.0,0,1572868252180.0,1906850873500.0,11352192493000.0
2060,30091882280000.0,6670921710000.0,0,63995749000000.0,23073679176000.0,3117800798000.0,44289043580000.0,25026674240000.0,122632525100000.0,0,1589936836640.0,1991746588970.0,11400410359000.0
