,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
MFT,1972,0.0,0.0,189.23053811248252,0.0,27.558833036507224,0.0
MFT,1973,0.0,0.0,385.39273753549,0.0,51.57275486340314,0.0
MFT,1974,0.0,0.0,559.7098368291014,0.0,73.53921592727633,0.0
MFT,1975,0.0,0.0,716.7714464764086,0.0,95.4796527844925,0.0
MFT,1976,0.0,0.0,910.3612012013261,0.0,117.86045812418966,0.0
MFT,1977,0.0,0.0,1058.7562911178588,0.0,131.64540746385967,0.0
MFT,1978,0.0,0.0,1217.409267954925,0.0,143.39324802157049,0.0
MFT,1979,0.0,0.0,1413.4455666035346,0.0,162.41422187656738,0.0
MFT,1980,0.0,0.0,1499.9381299959957,0.0,154.38340303537802,0.0
MFT,1981,0.0,0.0,1525.0850859503794,0.0,160.37483484768825,0.0
MFT,1982,0.0,0.0,1555.6404474065462,0.0,161.9510600806342,0.0
MFT,1983,0.0,0.0,1576.6358312407947,0.0,159.66485560063526,0.0
MFT,1984,0.0,0.0,1716.3273308465125,0.0,166.84589624785806,0.0
MFT,1985,0.0,0.0,1994.5670446938186,0.0,198.8556044565598,0.0
MFT,1986,0.0,0.0,2445.334999079887,0.0,270.8510290517217,0.0
MFT,1987,0.0,0.0,2997.7030188314684,0.0,369.7090404458741,0.0
MFT,1988,0.0,0.0,3594.4354715276195,0.0,480.09140547949767,0.0
MFT,1989,0.0,0.0,4179.695148889273,0.0,585.7454720555917,0.0
MFT,1990,0.0,0.0,4688.416532433028,0.0,693.712364194441,0.0
MFT,1991,0.0,0.0,5081.3258382052745,0.0,786.3191428092867,0.0
MFT,1992,0.0,0.0,5320.588193847633,0.0,852.516601578705,0.0
MFT,1993,0.0,0.0,5444.492277000128,0.0,897.2856660930498,0.0
MFT,1994,0.0,0.0,5711.022598036478,0.0,949.7344414872395,0.0
MFT,1995,0.0,0.0,6000.795416910326,0.0,1024.527210764263,0.0
MFT,1996,0.0,0.0,6078.472739408344,0.0,1048.6982167535766,0.0
MFT,1997,0.0,0.0,6241.658950200499,0.0,1097.7877329238506,0.0
MFT,1998,0.0,0.0,6278.559847878141,0.0,1148.3669402851763,0.0
MFT,1999,0.0,0.0,6039.9212374143435,0.0,1080.330207394815,0.0
MFT,2000,0.0,0.0,5941.412267643841,0.0,1045.3395461191649,0.0
MFT,2001,0.0,0.0,5503.898834715187,0.0,946.2319617472207,0.0
MFT,2002,0.0,0.0,5300.70276540818,0.0,912.4604707975024,0.0
MFT,2003,0.0,0.0,5240.546615625572,0.0,917.9017292712184,0.0
MFT,2004,0.0,0.0,5408.85476540762,0.0,964.5586590541151,0.0
MFT,2005,0.0,0.0,5558.783955792471,0.0,1012.2272533515104,0.0
MFT,2006,0.0,0.0,5840.044524549441,0.0,1080.9768507193212,0.0
MFT,2007,0.0,0.0,6173.0040579632905,0.0,1159.2637965246574,0.0
MFT,2008,0.0,0.0,6495.632307792788,0.0,1263.26877172837,0.0
MFT,2009,0.0,0.0,6704.081559420125,0.0,1338.723763397949,0.0
MFT,2010,0.0,0.0,8287.281051921671,0.0,1740.8153436404523,0.0
MFT,2011,0.0,0.0,13062.95685834193,0.0,3442.3367427520466,0.0
MFT,2012,0.0,0.0,29638.790576595275,0.0,13431.619363432428,0.0
MFT,2013,0.0,0.0,97728.50136505804,0.0,99945.73584237731,0.0
MFT,2014,0.0,0.0,440655.2443705617,0.0,1239189.1442317767,0.0
MFT,2015,0.0,0.0,2269029.870037079,0.0,19294607.206891753,0.0
MFT,2016,0.0,0.0,2747195.6227954505,0.0,23582026.136467203,0.0
MFT,2017,0.0,0.0,3353289.9722244404,0.0,28791243.19456078,0.0
MFT,2018,0.0,0.0,4038843.992712769,0.0,34713581.314663656,0.0
MFT,2019,0.0,0.0,4760335.54829008,0.0,41154707.709052674,0.0
MFT,2020,0.0,0.0,4865979.089340694,0.0,42261732.21272801,0.0
MFT,2021,0.0,0.0,8066624.0058859,0.0,68546423.75489242,0.0
MFT,2022,0.0,0.0,11465541.372933367,0.0,90774560.59982738,0.0
MFT,2023,0.0,0.0,15166401.436839262,0.0,118304601.84182402,0.0
MFT,2024,0.0,0.0,18760939.830802236,0.0,148052104.77616975,0.0
MFT,2025,0.0,0.0,21984550.700007834,0.0,184448534.57519472,0.0
MFT,2026,0.0,0.0,25191288.173749924,0.0,223583336.0687547,0.0
MFT,2027,0.0,0.0,28795846.60710587,0.0,274522044.7969684,0.0
MFT,2028,0.0,0.0,31859784.883073498,0.0,319783587.59565103,0.0
MFT,2029,0.0,0.0,35065069.20332973,0.0,367869462.7011571,0.0
MFT,2030,0.0,0.0,38386915.92746379,0.0,416414700.1651661,0.0
MFT,2031,0.0,0.0,41978729.34829993,0.0,465246271.5586011,0.0
MFT,2032,0.0,0.0,45373003.878503226,0.0,515074879.3169648,0.0
MFT,2033,0.0,0.0,48841631.05331146,0.0,565204276.4259728,0.0
