,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,2059,0.0,0.0,3721316.1530073765,0.0,235224406.51308402,0.0
LCV,2060,0.0,0.0,3215843.4762137583,0.0,238325999.38798988,0.0
MFT,1971,0.0,0.0,41.23264047575158,0.0,9.73400662844867,0.0
MFT,1972,0.0,0.0,148.0181080194292,0.0,17.829597579559543,0.0
MFT,1973,0.0,0.0,196.3136333872043,0.0,24.04128321850394,0.0
MFT,1974,0.0,0.0,174.98482915343845,0.0,22.080422953574917,0.0
MFT,1975,0.0,0.0,159.41063799868968,0.0,22.32321643529778,0.0
MFT,1976,0.0,0.0,200.46605167410493,0.0,23.449985816178057,0.0
MFT,1977,0.0,0.0,165.25820545120882,0.0,16.28676457563982,0.0
MFT,1978,0.0,0.0,193.48123578332363,0.0,16.695868316643804,0.0
MFT,1979,0.0,0.0,257.2805486781538,0.0,27.396140109614468,0.0
MFT,1980,0.0,0.0,179.43667411396643,0.0,4.278207999127308,0.0
MFT,1981,0.0,0.0,149.13115587430863,0.0,21.960838962741803,0.0
MFT,1982,0.0,0.0,179.5876035724233,0.0,20.247614182174843,0.0
MFT,1983,0.0,0.0,187.2653959411602,0.0,17.822618547245348,0.0
MFT,1984,0.0,0.0,317.04887350953265,0.0,27.60175314874283,0.0
MFT,1985,0.0,0.0,463.20868911798135,0.0,52.01546974025019,0.0
MFT,1986,0.0,0.0,641.2082482077521,0.0,91.29926448638152,0.0
MFT,1987,0.0,0.0,746.2870673785765,0.0,117.5714556998135,0.0
MFT,1988,0.0,0.0,793.526058990283,0.0,129.05096607678263,0.0
MFT,1989,0.0,0.0,789.4819388919421,0.0,125.44668808847845,0.0
MFT,1990,0.0,0.0,733.6349422255986,0.0,130.95905752437946,0.0
MFT,1991,0.0,0.0,660.4219503073216,0.0,122.01082322994075,0.0
MFT,1992,0.0,0.0,574.8811845513237,0.0,106.19435183982839,0.0
MFT,1993,0.0,0.0,548.2815680943638,0.0,99.59933391827136,0.0
MFT,1994,0.0,0.0,787.2981507007992,0.0,124.87722171621644,0.0
MFT,1995,0.0,0.0,897.6143076976485,0.0,164.78528076460609,0.0
MFT,1996,0.0,0.0,748.5260406021574,0.0,128.70393273865704,0.0
MFT,1997,0.0,0.0,865.9176220423444,0.0,163.2447663277566,0.0
MFT,1998,0.0,0.0,743.7603875028391,0.0,169.36216738703257,0.0
MFT,1999,0.0,0.0,457.09216530145414,0.0,51.93942301901502,0.0
MFT,2000,0.0,0.0,587.5577991820451,0.0,85.24292691603915,0.0
MFT,2001,0.0,0.0,253.22257611162414,0.0,22.837870857189753,0.0
MFT,2002,0.0,0.0,507.6950841629892,0.0,92.19441596007388,0.0
MFT,2003,0.0,0.0,675.1422667682077,0.0,136.45193220752847,0.0
MFT,2004,0.0,0.0,915.1629211154249,0.0,180.72270536710033,0.0
MFT,2005,0.0,0.0,882.8673733192269,0.0,179.69812639864847,0.0
MFT,2006,0.0,0.0,973.4997279717477,0.0,192.43179811327684,0.0
MFT,2007,0.0,0.0,969.3947931839143,0.0,189.48036262938666,0.0
MFT,2008,0.0,0.0,909.1329433302482,0.0,203.91498000184038,0.0
MFT,2009,0.0,0.0,773.330186396125,0.0,171.38586302595712,0.0
MFT,2010,0.0,0.0,2168.355711086487,0.0,504.7201809040187,0.0
MFT,2011,0.0,0.0,5420.988228455006,0.0,1820.4017884501297,0.0
MFT,2012,0.0,0.0,17305.839798907447,0.0,10129.944854797712,0.0
MFT,2013,0.0,0.0,68918.52871680068,0.0,86682.93612383356,0.0
MFT,2014,0.0,0.0,343909.43813681684,0.0,1139495.9462601116,0.0
MFT,2015,0.0,0.0,1829833.184717764,0.0,18056442.838599093,0.0
MFT,2016,0.0,0.0,481772.33807285683,0.0,4299555.698268114,0.0
MFT,2017,0.0,0.0,615945.5271686142,0.0,5256500.251134595,0.0
MFT,2018,0.0,0.0,713329.0790344725,0.0,6088641.038016702,0.0
MFT,2019,0.0,0.0,791824.4170533046,0.0,6923840.238413661,0.0
MFT,2020,0.0,0.0,258794.64002596473,0.0,2259014.168238961,0.0
MFT,2021,0.0,0.0,3483069.7251522164,0.0,28549191.759520117,0.0
MFT,2022,0.0,0.0,3841306.5115086176,0.0,25936625.313235313,0.0
MFT,2023,0.0,0.0,4295744.455162517,0.0,32660595.539060537,0.0
MFT,2024,0.0,0.0,4304075.367587848,0.0,35948379.24486629,0.0
MFT,2025,0.0,0.0,4021024.3105622623,0.0,43335406.19866535,0.0
MFT,2026,0.0,0.0,4126463.2180285663,0.0,46958174.76499001,0.0
MFT,2027,0.0,0.0,4762596.066086835,0.0,60470667.113180056,0.0
