years,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
2008,11816533.011227913,52785.93597348536,4149.31919663262,805550891.7169596,11288.340410264602,1171864603.75,70976034.75665751,82190.91962671233,49329.21049694275,306669.94988081726,5574.901838288461
2009,11869741.610623363,53422.09840818257,4138.200117929348,812278023.3294427,11223.110939666383,1151736949.5833333,70384482.81406525,80201.84549869456,44851.23258588311,301775.11017050716,5488.80441212672
2010,11741316.103285724,54161.987912441014,4056.591961733029,812424787.0809513,10992.940646365703,1159702798.75,74093629.12188907,82270.49541112669,41859.4747005342,301489.33857197897,5285.3582216199275
2011,11704004.131552428,55976.16602702731,4110.2796722955,822126714.8587558,11894.825174139345,1193102901.25,78802281.23996036,84427.83555830759,39138.63315456296,304294.9978609803,5843.977899169057
2012,11795749.958476795,58360.49942414407,4162.781517767429,837930580.4136221,13282.648682625999,1241380330.8333333,83628496.399893,85970.83515797387,37878.4417471921,306900.33840417105,6577.7449557518585
2013,12317270.13018182,61452.94231692656,4211.364190945357,864407607.0385118,15177.84371041881,1356017258.3333333,88967728.42129828,86938.76953898143,37243.670159402725,309304.5781426123,7412.658225137312
2014,12280065.526942248,64299.686041180015,4276.276169917298,887416988.5201333,15920.295933386391,1394969574.5833333,95678636.83986627,88183.87773224247,36808.333113171,311212.95610523183,7804.883110733194
2015,12431338.400794711,67456.63432967843,4367.270231204538,921226908.0576994,16639.283071719994,1450864048.3333333,102207679.7970896,88771.03650619552,36942.35506275255,314671.4759947295,8281.047756547705
2016,12491283.099581795,70066.73041999574,4493.460147212674,951656305.7402807,17277.019275208935,1487994507.5,105650193.62142931,89624.27640412751,36637.569080385576,317114.65562182857,8597.566500400631
2017,12527524.454857148,72240.22406030781,4590.08184446257,977777183.8259684,18109.10080305795,1509344054.1666665,112659736.9251733,92221.56200998696,37604.21037217281,323313.6603448699,9188.89214246718
2018,12870433.803188,74988.0662432892,4724.613475656191,1018395514.5271188,18902.189381181524,1541456517.0833333,120882602.93419658,95122.6196568644,38995.94429389066,331943.28291823907,9834.400843195528
2019,13237088.018205563,77441.38443349324,4841.082448891759,1053574312.7894785,19642.60332123215,1550650548.168909,129227275.07878937,97698.89718959526,39978.32216680896,339626.9220869565,10574.76259647977
2020,13569692.72714335,79404.77946762087,4909.496866044962,875667667.691588,7437.810348874035,1541191493.879056,124669299.87706171,94346.86061633243,37026.96885425646,339244.060906124,8533.604153113982
2021,13431378.058271272,78214.67632593343,4811.546227192876,1001309714.6116328,17008.51524231097,1467455903.8573508,129381267.08910729,97511.71820003384,37016.793812300646,347067.21818414953,11601.667712108918
2022,12948520.103325577,73544.34209942682,4499.91375343144,991989659.6633649,17584.20798616864,1381081108.189655,133150781.57244189,99486.97786400348,36703.949889052856,351816.545303404,11977.132607690231
2023,14152705.299917012,81123.95397645468,4949.896866231896,1115236960.8526535,21709.915214766745,1463022718.9007094,136776391.10654467,101686.99787353375,36397.94787085296,355802.9785855852,13552.333004730412
2024,14593644.091214646,83919.14684308675,5117.265034686767,1164104502.1231089,23089.924078389602,1457127204.3767507,140012518.31466135,103965.83869633362,36031.43428755732,358969.39543042774,14144.81322184961
2025,14690698.345240237,84493.5757244148,5123.277595056808,1170119562.538595,23427.43706365897,1427010182.5034578,142791188.20517275,106130.5918053205,35580.06650016242,361523.1283239306,14353.377793022659
2026,14927668.196811,85926.67055542814,5203.954794205142,1196178884.578283,24201.417446474832,1412230034.9726775,145806437.44314876,108534.76030693867,35016.66637938804,364028.9578005314,14688.509263032856
2027,15226901.915827632,87470.62485985135,5312.549027492579,1229092625.8119822,25116.12006687959,1399013655.7692308,148884298.5386712,110980.28412865502,34463.38354581661,366576.39814905525,15087.635643793028
