model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Residential|Non-Ferrous Metals|Aluminium,Mt/yr,0.20805021578054053,0.19255461517255695,0.205534632695884,0.15630070432384408,0.19302705844450582,0.22216060465786897,0.23791909521354304,0.24202733819286965,0.24971902217908076,0.2523906845463559,0.2546434791473568,0.2619618253702481
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Commercial|Non-Ferrous Metals|Aluminium,Mt/yr,0.09338223726493096,0.08963103134456188,0.10824215635708609,0.10919976550659698,0.118752854986336,0.12780339971920898,0.1314909273274924,0.13505549967811317,0.13735433335393737,0.13885155438088828,0.14105192793117133,0.1459300867318515
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Residential|Non-Ferrous Metals|Copper,Mt/yr,0.04889219606964061,0.04481469686445784,0.046925264050298565,0.035170293042232105,0.043828452584754304,0.05053043233751581,0.0539720914867462,0.05476683119414653,0.05643335256630875,0.056939491223656234,0.05734363370405763,0.05889430898088521
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Commercial|Non-Ferrous Metals|Copper,Mt/yr,0.06606750237148218,0.06277256353749797,0.07699100225590313,0.07840109342615308,0.08460085524167071,0.09164991059056904,0.09447312794610803,0.0970906724096595,0.0986592314488461,0.09960747068342868,0.10115589332862074,0.10483326683925512
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Residential|Concrete,Mt/yr,50.31918407946976,47.82490109810536,53.66603906446754,42.289876747444865,51.09377675155497,58.55535286624786,63.118850301581475,64.60324443552737,66.86904303005613,67.86511682511045,68.77012200074425,71.02644299228773
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Commercial|Concrete,Mt/yr,17.678000001367003,16.780317658785776,20.62057603508741,21.043422200227315,22.668595115188612,24.58513771347914,25.353969746071225,26.06085016162104,26.478073548948874,26.72561635264489,27.1379878648983,28.12988010971774
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Residential|Glass,Mt/yr,0.1474666640276515,0.13983156975489228,0.15624863440926778,0.12277141739442228,0.1485927872769809,0.17035209412441374,0.18353081231770724,0.18775365827908444,0.1942886406217925,0.19711695840304458,0.1996757311333908,0.20616196560297895
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Commercial|Glass,Mt/yr,0.13914638270247728,0.13409433659674225,0.16097931561179665,0.16196620982721724,0.17651082763385934,0.18948348220438943,0.19478490779347354,0.19997400630690682,0.2033911364823243,0.2056665223007191,0.20890774938720158,0.21590859223546613
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Residential|Construction Wood,Mt/yr,2.3328472938050355,2.197646157428019,2.4262795298704565,1.890572610327403,2.299959444831212,2.6394035687742132,2.8392329913783447,2.9003913473499927,2.999107527552886,3.0398254387748906,3.0761615141265963,3.173176947941859
IMAGE,SSP2_CP,CAN,Material Demand|Buildings|Commercial|Construction Wood,Mt/yr,0.34319113552662667,0.32431836595110736,0.40234308455391254,0.4138561242011248,0.44360438078388753,0.484403739818585,0.501617776878436,0.5171892701355599,0.5261103828647049,0.5310027776603162,0.5395580670210725,0.56133904935231
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Generation|Steel,Mt/yr,0.13990646771475182,0.16857334200288737,0.3685580191137282,0.3575858565312545,0.19696694708473145,0.42817745190586026,1.2292215884946338,2.087586330351304,1.364638557979194,0.8941075701601793,0.6950781436716099,0.8534642946364268
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Generation|Concrete,Mt/yr,1.2741661932588297,0.8969685555839731,3.8477250719839033,6.6277373890667,3.312722216056811,5.226166183494561,7.413522738183879,4.568469335789499,2.52557306376612,1.2411244812933422,3.1295735758654457,5.071066934281051
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Generation|Non-Ferrous Metals|Aluminium,Mt/yr,0.001049201409331979,0.0018917312033569663,0.0059163720532665704,0.004412977408046805,0.002066460433976965,0.007452710556309983,0.042759253780963,0.09590476317354714,0.07038086226853142,0.05515193165539195,0.029478161067172083,0.02445483504227455
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Generation|Non-Ferrous Metals|Copper,Mt/yr,0.002303515424087749,0.0035329000828714366,0.009107842893548726,0.009541352455005824,0.0049637379806966074,0.01063166735170613,0.03907238281822048,0.07261472747834115,0.04846956396550516,0.03609806928854994,0.022597441386619975,0.022603318103327264
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Generation|Glass,Mt/yr,0.0,0.0,0.0,0.0,0.0,2.107634351176e-08,1.0288933620653e-06,1.0082332239096578e-05,1.115171052274134e-05,5.86178451312312e-07,6.31793596953244e-06,1.3650068560314e-05
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Grid|Steel,Mt/yr,0.10658102938400216,0.112814387842922,0.1882727915664659,0.2360531249750711,0.16333006047870263,0.2361825161953547,0.3821268909883985,0.538597475357499,0.35979171767389967,0.23859084296375727,0.16870589557375354,0.15452676827110395
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Grid|Concrete,Mt/yr,0.30506221325632304,0.3231277173793699,0.5651397142740664,0.7165633061701671,0.48771657954769065,0.7123071066666665,1.170637980305571,1.6600379503225309,1.0990076784282192,0.7141193994690833,0.48957759390354,0.4333354800032735
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Grid|Non-Ferrous Metals|Aluminium,Mt/yr,0.038950385018923575,0.03956848484593916,0.07502865415901053,0.09735208859059158,0.06448724062218039,0.09597033733204871,0.16287769383665202,0.23458361231998714,0.15553230890081637,0.099809617514903,0.0666863379283176,0.056549521018779504
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Grid|Non-Ferrous Metals|Copper,Mt/yr,0.030335392645814994,0.02764472225994119,0.04615624816005221,0.058282441085768376,0.040551252598729666,0.0597713044344879,0.09934424649130176,0.14352130403483007,0.10199568632760796,0.07211800980286298,0.05443643787193779,0.05144895410926577
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Grid|Glass,Mt/yr,0.0014064287466273259,0.0015677516176026592,0.002978538510819429,0.0038863085614756787,0.002554398339189238,0.003750060326397151,0.006315447432456931,0.009010923017396318,0.005778965490748764,0.0035583534678230604,0.0022551308069979144,0.0018274939293572653
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Storage|Steel,Mt/yr,0.0010450569679920137,0.0005680409769187346,0.00023787258069056134,0.00020242573936581394,0.00044213955749347817,0.00026996979776431994,0.0055327820883669335,0.015469327655181813,0.011723333891259392,0.001931825260043349,0.0017717614806725187,0.001917914139151901
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Storage|Concrete,Mt/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Storage|Non-Ferrous Metals|Aluminium,Mt/yr,3.55559444442364e-06,1.93264425155494e-06,8.0931322625322e-07,6.887125356240599e-07,1.5042901989394e-06,9.1851749951712e-07,1.882416926361718e-05,5.263125088330518e-05,3.988626661566274e-05,6.572643762574161e-06,6.0280592067887795e-06,6.525313994272281e-06
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Storage|Non-Ferrous Metals|Copper,Mt/yr,2.3954684863977898e-05,1.3020574962587499e-05,5.45249003905696e-06,4.639981305691679e-06,1.01346759937931e-05,6.188219040979119e-06,0.00012682184360011318,0.0003545862860945311,0.00026872101475951043,4.428109350395174e-05,4.061212854758884e-05,4.396222426785676e-05
IMAGE,SSP2_CP,CAN,Material Demand|Electricity|Storage|Glass,Mt/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMAGE,SSP2_CP,CAN,Stock Retirement|Transportation|Vehicles|Road|Passenger Cars,thousand/yr,1640.6011989101346,1830.742741409306,1975.803924955994,2080.945710143459,2157.7947697806057,2304.82710789236,2479.4861249674022,2665.5828413329623,2834.3214249827483,2967.4139545751977,3065.1172591538534,3129.4142574953817
IMAGE,SSP2_CP,CAN,Stock Retirement|Transportation|Vehicles|Road|Buses,thousand/yr,1.7409863667645276,1.6933453225142645,1.648761496505945,1.8522609786862603,1.9922484672658787,2.173628466023317,2.5283696463813037,2.8547440130404214,3.1142889676545025,3.359185403465845,3.5793730836241893,3.817595158430163
IMAGE,SSP2_CP,CAN,Stock Retirement|Transportation|Vehicles|Road|Bicycles,thousand/yr,124.12184033987857,59.096065774023984,122.91210684886387,180.60054017732244,214.56738456381672,223.47621028273528,249.84806491095338,249.4328773779484,254.26365238199188,258.4519470606118,278.5718647184025,297.9773544876356
IMAGE,SSP2_CP,CAN,Stock Retirement|Transportation|Vehicles|Road|Trucks,thousand/yr,49.718864709527125,59.33409026909838,62.67796716509365,64.94272157569483,75.02752257458988,82.42912171610422,73.30971203138789,84.42365459092011,101.07330166475728,102.26238012879992,104.76042165999704,113.57993470685585
IMAGE,SSP2_CP,CAN,Stock Retirement|Transportation|Vehicles|Rail|Trains,thousand/yr,0.002649103158284289,0.002973831234717246,0.0032300050405658642,0.003337447564528387,0.0032026526404753883,0.002762237378160882,0.0020947603359860517,0.0014557778595975987,0.0011458002286453776,0.0013253146626198919,0.0019481755964165168,0.0027352108904568637
IMAGE,SSP2_CP,CAN,Stock Retirement|Transportation|Vehicles|Rail|Cargo,thousand/yr,0.03367650589172701,0.03791735334369793,0.04081845991406361,0.042255999907647765,0.043361941013222285,0.045243193220337465,0.04770982527641175,0.04978477038174539,0.05137613972327413,0.05391304840498724,0.059182724798211225,0.06651116980189457
IMAGE,SSP2_CP,CAN,Stock Retirement|Transportation|Air|Planes,thousand/yr,0.012724819309775976,0.014963798047219246,0.017158316661961603,0.019047083318803323,0.019389641159109648,0.019883371675146828,0.023128776235862118,0.026859951645237874,0.029202703326214885,0.031047792514010707,0.03372683374222644,0.037114184878974665
IMAGE,SSP2_CP,CAN,Stock Retirement|Transportation|Air|Cargo,thousand/yr,0.0009863650028343143,0.001165971362020055,0.0013277759757867299,0.001439523439293034,0.0014115549935488155,0.0014007732492979119,0.0017549879507338321,0.002293813096954274,0.002512261382170217,0.002464005135201688,0.002551766342756251,0.0028113158694287425
