model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Air|Chemicals|Plastics,Mt/yr,0.0011746184714337379,0.0006756563256857579,0.0014389940168759243,0.0009459910447771861,0.0020930803607902607,0.0014592771158262903,0.0017450112915375093,0.0017835282952914772,0.0020843170437623384,0.002181382518424707,0.0022228041010576463,0.002291675657976939
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Ships|Chemicals|Plastics,Mt/yr,0.014608932080640553,0.006104434869275081,0.011427567365300961,0.023838968587496467,0.017649548270325017,0.016494095556979664,0.015026697667772081,0.015352268298483183,0.01672276225650933,0.017957994354531534,0.018214679972958742,0.017942002807053027
IMAGE,SSP2_CP,North America,Material Demand|Buildings|Residential|Steel,Mt/yr,11.330802023217617,7.724673262246423,11.732625220206462,10.280444244051612,11.49308148498826,12.372013992265778,12.54169119234656,12.923253405388538,13.379708438962908,13.893518466552994,14.59575785951672,15.247407570976467
IMAGE,SSP2_CP,North America,Material Demand|Buildings|Commercial|Steel,Mt/yr,20.117310332280606,14.592100340727523,21.745647413410637,20.768719770281404,21.604930181059714,23.138599647071345,22.917213397773356,23.27099792159734,23.441208888499315,23.774330522470315,24.359913321683194,25.03096835334372
IMAGE,SSP2_CP,North America,Material Demand|Buildings|Residential|Non-Ferrous Metals|Aluminium,Mt/yr,0.9438817598564969,0.6263583080140496,0.9492800224451431,0.8228015912872184,0.9246423631044678,0.9972814855363539,1.0075025241663997,1.0386904870205478,1.0766198195163588,1.1193795083063218,1.1772940983633569,1.228652241366656
IMAGE,SSP2_CP,North America,Material Demand|Buildings|Commercial|Non-Ferrous Metals|Aluminium,Mt/yr,1.04388376151252,0.7830727967847632,1.125402372525936,1.0817352949972883,1.12884152165822,1.2021931761609326,1.1934947309555195,1.2115594889272023,1.2211504019464472,1.239223376439758,1.269740622455706,1.3039846027273663
IMAGE,SSP2_CP,North America,Material Demand|Buildings|Residential|Non-Ferrous Metals|Copper,Mt/yr,0.3280771586238314,0.20745402806507313,0.3278274081114297,0.2860921239763244,0.3196167016445735,0.3432930927679927,0.34478430176984154,0.35632787077763683,0.369956875166771,0.3860715991683579,0.407864875812276,0.4260656457409185
IMAGE,SSP2_CP,North America,Material Demand|Buildings|Commercial|Non-Ferrous Metals|Copper,Mt/yr,0.7506042341026028,0.5479844598215943,0.8110329570975304,0.7755950233603235,0.8074798598392642,0.8640422506162705,0.8562370344095703,0.8695305849031179,0.8760695528881219,0.8886650997800307,0.9106187953521766,0.9357131177428555
IMAGE,SSP2_CP,North America,Material Demand|Buildings|Residential|Concrete,Mt/yr,247.06000931683653,164.29428616916613,252.84047209763997,220.9775137304183,247.15138505600274,266.12953888246585,269.1752743780873,277.78279413745497,288.012232233889,299.628217235036,315.3488462098288,329.3948176941366
IMAGE,SSP2_CP,North America,Material Demand|Buildings|Commercial|Concrete,Mt/yr,201.49433756405446,146.8479024645699,217.76836379397258,208.30861997497863,216.5476741390955,231.89009481358926,229.7181469712152,233.2857155576082,235.01139176847062,238.36239576989112,244.2405634195379,250.97680909025064
